2011,273.33477,169.4326,84.1675,196
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
85.0,-1.2619,34.0455,300.2226,3,NaN,NaN,NaN,NaN
86.0,-1.2544,34.0589,299.8459,3,3.1746,NaN,0.1061,0.3256
87.1,-1.2451,34.0734,299.7869,3,NaN,NaN,NaN,NaN
88.1,-1.2331,34.0906,299.8572,3,2.9822,NaN,0.1485,0.3330
89.1,-1.2245,34.1058,299.6663,3,NaN,NaN,NaN,NaN
90.0,-1.2193,34.1187,299.2476,2,3.0784,NaN,0.1061,0.3108
90.9,-1.2130,34.1304,298.9158,3,NaN,NaN,NaN,NaN
91.9,-1.2098,34.1436,299.1490,3,2.7898,NaN,0.1061,0.3256
92.9,-1.2082,34.1538,299.3876,3,NaN,NaN,NaN,NaN
94.0,-1.1984,34.1627,299.6174,3,2.7898,NaN,0.1273,0.3256
95.0,-1.1961,34.1734,299.1329,3,NaN,NaN,NaN,NaN
96.0,-1.2018,34.1807,298.7022,3,2.8860,NaN,0.1061,0.3182
97.1,-1.2014,34.1872,299.0722,3,NaN,NaN,NaN,NaN
98.1,-1.1993,34.1944,298.6574,3,2.5974,NaN,0.0424,0.3330
99.1,-1.1968,34.2013,298.5506,3,NaN,NaN,NaN,NaN
100.1,-1.1929,34.2093,298.8114,3,2.5974,NaN,0.0848,0.3330
101.0,-1.1896,34.2187,298.7983,2,NaN,NaN,NaN,NaN
101.9,-1.1874,34.2251,298.9895,3,2.6936,NaN,0.0848,0.3182
102.9,-1.1730,34.2313,298.6240,3,NaN,NaN,NaN,NaN
103.9,-1.1588,34.2402,298.1767,3,2.6936,NaN,0.1273,0.3330
104.9,-1.1538,34.2449,298.3036,3,NaN,NaN,NaN,NaN
106.0,-1.1466,34.2532,298.4653,3,2.5012,NaN,0.0848,0.3404
107.0,-1.1392,34.2602,298.5164,3,NaN,NaN,NaN,NaN
108.0,-1.1314,34.2671,298.3637,3,2.4050,NaN,0.0636,0.3256
109.0,-1.1217,34.2747,297.8167,3,NaN,NaN,NaN,NaN
110.1,-1.1165,34.2806,297.7340,3,2.5974,NaN,0.1061,0.3256
111.1,-1.1059,34.2882,297.5885,3,NaN,NaN,NaN,NaN
112.1,-1.0976,34.2959,297.4336,3,2.5012,NaN,0.0848,0.3330
113.1,-1.0917,34.2999,297.3264,3,NaN,NaN,NaN,NaN
114.1,-1.0858,34.3063,297.3134,3,NaN,NaN,NaN,NaN
115.0,-1.0835,34.3105,297.6788,2,2.4050,NaN,0.0212,0.3404
115.8,-1.0791,34.3141,297.9023,3,NaN,NaN,NaN,NaN
116.9,-1.0682,34.3198,297.8452,3,2.4050,NaN,0.0848,0.3256
117.9,-1.0571,34.3242,297.5794,3,2.3088,NaN,0.0636,0.3182
118.9,-1.0461,34.3275,297.4308,3,NaN,NaN,NaN,NaN
119.9,-1.0330,34.3321,297.2781,3,2.4050,NaN,0.0848,0.3330
121.0,-1.0243,34.3343,297.0769,3,NaN,NaN,NaN,NaN
122.0,-1.0140,34.3385,296.7129,3,2.3088,NaN,0.0212,0.3108
123.0,-1.0038,34.3429,296.5968,3,NaN,NaN,NaN,NaN
124.0,-0.9966,34.3464,296.9112,3,2.4050,NaN,0.0636,0.3256
125.1,-0.9854,34.3507,296.4621,3,NaN,NaN,NaN,NaN
126.1,-0.9736,34.3545,295.8555,3,2.4050,NaN,0.0212,0.3108
127.1,-0.9669,34.3575,296.1434,3,NaN,NaN,NaN,NaN
128.1,-0.9579,34.3611,296.5237,3,NaN,NaN,NaN,NaN
129.1,-0.9574,34.3652,296.0236,3,2.3088,NaN,0.0636,0.3108
130.2,-0.9615,34.3671,296.0424,3,NaN,NaN,NaN,NaN
131.0,-0.9542,34.3701,296.2555,2,2.2126,NaN,0.0848,0.3108
131.9,-0.9462,34.3739,296.2528,3,NaN,NaN,NaN,NaN
