2011,275.83477,170.4078,84.3202,198
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.3,-1.5372,28.1585,361.3971,6,NaN,NaN,NaN,NaN
5.7,-1.5373,28.1580,NaN,3,NaN,NaN,NaN,NaN
7.0,-1.5371,28.1599,361.9113,3,NaN,NaN,NaN,NaN
8.0,-1.5371,28.1604,362.1258,3,NaN,NaN,NaN,NaN
9.0,-1.5369,28.1610,361.7064,3,NaN,NaN,NaN,NaN
10.1,-1.5366,28.1621,361.9543,3,NaN,NaN,NaN,NaN
11.0,-1.5366,28.1634,362.3917,2,NaN,NaN,NaN,NaN
11.9,-1.5368,28.1655,362.5604,3,NaN,NaN,NaN,NaN
13.0,-1.5370,28.1687,362.2153,3,NaN,NaN,NaN,NaN
14.1,-1.5371,28.1723,361.6704,3,9.6200,NaN,1.1029,0.5032
15.0,-1.5373,28.1746,362.3719,2,NaN,NaN,NaN,NaN
15.9,-1.5374,28.1764,363.0920,3,9.7162,NaN,1.0181,0.4958
17.0,-1.5373,28.1778,363.1357,3,NaN,NaN,NaN,NaN
18.1,-1.5375,28.1794,362.4803,3,9.6200,NaN,1.1241,0.5180
19.0,-1.5377,28.1817,362.7013,2,NaN,NaN,NaN,NaN
19.9,-1.5376,28.1876,362.8885,3,9.8124,NaN,1.0817,0.5032
21.0,-1.5374,28.1947,362.1767,3,NaN,NaN,NaN,NaN
22.1,-1.5379,28.3345,361.7024,3,NaN,NaN,NaN,NaN
23.0,-1.5473,29.1490,359.9702,2,9.7162,NaN,1.0181,0.5032
23.9,-1.5612,29.6411,358.2744,3,NaN,NaN,NaN,NaN
25.0,-1.5825,29.9984,356.4617,3,10.4858,NaN,0.6575,0.4588
26.0,-1.6010,30.2426,354.6942,3,NaN,NaN,NaN,NaN
27.1,-1.6228,30.4939,352.8849,3,10.3896,NaN,0.6151,0.3774
28.0,-1.6376,30.6364,352.2396,2,NaN,NaN,NaN,NaN
28.9,-1.6469,30.7716,351.2250,3,9.8124,NaN,0.5515,0.3996
29.9,-1.6537,30.9272,350.3013,3,NaN,NaN,NaN,NaN
31.0,-1.6571,31.0819,348.9053,3,9.1390,NaN,0.5303,0.3552
32.1,-1.6590,31.2197,347.2926,3,NaN,NaN,NaN,NaN
33.1,-1.6571,31.3597,345.7542,3,8.5618,NaN,0.4666,0.3552
34.0,-1.6568,31.4876,344.1968,2,NaN,NaN,NaN,NaN
34.9,-1.6560,31.6109,342.2917,3,7.9846,NaN,0.4242,0.3478
36.0,-1.6516,31.7204,340.2580,3,NaN,NaN,NaN,NaN
37.0,-1.6475,31.8381,338.2971,3,NaN,NaN,NaN,NaN
38.1,-1.6469,31.9775,336.2198,3,7.4074,NaN,0.4030,0.3700
39.1,-1.6494,32.1390,333.9614,3,NaN,NaN,NaN,NaN
40.0,-1.6519,32.2538,331.8556,2,6.9264,NaN,0.3606,0.3774
40.9,-1.6563,32.3900,330.2561,3,NaN,NaN,NaN,NaN
41.9,-1.6629,32.4912,328.1021,3,6.6378,NaN,0.2757,0.3626
43.0,-1.6663,32.5712,326.3548,3,NaN,NaN,NaN,NaN
44.0,-1.6672,32.6484,325.1773,3,6.2530,NaN,0.3181,0.3478
45.1,-1.6758,32.7036,324.2477,3,NaN,NaN,NaN,NaN
46.1,-1.6788,32.7569,323.4136,3,6.0606,NaN,0.2757,0.3330
47.0,-1.6786,32.7977,322.9346,2,NaN,NaN,NaN,NaN
47.9,-1.6658,32.8415,322.0431,3,5.8682,NaN,0.2545,0.3330
48.9,-1.6527,32.8876,321.3515,3,NaN,NaN,NaN,NaN
50.0,-1.6390,32.9378,320.3313,3,5.4834,NaN,0.2545,0.3330
51.0,-1.6291,32.9829,319.5206,3,NaN,NaN,NaN,NaN
52.1,-1.6132,33.0398,318.4756,3,5.4834,NaN,0.2333,0.3330
53.1,-1.6088,33.0904,318.0107,3,NaN,NaN,NaN,NaN
54.1,-1.5960,33.1486,316.8974,3,5.0024,NaN,0.2545,0.3552
55.0,-1.5833,33.1904,316.5188,2,NaN,NaN,NaN,NaN
55.9,-1.5691,33.2348,316.2204,3,5.0024,NaN,0.2121,0.3404
57.0,-1.5589,33.2846,315.2393,3,NaN,NaN,NaN,NaN
58.0,-1.5516,33.3317,314.3082,3,4.7138,NaN,0.1909,0.3404
59.1,-1.5428,33.3833,313.5492,3,NaN,NaN,NaN,NaN
60.1,-1.5375,33.4310,313.1511,3,4.8100,NaN,0.2121,0.3478
61.0,-1.5227,33.4663,312.1791,2,NaN,NaN,NaN,NaN
61.9,-1.5084,33.5053,311.1618,3,4.2328,NaN,0.1697,0.3404
62.9,-1.4957,33.5534,310.8935,3,NaN,NaN,NaN,NaN
64.0,-1.4843,33.5918,310.4661,3,4.2328,NaN,0.1909,0.3552
65.0,-1.4734,33.6283,309.8026,3,NaN,NaN,NaN,NaN
66.1,-1.4626,33.6708,309.3661,3,NaN,NaN,NaN,NaN
67.1,-1.4555,33.7076,309.3884,3,4.0404,NaN,0.1697,0.3478
68.1,-1.4411,33.7389,309.4455,3,NaN,NaN,NaN,NaN
69.0,-1.4247,33.7639,309.3305,2,3.7518,NaN,0.1697,0.3404
69.9,-1.4147,33.7862,309.0972,3,NaN,NaN,NaN,NaN
70.9,-1.4026,33.8111,308.8669,3,3.5594,NaN,0.1909,0.3330
72.0,-1.3853,33.8381,308.0687,3,NaN,NaN,NaN,NaN
73.0,-1.3677,33.8660,307.5309,3,3.2708,NaN,0.1485,0.3330
74.1,-1.3535,33.8844,307.9739,3,NaN,NaN,NaN,NaN
75.1,-1.3466,33.9050,307.2400,3,3.5594,NaN,0.1697,0.3404
76.0,-1.3427,33.9186,306.6898,2,NaN,NaN,NaN,NaN
76.9,-1.3358,33.9303,306.5856,3,3.4632,NaN,0.1697,0.3330
77.9,-1.3275,33.9471,306.3587,3,NaN,NaN,NaN,NaN
78.9,-1.3180,33.9660,305.0373,3,3.3670,NaN,0.1485,0.3478
80.0,-1.3111,33.9866,304.7475,3,NaN,NaN,NaN,NaN
81.0,-1.3045,34.0069,304.6076,3,3.0784,NaN,0.1273,0.3256
82.1,-1.2959,34.0234,304.3173,3,NaN,NaN,NaN,NaN
83.1,-1.2853,34.0371,304.5738,3,3.0784,NaN,0.1273,0.3256
84.1,-1.2808,34.0505,304.3340,3,NaN,NaN,NaN,NaN
85.0,-1.2806,34.0603,303.7457,2,2.9822,NaN,0.1909,0.3478
85.9,-1.2792,34.0673,303.6007,3,NaN,NaN,NaN,NaN
86.9,-1.2760,34.0772,303.2763,3,3.1746,NaN,0.1485,0.3256
87.9,-1.2715,34.0896,303.5994,3,NaN,NaN,NaN,NaN
89.0,-1.2629,34.1005,303.1482,3,3.1746,NaN,0.0424,0.3478
90.0,-1.2525,34.1125,302.9879,3,NaN,NaN,NaN,NaN
91.0,-1.2414,34.1239,303.3547,3,NaN,NaN,NaN,NaN
92.1,-1.2348,34.1334,302.4881,3,3.1746,NaN,0.1273,0.3182
93.1,-1.2274,34.1458,302.2615,3,NaN,NaN,NaN,NaN
94.1,-1.2192,34.1558,302.3903,3,2.7898,NaN,0.1061,0.3330
95.0,-1.2159,34.1632,301.8099,2,NaN,NaN,NaN,NaN
95.9,-1.2215,34.1687,301.8599,3,2.8860,NaN,0.0848,0.3108
96.9,-1.2207,34.1769,301.6900,3,NaN,NaN,NaN,NaN
97.9,-1.2189,34.1844,301.2162,3,2.7898,NaN,0.1273,0.3330
99.0,-1.2221,34.1932,301.3692,3,NaN,NaN,NaN,NaN
100.0,-1.2206,34.2016,301.5798,3,2.6936,NaN,0.0848,0.3108
101.0,-1.2148,34.2094,301.4959,3,NaN,NaN,NaN,NaN
102.0,-1.2071,34.2183,301.6219,3,2.7898,NaN,0.0636,0.3108
103.1,-1.2050,34.2253,301.5282,3,NaN,NaN,NaN,NaN
104.1,-1.1990,34.2333,300.8579,3,2.6936,NaN,0.1273,0.3404
105.1,-1.1882,34.2388,300.5464,3,NaN,NaN,NaN,NaN
106.2,-1.1777,34.2462,300.5718,3,2.6936,NaN,0.0848,0.3182
107.0,-1.1718,34.2522,300.7146,2,NaN,NaN,NaN,NaN
107.9,-1.1631,34.2573,300.5057,3,2.5974,NaN,0.1273,0.3256
108.9,-1.1537,34.2635,300.2591,3,NaN,NaN,NaN,NaN
109.9,-1.1474,34.2691,300.1411,3,2.5974,NaN,0.0848,0.3256
111.0,-1.1414,34.2751,300.0388,3,NaN,NaN,NaN,NaN
112.0,-1.1366,34.2820,299.7580,3,2.6936,NaN,0.1485,0.3108
113.0,-1.1327,34.2875,300.2055,3,NaN,NaN,NaN,NaN
114.0,-1.1270,34.2932,300.1506,3,2.5012,NaN,0.0424,0.3108
115.1,-1.1199,34.3004,300.0005,3,NaN,NaN,NaN,NaN
116.1,-1.1122,34.3068,299.8803,3,2.5974,NaN,0.0636,0.3182
117.1,-1.1052,34.3118,299.8508,3,NaN,NaN,NaN,NaN
118.2,-1.0998,34.3160,299.9066,3,2.5012,NaN,0.0424,0.3330
119.0,-1.0934,34.3188,299.6650,2,NaN,NaN,NaN,NaN
119.9,-1.0869,34.3227,299.7785,3,2.5012,NaN,0.0424,0.3108
