2012,248.50144,-87.2411,86.2348,756
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
6.2,-1.6113,29.8253,NaN,4,NaN,NaN,NaN,NaN
7.0,-1.6112,29.8256,341.4526,5,8.8504,NaN,1.2090,0.5254
8.0,-1.6110,29.8261,341.3623,4,8.7542,NaN,1.2302,0.5180
9.0,-1.6109,29.8266,341.2218,5,NaN,NaN,NaN,NaN
10.1,-1.6106,29.8281,340.9988,5,8.9466,NaN,1.3150,0.5254
11.0,-1.6104,29.8283,340.9257,6,8.7542,NaN,1.3150,0.4810
11.9,-1.6103,29.8284,340.8201,6,8.9466,NaN,1.2726,0.5180
13.0,-1.6102,29.8294,340.6573,6,8.9466,NaN,1.2090,0.4958
14.1,-1.6101,29.8293,340.6869,5,8.8504,NaN,1.1878,0.4958
15.1,-1.6103,29.8296,340.6130,5,8.9466,NaN,1.1453,0.5032
16.0,-1.6101,29.8300,340.6039,5,8.9466,NaN,1.2302,0.5032
17.0,-1.6100,29.8306,340.4176,6,8.9466,NaN,1.2302,0.4810
17.9,-1.6100,29.8316,340.3677,6,8.7542,NaN,1.1453,0.5106
19.0,-1.6084,29.8394,340.1922,6,8.8504,NaN,1.2302,0.4884
20.0,-1.6064,29.8556,340.3541,5,NaN,NaN,NaN,NaN
21.0,-1.6048,29.9117,339.9926,5,8.7542,NaN,1.1666,0.4958
22.0,-1.6071,30.2103,339.0688,5,9.0428,NaN,1.1029,0.5106
23.0,-1.6162,30.5482,338.2411,6,9.0428,NaN,0.9969,0.4588
24.0,-1.6359,30.9041,336.9799,6,9.6200,NaN,0.9332,0.4440
25.0,-1.6573,31.1088,336.6072,5,9.2352,NaN,0.9332,0.4218
26.0,-1.6679,31.1926,336.4723,5,9.4276,NaN,0.8908,0.3996
27.1,-1.6734,31.2458,336.0838,5,NaN,NaN,NaN,NaN
28.0,-1.6719,31.2769,335.7960,4,9.2352,NaN,0.8484,0.3996
29.0,-1.6771,31.3159,335.6954,5,9.2352,NaN,0.8272,0.3774
29.9,-1.6839,31.3593,335.4481,4,9.2352,NaN,0.8272,0.3774
30.9,-1.6840,31.3904,335.0939,4,NaN,NaN,NaN,NaN
32.0,-1.6914,31.4254,334.8407,4,8.7542,NaN,0.8272,0.3922
33.0,-1.6954,31.4569,334.4030,4,8.6580,NaN,0.7424,0.3552
34.0,-1.6979,31.4806,334.1676,4,NaN,NaN,NaN,NaN
35.0,-1.6992,31.5076,333.7524,5,8.6580,NaN,0.7424,0.3774
36.1,-1.7026,31.5340,333.5150,4,8.6580,NaN,0.7424,0.3626
37.0,-1.7026,31.5497,333.5756,3,NaN,NaN,NaN,NaN
37.9,-1.7028,31.5709,333.0861,4,8.3694,NaN,0.6363,0.3552
39.0,-1.7016,31.5889,332.6163,4,8.1770,NaN,0.6575,0.3552
40.1,-1.7033,31.6016,332.1899,4,NaN,NaN,NaN,NaN
41.0,-1.7059,31.6183,331.5201,4,8.1770,NaN,0.5515,0.3700
42.0,-1.7107,31.6408,331.1679,4,8.2732,NaN,0.6151,0.3552
43.0,-1.7108,31.6667,330.9097,3,NaN,NaN,NaN,NaN
44.0,-1.7127,31.6822,330.4286,4,8.1770,NaN,0.5090,0.3552
45.0,-1.7132,31.6911,329.7605,3,NaN,NaN,NaN,NaN
45.9,-1.7134,31.7029,329.1321,4,8.1770,NaN,0.5090,0.3700
47.0,-1.7166,31.7166,328.6961,4,8.0808,NaN,0.5303,0.3552
48.0,-1.7162,31.7318,328.1579,4,NaN,NaN,NaN,NaN
49.1,-1.7170,31.7492,327.5918,4,8.0808,NaN,0.4666,0.3552
50.0,-1.7164,31.7636,327.1400,3,NaN,NaN,NaN,NaN
51.0,-1.7156,31.7732,326.5951,4,7.9846,NaN,0.4666,0.3552
52.0,-1.7149,31.7817,325.7143,4,7.9846,NaN,0.4878,0.3404
53.0,-1.7165,31.7883,324.8814,4,NaN,NaN,NaN,NaN
54.0,-1.7153,31.7996,323.9793,4,7.6960,NaN,0.4242,0.3700
55.0,-1.7152,31.8126,322.9355,3,NaN,NaN,NaN,NaN
55.9,-1.7145,31.8302,321.5664,4,7.5998,NaN,0.4666,0.3626
57.0,-1.7145,31.8557,319.9889,4,7.5036,NaN,0.4454,0.3404
58.1,-1.7147,31.8808,318.2935,4,NaN,NaN,NaN,NaN
59.0,-1.7121,31.9006,317.2148,3,7.5036,NaN,0.4666,0.3404
59.9,-1.7115,31.9190,315.6152,4,NaN,NaN,NaN,NaN
61.0,-1.7114,31.9353,313.2108,4,7.2150,NaN,0.4454,0.3404
62.0,-1.7077,31.9696,311.0637,4,7.0226,NaN,0.4454,0.3626
63.1,-1.7059,32.0174,309.2385,4,NaN,NaN,NaN,NaN
64.0,-1.7063,32.0484,307.0937,3,6.7340,NaN,0.4030,0.3552
65.0,-1.7042,32.0814,305.0627,4,6.6378,NaN,0.3818,0.3404
66.1,-1.6983,32.1264,303.5594,4,NaN,NaN,NaN,NaN
67.0,-1.7011,32.1659,302.5540,3,6.3492,NaN,0.4242,0.3404
68.0,-1.7031,32.2115,301.1853,4,NaN,NaN,NaN,NaN
69.0,-1.7105,32.2524,298.9707,4,6.1568,NaN,0.4454,0.3478
70.1,-1.7044,32.2873,295.3793,4,6.1568,NaN,0.3818,0.3330
71.0,-1.6978,32.3180,292.4278,3,NaN,NaN,NaN,NaN
72.0,-1.6855,32.3489,290.4854,4,6.1568,NaN,0.3818,0.3552
73.1,-1.6723,32.3821,288.8698,4,5.8682,NaN,0.3606,0.3478
74.0,-1.6742,32.4129,287.4815,3,NaN,NaN,NaN,NaN
75.0,-1.6725,32.4552,285.5222,4,5.7720,NaN,0.3606,0.3108
76.1,-1.6676,32.5089,283.5139,4,NaN,NaN,NaN,NaN
77.0,-1.6660,32.5524,281.4779,3,5.7720,NaN,0.3606,0.3404
77.9,-1.6560,32.5932,279.7425,4,5.5796,NaN,0.3818,0.3182
79.0,-1.6454,32.6373,277.8999,4,NaN,NaN,NaN,NaN
80.1,-1.6504,32.6697,275.2829,4,5.6758,NaN,0.3181,0.3404
81.0,-1.6444,32.6928,273.0043,3,NaN,NaN,NaN,NaN
82.0,-1.6190,32.7160,271.4211,4,5.5796,NaN,0.3606,0.3256
83.1,-1.6128,32.7456,269.5780,4,5.4834,NaN,0.2757,0.3552
84.0,-1.6103,32.7722,267.8700,3,NaN,NaN,NaN,NaN
84.9,-1.5998,32.8065,266.9034,4,5.2910,NaN,0.3181,0.3552
86.0,-1.5911,32.8325,265.8610,4,NaN,NaN,NaN,NaN
87.1,-1.5989,32.8536,264.4214,4,5.1948,NaN,0.2757,0.3404
88.0,-1.5960,32.8821,263.0793,3,5.1948,NaN,0.2969,0.3478
89.0,-1.5932,32.9040,261.9629,4,NaN,NaN,NaN,NaN
