2011,271.58477,169.3817,84.1777,197
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
6.0,-1.5332,28.1229,NaN,4,9.7162,NaN,1.1453,0.5328
7.0,-1.5335,28.1249,347.8392,4,NaN,NaN,NaN,NaN
8.1,-1.5338,28.1287,348.6029,3,9.7162,NaN,1.1453,0.5254
9.0,-1.5338,28.1297,348.1185,3,NaN,NaN,NaN,NaN
9.9,-1.5338,28.1305,347.3639,3,9.5238,NaN,1.1666,0.5402
11.0,-1.5339,28.1310,346.6226,4,NaN,NaN,NaN,NaN
12.1,-1.5341,28.1318,345.8869,3,9.4276,NaN,1.1241,0.5328
13.0,-1.5341,28.1325,345.0849,3,NaN,NaN,NaN,NaN
13.9,-1.5343,28.1348,344.9375,3,9.7162,NaN,1.1666,0.5402
15.0,-1.5344,28.1365,343.3661,4,9.6200,NaN,1.1666,0.5846
16.1,-1.5344,28.1381,341.6782,3,NaN,NaN,NaN,NaN
17.0,-1.5343,28.1396,340.7467,3,9.6200,NaN,1.1453,0.5328
18.0,-1.5344,28.1433,339.7762,3,NaN,NaN,NaN,NaN
18.9,-1.5346,28.1482,338.1389,3,9.4276,NaN,1.1453,0.5328
20.0,-1.5346,28.1599,334.8489,4,NaN,NaN,NaN,NaN
21.1,-1.5346,28.2234,332.2352,3,9.5238,NaN,1.1453,0.5328
22.1,-1.5425,29.4494,327.8606,3,NaN,NaN,NaN,NaN
23.0,-1.5645,30.0477,325.2995,3,10.8706,NaN,0.6787,0.5032
24.0,-1.5847,30.2125,323.9852,3,NaN,NaN,NaN,NaN
24.9,-1.6040,30.3615,322.4304,3,10.2934,NaN,0.6151,0.5180
25.9,-1.6198,30.5052,320.7203,3,NaN,NaN,NaN,NaN
27.0,-1.6241,30.6419,318.9792,4,10.0048,NaN,0.5939,0.4514
28.1,-1.6313,30.7861,317.5460,3,NaN,NaN,NaN,NaN
29.1,-1.6363,30.9226,316.0187,3,9.4276,NaN,0.5303,0.4440
30.1,-1.6446,31.0594,314.5264,3,9.1390,NaN,0.5090,0.4588
31.1,-1.6451,31.1947,313.3038,3,NaN,NaN,NaN,NaN
32.1,-1.6576,31.3771,310.8053,3,8.6580,NaN,0.4878,0.4070
33.1,-1.6687,31.5292,308.8450,3,NaN,NaN,NaN,NaN
34.0,-1.6689,31.6535,307.1043,3,8.1770,NaN,0.4454,0.3774
35.0,-1.6511,31.8164,305.0914,3,NaN,NaN,NaN,NaN
36.0,-1.6387,31.9927,303.9319,3,NaN,NaN,NaN,NaN
37.0,-1.6529,32.1745,303.0402,3,7.1188,NaN,0.4030,0.4292
38.0,-1.6580,32.2874,302.4365,3,NaN,NaN,NaN,NaN
39.0,-1.6600,32.3957,302.3614,3,6.6378,NaN,0.2969,0.4218
40.0,-1.6646,32.5013,302.1993,3,NaN,NaN,NaN,NaN
41.0,-1.6651,32.5756,301.3454,3,6.2530,NaN,0.3181,0.3996
42.0,-1.6642,32.6204,300.8109,3,NaN,NaN,NaN,NaN
43.0,-1.6638,32.6657,301.5370,3,6.0606,NaN,0.2969,0.3996
44.0,-1.6634,32.7177,302.3671,3,NaN,NaN,NaN,NaN
44.9,-1.6804,32.7671,301.6200,3,5.6758,NaN,0.2969,0.3774
45.9,-1.6511,32.8165,300.4016,3,NaN,NaN,NaN,NaN
46.9,-1.6395,32.8743,300.1975,3,5.5796,NaN,0.2545,0.3774
47.9,-1.6365,32.9327,299.7209,3,NaN,NaN,NaN,NaN
48.9,-1.6355,32.9919,298.7603,3,5.3872,NaN,0.2333,0.3700
49.9,-1.6331,33.0448,299.1004,3,NaN,NaN,NaN,NaN
50.9,-1.6090,33.0921,299.4131,3,5.0024,NaN,0.2121,0.3774
51.9,-1.5863,33.1348,299.0794,3,NaN,NaN,NaN,NaN
52.9,-1.5893,33.1689,298.9240,3,5.0986,NaN,0.2121,0.3922
53.9,-1.5803,33.2089,299.8289,3,NaN,NaN,NaN,NaN
54.9,-1.5726,33.2512,299.8248,3,4.9062,NaN,0.2121,0.3626
55.9,-1.5684,33.2873,299.5959,3,NaN,NaN,NaN,NaN
56.9,-1.5813,33.3190,299.7504,3,4.7138,NaN,0.2757,0.3626
57.9,-1.5955,33.3524,299.3795,3,NaN,NaN,NaN,NaN
58.9,-1.5948,33.3875,298.4539,3,4.7138,NaN,0.1909,0.3700
59.9,-1.5849,33.4210,297.5733,3,NaN,NaN,NaN,NaN
60.9,-1.5667,33.4542,296.9397,3,4.3290,NaN,0.1697,0.3552
61.9,-1.5506,33.4920,296.8349,3,NaN,NaN,NaN,NaN
62.9,-1.5220,33.5300,296.3188,3,4.1366,NaN,0.2121,0.3700
63.9,-1.4953,33.5645,296.6307,3,NaN,NaN,NaN,NaN
64.9,-1.4842,33.6011,296.1888,3,4.2328,NaN,0.1485,0.3552
65.9,-1.4748,33.6358,296.0785,3,NaN,NaN,NaN,NaN
