2011,264.58477,166.8833,84.2827,197
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.9,-1.5674,28.7889,357.2869,9,8.7542,NaN,1.0181,0.5032
6.9,-1.5672,28.7887,356.3956,4,8.7542,NaN,1.0817,0.5550
8.0,-1.5673,28.7889,356.5076,3,NaN,NaN,NaN,NaN
8.9,-1.5673,28.7888,356.4518,3,8.6580,NaN,1.1453,0.5920
10.0,-1.5673,28.7891,356.2821,4,NaN,NaN,NaN,NaN
11.1,-1.5673,28.7892,355.5770,3,8.7542,NaN,1.1453,0.5550
12.0,-1.5673,28.7898,354.6880,3,NaN,NaN,NaN,NaN
12.9,-1.5675,28.7917,354.2025,3,8.7542,NaN,1.1029,0.5402
14.0,-1.5673,28.8022,353.7601,4,NaN,NaN,NaN,NaN
15.0,-1.5699,28.8812,353.8532,3,8.9466,NaN,1.1029,0.5476
16.0,-1.5716,28.9258,353.4468,3,NaN,NaN,NaN,NaN
16.9,-1.5713,28.9377,353.1413,3,8.6580,NaN,1.1029,0.5550
18.0,-1.5702,28.9594,352.4286,4,8.6580,NaN,0.9969,0.5550
19.1,-1.5697,28.9906,351.3262,3,NaN,NaN,NaN,NaN
20.0,-1.5690,29.0672,350.5642,3,8.8504,NaN,0.9969,0.5402
21.0,-1.5656,29.6381,348.1926,3,NaN,NaN,NaN,NaN
21.9,-1.5785,30.4441,345.1324,3,9.5238,NaN,0.7424,0.4292
22.9,-1.5945,30.7493,344.0002,3,NaN,NaN,NaN,NaN
23.9,-1.6117,30.8271,343.7392,3,9.3314,NaN,0.5939,0.3922
25.0,-1.6182,30.8900,343.2690,4,NaN,NaN,NaN,NaN
26.1,-1.6265,30.9412,342.2865,3,9.4276,NaN,0.5939,0.3922
27.1,-1.6322,30.9882,341.1914,3,NaN,NaN,NaN,NaN
28.1,-1.6388,31.0386,340.5541,3,9.3314,NaN,0.5090,0.3848
29.0,-1.6482,31.0909,339.3847,3,NaN,NaN,NaN,NaN
30.0,-1.6479,31.1419,336.9316,3,9.2352,NaN,0.5303,0.3774
31.0,-1.6476,31.2178,335.0704,3,NaN,NaN,NaN,NaN
32.0,-1.6512,31.2780,333.6251,3,9.1390,NaN,0.5515,0.3478
33.0,-1.6668,31.3230,331.9704,3,NaN,NaN,NaN,NaN
33.9,-1.6733,31.3676,329.6239,3,8.9466,NaN,0.4454,0.3552
34.9,-1.6767,31.4096,327.5944,3,NaN,NaN,NaN,NaN
35.9,-1.6789,31.4535,326.1895,3,8.8504,NaN,0.5515,0.3478
36.9,-1.6810,31.5052,325.0936,3,NaN,NaN,NaN,NaN
37.9,-1.6838,31.5669,324.2252,3,8.8504,NaN,0.5303,0.3700
38.9,-1.6866,31.6228,322.5701,3,NaN,NaN,NaN,NaN
39.9,-1.6904,31.6678,320.7008,3,8.4656,NaN,0.4454,0.3700
40.9,-1.6897,31.7338,318.5416,3,NaN,NaN,NaN,NaN
41.8,-1.6893,31.8156,316.8599,3,8.1770,NaN,0.4242,0.3922
43.0,-1.6901,31.9332,315.0637,4,8.0808,NaN,0.4030,0.3478
44.1,-1.6844,32.0878,313.1999,3,NaN,NaN,NaN,NaN
45.1,-1.6825,32.2122,312.4112,3,7.5998,NaN,0.3818,0.3478
46.1,-1.6891,32.3442,311.0879,3,NaN,NaN,NaN,NaN
47.1,-1.6811,32.4324,309.1184,3,6.8302,NaN,0.3818,0.3626
48.1,-1.6716,32.5327,308.2236,3,NaN,NaN,NaN,NaN
49.0,-1.6656,32.6294,306.9500,3,6.5416,NaN,0.3394,0.3330
50.0,-1.6559,32.7021,305.8762,3,NaN,NaN,NaN,NaN
51.0,-1.6453,32.7702,305.8445,3,5.9644,NaN,0.3181,0.3626
52.0,-1.6300,32.8214,305.8147,3,NaN,NaN,NaN,NaN
53.0,-1.6151,32.8888,305.3878,3,5.8682,NaN,0.2757,0.3626
53.9,-1.6024,32.9708,305.1072,3,NaN,NaN,NaN,NaN
54.9,-1.5823,33.0695,304.7515,3,5.1948,NaN,0.2969,0.3552
55.9,-1.6033,33.1394,303.8197,3,NaN,NaN,NaN,NaN
56.9,-1.5897,33.2043,303.4211,3,5.0024,NaN,0.2545,0.3700
57.9,-1.5783,33.2659,303.4580,3,NaN,NaN,NaN,NaN
58.9,-1.5728,33.3236,303.5301,3,4.9062,NaN,0.2545,0.3552
59.9,-1.5659,33.3736,303.3487,3,NaN,NaN,NaN,NaN
60.9,-1.5522,33.4253,303.8616,3,4.5214,NaN,0.2121,0.3774
61.9,-1.5316,33.4746,304.3374,3,NaN,NaN,NaN,NaN
62.9,-1.5091,33.5283,304.0689,3,4.3290,NaN,0.1697,0.3922
63.9,-1.5059,33.5612,303.7163,3,NaN,NaN,NaN,NaN
64.8,-1.4973,33.5997,303.7953,3,4.2328,NaN,0.1697,0.3626
66.0,-1.4693,33.6491,303.1030,4,NaN,NaN,NaN,NaN
67.2,-1.4504,33.6909,303.1540,3,3.9442,NaN,0.1909,0.3774
68.2,-1.4376,33.7256,303.4437,3,NaN,NaN,NaN,NaN
69.1,-1.4264,33.7580,302.9505,3,4.0404,NaN,0.1697,0.3552
70.1,-1.4145,33.7896,302.9863,3,NaN,NaN,NaN,NaN
71.1,-1.4004,33.8170,302.5939,3,3.7518,NaN,0.1909,0.3700
72.1,-1.3829,33.8470,301.5866,3,NaN,NaN,NaN,NaN
73.1,-1.3652,33.8821,301.7896,3,3.6556,NaN,0.1697,0.3552
74.1,-1.3531,33.9148,301.4177,3,NaN,NaN,NaN,NaN
75.1,-1.3442,33.9349,301.3132,3,3.4632,NaN,0.1697,0.3330
76.1,-1.3359,33.9506,301.7423,3,NaN,NaN,NaN,NaN
77.1,-1.3265,33.9645,301.5268,3,3.2708,NaN,0.1485,0.3626
78.1,-1.3192,33.9753,301.0145,3,NaN,NaN,NaN,NaN
79.1,-1.3135,33.9857,301.0771,3,3.2708,NaN,0.1485,0.3478
80.1,-1.3074,33.9974,300.8599,3,NaN,NaN,NaN,NaN
81.1,-1.2997,34.0101,300.3318,3,3.1746,NaN,0.1273,0.3774
82.1,-1.2939,34.0231,300.4017,3,NaN,NaN,NaN,NaN
83.1,-1.2936,34.0339,300.5609,3,3.2708,NaN,0.1273,0.5624
