2011,257.58477,163.1225,84.5412,757
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
6.2,-1.5568,28.5585,362.1284,5,8.6580,NaN,1.0605,0.5254
7.0,-1.5567,28.5585,361.2249,3,8.7542,NaN,1.1241,0.5772
8.0,-1.5567,28.5586,361.8431,4,NaN,NaN,NaN,NaN
9.1,-1.5567,28.5585,360.6794,3,8.8504,NaN,1.1029,0.5920
10.0,-1.5566,28.5586,360.8461,3,NaN,NaN,NaN,NaN
11.0,-1.5565,28.5592,360.5932,4,8.4656,NaN,1.1029,0.5624
12.1,-1.5565,28.5615,360.4380,3,NaN,NaN,NaN,NaN
13.0,-1.5568,28.5630,360.0306,3,8.4656,NaN,1.1878,0.5772
13.9,-1.5569,28.5669,359.1942,3,NaN,NaN,NaN,NaN
15.0,-1.5561,28.5843,358.7186,4,8.6580,NaN,1.1453,0.5624
16.0,-1.5558,28.6030,357.9651,3,8.4656,NaN,1.2514,0.5846
17.0,-1.5563,28.6175,357.6452,3,NaN,NaN,NaN,NaN
18.0,-1.5570,28.6378,357.3232,4,8.6580,NaN,1.1878,0.5994
19.1,-1.5557,28.6807,356.1385,3,NaN,NaN,NaN,NaN
20.0,-1.5524,28.7597,356.0709,3,8.6580,NaN,0.9757,0.5402
21.0,-1.5496,28.9546,354.8416,4,NaN,NaN,NaN,NaN
22.0,-1.5494,29.5487,351.7358,3,8.9466,NaN,0.9545,0.5624
23.0,-1.5624,30.2259,349.4497,4,9.6200,NaN,0.6787,0.4218
24.0,-1.5853,30.4599,347.9037,3,NaN,NaN,NaN,NaN
24.9,-1.5949,30.5763,346.8604,3,9.7162,NaN,0.5515,0.4070
26.0,-1.6018,30.6581,344.5847,4,NaN,NaN,NaN,NaN
27.0,-1.6062,30.7444,343.8754,3,9.3314,NaN,0.5515,0.3774
27.9,-1.6234,30.8407,343.3330,3,NaN,NaN,NaN,NaN
29.0,-1.6341,30.9578,342.3535,4,9.0428,NaN,0.4878,0.3922
30.0,-1.6470,31.0485,340.8425,3,NaN,NaN,NaN,NaN
31.0,-1.6488,31.1165,338.8017,3,9.1390,NaN,0.4454,0.3626
31.9,-1.6572,31.1976,337.9022,3,NaN,NaN,NaN,NaN
33.0,-1.6708,31.3069,336.4510,4,8.7542,NaN,0.5303,0.3996
34.1,-1.6778,31.3977,333.9595,3,8.3694,NaN,0.4454,0.3848
35.0,-1.6829,31.4567,333.2472,3,NaN,NaN,NaN,NaN
35.9,-1.6885,31.4928,331.0887,3,NaN,NaN,NaN,NaN
37.0,-1.6868,31.5383,328.9050,4,8.1770,NaN,0.4454,0.3552
38.1,-1.6865,31.6041,326.7892,3,8.4656,NaN,0.4242,0.3626
39.1,-1.6871,31.6827,325.0818,3,NaN,NaN,NaN,NaN
40.0,-1.6839,31.7675,323.4765,3,7.8884,NaN,0.4454,0.3700
40.9,-1.6793,31.8677,321.4688,3,NaN,NaN,NaN,NaN
41.9,-1.6932,31.9505,319.5124,3,7.6960,NaN,0.4878,0.3848
43.0,-1.6769,32.1064,317.1533,4,NaN,NaN,NaN,NaN
44.1,-1.6410,32.2376,316.3279,3,7.0226,NaN,0.3606,0.4070
45.0,-1.6288,32.3615,314.7032,3,NaN,NaN,NaN,NaN
46.0,-1.6278,32.4905,313.6160,3,6.5416,NaN,0.3394,0.3774
46.9,-1.6059,32.6034,312.8451,3,NaN,NaN,NaN,NaN
47.9,-1.6434,32.6982,312.9193,3,6.1568,NaN,0.2757,0.3552
49.0,-1.6362,32.8294,311.7572,4,NaN,NaN,NaN,NaN
50.1,-1.6201,32.9564,310.8365,3,5.3872,NaN,0.2333,0.3552
51.1,-1.6159,33.0318,310.9740,3,NaN,NaN,NaN,NaN
52.0,-1.6041,33.0967,310.8050,3,5.1948,NaN,0.2333,0.3404
53.0,-1.5828,33.1695,311.3429,3,NaN,NaN,NaN,NaN
54.0,-1.5819,33.2227,312.5517,3,4.9062,NaN,0.2121,0.3700
54.9,-1.5881,33.2898,311.5378,3,NaN,NaN,NaN,NaN
55.9,-1.5816,33.3431,310.1038,3,4.3290,NaN,0.1909,0.3404
56.9,-1.5756,33.3918,310.2896,3,NaN,NaN,NaN,NaN
58.0,-1.5618,33.4404,309.8999,4,4.2328,NaN,0.1909,0.3330
59.1,-1.5552,33.4881,308.5448,3,NaN,NaN,NaN,NaN
60.1,-1.5489,33.5511,307.5883,3,4.1366,NaN,0.2121,0.3330
61.0,-1.5281,33.6014,307.3871,3,NaN,NaN,NaN,NaN
62.0,-1.5118,33.6341,308.4536,3,3.7518,NaN,0.1697,0.3404
63.0,-1.5059,33.6537,308.0168,3,NaN,NaN,NaN,NaN
63.9,-1.5012,33.6746,307.3965,3,3.6556,NaN,0.1273,0.3256
