2012,63.00144,-140.6074,84.2225,198
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.9,-1.6492,30.1257,373.1811,10,2.3088,NaN,0.1697,0.3330
7.0,-1.6492,30.1258,372.3469,3,NaN,NaN,NaN,NaN
8.0,-1.6493,30.1259,371.8874,4,2.5012,NaN,0.1485,0.3404
9.1,-1.6493,30.1259,371.7403,3,NaN,NaN,NaN,NaN
10.0,-1.6493,30.1258,371.2768,3,2.4050,NaN,0.1273,0.3404
11.0,-1.6493,30.1258,370.3972,4,2.5974,NaN,0.1485,0.3404
12.0,-1.6492,30.1257,369.7858,3,NaN,NaN,NaN,NaN
12.9,-1.6492,30.1257,369.6632,3,2.2126,NaN,0.2121,0.3404
14.0,-1.6493,30.1258,369.0925,4,NaN,NaN,NaN,NaN
15.0,-1.6491,30.1257,368.6970,3,2.4050,NaN,0.1909,0.3256
16.0,-1.6492,30.1259,367.9234,3,NaN,NaN,NaN,NaN
16.9,-1.6492,30.1260,367.4288,3,2.5974,NaN,0.1697,0.3330
18.0,-1.6492,30.1259,366.6357,4,2.2126,NaN,0.1697,0.3108
19.0,-1.6492,30.1258,366.1547,3,NaN,NaN,NaN,NaN
20.0,-1.6492,30.1259,365.3156,3,2.5012,NaN,0.1697,0.3330
20.9,-1.6492,30.1259,364.5424,3,NaN,NaN,NaN,NaN
22.0,-1.6493,30.1260,364.0054,4,2.4050,NaN,0.1485,0.3330
23.0,-1.6491,30.1259,362.8602,3,NaN,NaN,NaN,NaN
24.0,-1.6492,30.1261,362.1747,3,2.5012,NaN,0.1909,0.3182
24.9,-1.6491,30.1260,361.6242,3,NaN,NaN,NaN,NaN
26.0,-1.6491,30.1260,360.5131,4,2.5012,NaN,0.1909,0.3478
27.1,-1.6492,30.1261,359.5267,3,NaN,NaN,NaN,NaN
28.0,-1.6491,30.1262,358.6500,3,2.4050,NaN,0.1909,0.3478
29.0,-1.6490,30.1264,357.9053,3,NaN,NaN,NaN,NaN
30.0,-1.6491,30.1266,356.9207,3,2.4050,NaN,0.1697,0.3330
30.9,-1.6490,30.1264,355.9366,3,NaN,NaN,NaN,NaN
32.0,-1.6491,30.1266,354.7189,4,2.5974,NaN,0.1697,0.3330
33.1,-1.6492,30.1266,353.5781,3,NaN,NaN,NaN,NaN
34.0,-1.6490,30.1267,352.0928,3,2.3088,NaN,0.1909,0.3404
35.0,-1.6491,30.1268,350.7509,3,NaN,NaN,NaN,NaN
36.0,-1.6490,30.1271,349.7044,3,2.4050,NaN,0.1273,0.3256
36.9,-1.6489,30.1271,348.1774,3,NaN,NaN,NaN,NaN
37.9,-1.6489,30.1274,346.6470,3,2.4050,NaN,0.1485,0.3330
39.0,-1.6490,30.1279,344.7451,4,2.4050,NaN,0.1697,0.3330
40.1,-1.6488,30.1282,342.9417,3,NaN,NaN,NaN,NaN
41.0,-1.6491,30.1288,341.1639,3,2.3088,NaN,0.1697,0.3478
42.0,-1.6490,30.1292,339.2414,3,NaN,NaN,NaN,NaN
