2012,251.25144,-85.3774,85.9697,755
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
9.4,-1.6341,30.0658,361.7530,11,NaN,NaN,NaN,NaN
9.9,-1.6342,30.0672,361.7427,4,NaN,NaN,NaN,NaN
11.0,-1.6342,30.0676,361.6460,4,NaN,NaN,NaN,NaN
12.1,-1.6343,30.0710,361.5921,3,NaN,NaN,NaN,NaN
13.0,-1.6342,30.0725,361.8055,3,NaN,NaN,NaN,NaN
14.0,-1.6342,30.0732,361.7721,3,NaN,NaN,NaN,NaN
15.0,-1.6343,30.0760,361.6870,3,NaN,NaN,NaN,NaN
15.9,-1.6342,30.0804,361.6756,3,8.9466,NaN,1.1453,0.4366
16.9,-1.6338,30.0882,361.7041,3,NaN,NaN,NaN,NaN
17.9,-1.6330,30.1045,361.6486,3,8.7542,NaN,1.1241,0.4514
19.0,-1.6335,30.1570,361.4458,4,NaN,NaN,NaN,NaN
20.1,-1.6347,30.2205,361.3187,3,8.7542,NaN,1.1029,0.3996
21.1,-1.6350,30.2550,361.3868,3,NaN,NaN,NaN,NaN
22.1,-1.6349,30.2638,361.4877,3,8.6580,NaN,1.0393,0.3996
23.1,-1.6349,30.2782,361.6209,3,NaN,NaN,NaN,NaN
24.1,-1.6345,30.2858,361.6617,3,8.4656,NaN,1.2302,0.4218
25.0,-1.6345,30.3097,361.6682,3,NaN,NaN,NaN,NaN
26.0,-1.6343,30.3538,361.6935,3,8.4656,NaN,0.9757,0.3996
27.0,-1.6343,30.4305,361.4126,3,NaN,NaN,NaN,NaN
28.0,-1.6372,30.5831,360.8946,3,8.7542,NaN,0.9757,0.4144
28.9,-1.6434,30.7264,360.4949,3,NaN,NaN,NaN,NaN
29.9,-1.6493,30.8501,359.9678,3,9.1390,NaN,0.9545,0.3700
30.9,-1.6522,30.9480,359.3178,3,NaN,NaN,NaN,NaN
31.9,-1.6646,31.1136,358.6077,3,9.1390,NaN,0.9120,0.3922
33.0,-1.6786,31.2383,358.0948,4,NaN,NaN,NaN,NaN
34.1,-1.6875,31.3329,357.4895,3,9.1390,NaN,0.9120,0.3774
35.1,-1.6922,31.3716,357.2697,3,NaN,NaN,NaN,NaN
36.1,-1.6943,31.4009,357.0618,3,8.8504,NaN,0.8908,0.3700
37.1,-1.6979,31.4295,356.9206,3,NaN,NaN,NaN,NaN
38.0,-1.7012,31.4521,357.0055,3,8.7542,NaN,0.7211,0.3774
39.0,-1.7026,31.4743,356.9666,3,NaN,NaN,NaN,NaN
40.0,-1.7018,31.4942,356.8728,3,8.5618,NaN,0.6787,0.3478
41.0,-1.7010,31.5153,356.6803,3,NaN,NaN,NaN,NaN
42.0,-1.7044,31.5424,356.5721,3,8.7542,NaN,0.6787,0.3404
42.9,-1.7063,31.5662,356.2774,3,NaN,NaN,NaN,NaN
43.9,-1.7050,31.5886,355.9219,3,8.5618,NaN,0.5515,0.3700
44.9,-1.7058,31.6111,355.5990,3,NaN,NaN,NaN,NaN
45.9,-1.7079,31.6326,355.3447,3,8.3694,NaN,0.6363,0.3404
46.9,-1.7081,31.6531,355.2381,3,NaN,NaN,NaN,NaN
48.0,-1.7077,31.6716,354.6643,4,7.9846,NaN,0.5515,0.3478
49.1,-1.7083,31.6908,354.6333,3,NaN,NaN,NaN,NaN
50.1,-1.7088,31.7066,354.5587,3,8.0808,NaN,0.5515,0.3552
51.1,-1.7085,31.7256,354.2936,3,NaN,NaN,NaN,NaN
52.1,-1.7100,31.7467,353.9028,3,7.9846,NaN,0.4878,0.3404
53.1,-1.7085,31.7658,353.3354,3,NaN,NaN,NaN,NaN
54.1,-1.7052,31.7870,352.8582,3,7.9846,NaN,0.4878,0.3404
55.1,-1.7102,31.8116,352.4344,3,7.5036,NaN,0.4454,0.3330
56.0,-1.7127,31.8378,352.2892,3,NaN,NaN,NaN,NaN
57.0,-1.7029,31.8678,352.1180,3,7.5036,NaN,0.5090,0.3330
58.0,-1.7043,31.8989,351.1557,3,NaN,NaN,NaN,NaN
59.0,-1.7017,31.9344,350.0201,3,7.3112,NaN,0.4242,0.3108
60.0,-1.6942,31.9673,349.0440,3,NaN,NaN,NaN,NaN
60.9,-1.6881,32.0154,347.6288,3,6.9264,NaN,0.3818,0.3478
61.9,-1.6905,32.0637,346.0590,3,NaN,NaN,NaN,NaN
62.9,-1.6739,32.1018,344.1658,3,6.5416,NaN,0.4030,0.3404
63.9,-1.6474,32.1541,342.2858,3,NaN,NaN,NaN,NaN
65.0,-1.6393,32.1920,338.8182,4,5.9644,NaN,0.3818,0.3330
66.1,-1.6366,32.2226,335.1695,3,NaN,NaN,NaN,NaN
67.1,-1.6398,32.2453,332.7229,3,5.8682,NaN,0.3394,0.3108
68.1,-1.6433,32.2839,330.6386,3,NaN,NaN,NaN,NaN
69.1,-1.6395,32.3215,328.7128,3,5.7720,NaN,0.3606,0.3256
70.1,-1.6310,32.3558,326.8962,3,NaN,NaN,NaN,NaN
71.1,-1.6284,32.3875,324.5127,3,5.3872,NaN,0.2969,0.3108
72.0,-1.6240,32.4204,321.9998,3,NaN,NaN,NaN,NaN
73.0,-1.6157,32.4511,319.8413,3,5.3872,NaN,0.3818,0.3108
74.0,-1.6171,32.4685,317.9232,3,NaN,NaN,NaN,NaN
74.9,-1.6238,32.4955,316.3245,3,5.1948,NaN,0.3181,0.3034
75.9,-1.6233,32.5210,315.1034,3,NaN,NaN,NaN,NaN
76.9,-1.6183,32.5485,314.1790,3,5.2910,NaN,0.3394,0.3404
78.0,-1.5809,32.5869,312.5697,4,NaN,NaN,NaN,NaN
79.1,-1.5782,32.6201,310.3228,3,5.2910,NaN,0.2969,0.3108
80.1,-1.5671,32.6480,308.1095,3,NaN,NaN,NaN,NaN
81.1,-1.5641,32.6853,306.3361,3,5.1948,NaN,0.2969,0.3330
82.0,-1.5588,32.7043,304.7998,3,NaN,NaN,NaN,NaN
83.0,-1.5470,32.7337,302.9601,3,5.1948,NaN,0.2757,0.3182
84.0,-1.5345,32.7600,300.9435,3,NaN,NaN,NaN,NaN
85.0,-1.5339,32.7801,298.7067,3,4.9062,NaN,0.2757,0.3330
85.9,-1.5017,32.7987,296.3923,3,NaN,NaN,NaN,NaN
86.9,-1.5022,32.8056,293.8691,3,4.7138,NaN,0.2333,0.3182
87.9,-1.5360,32.8267,291.8013,3,NaN,NaN,NaN,NaN
88.9,-1.4839,32.8546,290.3994,3,4.8100,NaN,0.2757,0.3256
90.0,-1.4788,32.8806,287.7933,4,NaN,NaN,NaN,NaN
91.1,-1.4984,32.8976,284.0460,3,4.3290,NaN,0.2333,0.3256
92.1,-1.5215,32.9122,282.0890,3,4.8100,NaN,0.2545,0.3330
93.0,-1.5472,32.9392,281.9106,3,NaN,NaN,NaN,NaN
94.0,-1.5319,32.9745,282.2580,3,4.7138,NaN,0.2969,0.3330
94.9,-1.5376,33.0113,281.9351,3,NaN,NaN,NaN,NaN
95.9,-1.5413,33.0393,281.0128,3,5.0024,NaN,0.3181,0.3330
96.9,-1.5369,33.0558,280.0636,3,NaN,NaN,NaN,NaN
97.9,-1.5334,33.0790,279.1127,3,4.5214,NaN,0.3181,0.3330
98.9,-1.5377,33.1004,278.3709,3,NaN,NaN,NaN,NaN
100.0,-1.5380,33.1398,277.2518,4,4.8100,NaN,0.2969,0.3182
101.1,-1.5374,33.1702,276.3259,3,NaN,NaN,NaN,NaN
102.1,-1.5373,33.1832,275.8257,3,4.8100,NaN,0.2969,0.3330
103.1,-1.5357,33.1968,275.4757,3,NaN,NaN,NaN,NaN
104.1,-1.5334,33.2112,275.1211,3,4.7138,NaN,0.3394,0.3256
105.0,-1.5287,33.2315,274.6709,3,NaN,NaN,NaN,NaN
106.0,-1.5218,33.2509,274.0898,3,4.7138,NaN,0.2969,0.3404
107.0,-1.5156,33.2642,273.5531,3,NaN,NaN,NaN,NaN
107.9,-1.5052,33.2871,272.7203,3,4.7138,NaN,0.2969,0.3404
108.9,-1.4908,33.3210,271.9143,3,NaN,NaN,NaN,NaN
110.0,-1.4834,33.3463,271.4655,4,4.8100,NaN,0.3181,0.3182
111.1,-1.4742,33.3731,271.1151,3,NaN,NaN,NaN,NaN
112.1,-1.4562,33.4100,270.7861,3,4.5214,NaN,0.2757,0.3182
113.1,-1.4409,33.4393,270.6516,3,4.6176,NaN,0.2757,0.3330
114.1,-1.4322,33.4717,270.4398,3,NaN,NaN,NaN,NaN
115.1,-1.4189,33.4997,270.0884,3,4.7138,NaN,0.2333,0.3108
116.0,-1.4077,33.5228,269.8182,3,NaN,NaN,NaN,NaN
117.0,-1.3914,33.5475,269.4826,3,4.6176,NaN,0.2757,0.3330
118.0,-1.3726,33.5709,268.8564,3,NaN,NaN,NaN,NaN
118.9,-1.3619,33.5939,268.0159,3,4.5214,NaN,0.2969,0.3108
119.9,-1.3480,33.6157,267.2235,3,NaN,NaN,NaN,NaN
121.0,-1.3332,33.6439,266.2219,4,4.5214,NaN,0.2969,0.3034
122.1,-1.3235,33.6702,265.4280,3,NaN,NaN,NaN,NaN
123.1,-1.3142,33.6979,264.8662,3,4.4252,NaN,0.2545,0.3182
124.1,-1.3094,33.7254,264.2466,3,NaN,NaN,NaN,NaN
