2011,301.08478,178.7898,84.8087,762
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
6.1,-1.6183,29.6851,358.0976,8,9.1390,NaN,0.6151,0.3626
6.9,-1.6182,29.6848,357.7471,4,9.1390,NaN,0.6151,0.4218
8.0,-1.6182,29.6848,357.6010,4,NaN,NaN,NaN,NaN
9.0,-1.6178,29.6843,357.3597,3,NaN,NaN,NaN,NaN
9.9,-1.6176,29.6843,357.0645,3,9.0428,NaN,0.6363,0.3626
11.0,-1.6176,29.6843,356.8214,4,9.0428,NaN,0.5515,0.3774
12.0,-1.6174,29.6842,356.4198,3,NaN,NaN,NaN,NaN
12.9,-1.6176,29.6845,356.3342,3,9.0428,NaN,0.6363,0.3848
14.0,-1.6175,29.6845,356.1653,4,NaN,NaN,NaN,NaN
15.0,-1.6175,29.6844,355.5286,3,9.0428,NaN,0.6575,0.3774
16.0,-1.6176,29.6856,355.5416,4,NaN,NaN,NaN,NaN
17.1,-1.6174,29.6881,355.1662,3,9.3314,NaN,0.6363,0.3700
18.0,-1.6174,29.6893,354.8294,3,9.2352,NaN,0.6151,0.3996
18.9,-1.6173,29.6928,354.1461,3,NaN,NaN,NaN,NaN
20.0,-1.6172,29.6993,353.5182,4,9.0428,NaN,0.5515,0.3848
21.0,-1.6168,29.7230,353.5549,3,NaN,NaN,NaN,NaN
22.0,-1.6175,29.9851,352.3939,4,9.1390,NaN,0.6363,0.3848
23.1,-1.6314,30.7506,349.8036,3,NaN,NaN,NaN,NaN
24.0,-1.6373,30.9228,349.1448,3,9.4276,NaN,0.4878,0.3330
25.0,-1.6408,31.0489,348.5233,4,NaN,NaN,NaN,NaN
26.0,-1.6443,31.1462,347.5860,3,9.3314,NaN,0.4878,0.3182
26.9,-1.6472,31.1937,346.5612,4,9.1390,NaN,0.5515,0.3182
28.0,-1.6525,31.2508,345.1224,4,NaN,NaN,NaN,NaN
29.0,-1.6559,31.2858,343.9754,3,8.8504,NaN,0.4666,0.3034
29.9,-1.6666,31.3171,344.0201,4,NaN,NaN,NaN,NaN
31.0,-1.6707,31.3399,343.6399,3,8.8504,NaN,0.5090,0.3404
31.9,-1.6669,31.3510,342.9222,4,8.8504,NaN,0.4242,0.3182
33.0,-1.6679,31.3763,341.3363,4,NaN,NaN,NaN,NaN
34.0,-1.6743,31.4090,339.9425,3,8.7542,NaN,0.5090,0.3108
35.0,-1.6800,31.4463,338.6495,4,NaN,NaN,NaN,NaN
36.0,-1.6881,31.5014,337.7830,3,8.8504,NaN,0.4878,0.3182
37.0,-1.6905,31.5300,336.4992,4,8.7542,NaN,0.4666,0.3034
38.1,-1.6871,31.5624,335.1217,3,NaN,NaN,NaN,NaN
39.0,-1.6839,31.6213,333.7269,3,8.5618,NaN,0.4242,1.1026
