2012,120.00144,-136.5626,84.3971,199
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.9,-1.6479,30.1558,364.2430,8,NaN,NaN,NaN,NaN
7.0,-1.6469,30.1655,364.0255,4,2.3088,NaN,0.3181,0.3404
8.0,-1.6476,30.1784,363.7589,5,2.3088,NaN,0.3394,0.3256
9.0,-1.6466,30.1991,363.2098,5,2.4050,NaN,0.3394,0.3404
10.0,-1.6468,30.2178,362.7766,6,2.4050,NaN,0.2969,0.3330
11.0,-1.6477,30.2316,362.6442,5,2.4050,NaN,0.3181,0.3256
12.0,-1.6479,30.2355,362.2509,4,NaN,NaN,NaN,NaN
13.0,-1.6478,30.2388,361.8342,5,2.5012,NaN,0.3818,0.3182
14.0,-1.6482,30.2416,361.5263,4,2.7898,NaN,0.3394,0.3404
15.0,-1.6493,30.2431,360.9200,5,2.5012,NaN,0.2969,0.3182
16.0,-1.6497,30.2449,360.3261,5,NaN,NaN,NaN,NaN
17.0,-1.6501,30.2471,359.8468,4,2.6936,NaN,0.2545,0.3182
18.0,-1.6505,30.2502,359.3649,4,2.6936,NaN,0.2969,0.3256
19.0,-1.6524,30.2592,358.8057,4,NaN,NaN,NaN,NaN
20.0,-1.6542,30.2673,358.3085,4,2.6936,NaN,0.2757,0.3330
21.1,-1.6534,30.2714,357.7112,4,2.5974,NaN,0.3394,0.3478
22.0,-1.6541,30.2761,357.1221,3,NaN,NaN,NaN,NaN
23.0,-1.6552,30.2883,356.6135,4,2.6936,NaN,0.2121,0.3330
24.1,-1.6563,30.3017,355.8723,4,2.8860,NaN,0.1485,0.3404
25.1,-1.6564,30.3074,355.0395,4,NaN,NaN,NaN,NaN
26.0,-1.6566,30.3116,354.5249,3,2.9822,NaN,0.1909,0.3330
27.0,-1.6572,30.3161,353.7118,4,NaN,NaN,NaN,NaN
27.9,-1.6582,30.3201,352.8736,3,2.8860,NaN,0.1697,0.3404
29.0,-1.6582,30.3238,351.8589,4,3.0784,NaN,0.1909,0.3552
30.0,-1.6577,30.3329,350.9450,3,NaN,NaN,NaN,NaN
31.0,-1.6578,30.3448,349.9868,4,3.4632,NaN,0.1909,0.3478
32.0,-1.6564,30.3569,349.1550,3,NaN,NaN,NaN,NaN
33.0,-1.6384,30.3699,347.5933,4,3.1746,NaN,0.2545,0.3478
34.0,-1.6431,30.3758,346.5340,3,NaN,NaN,NaN,NaN
35.0,-1.6535,30.3830,345.1227,4,3.2708,NaN,0.1697,0.3330
36.0,-1.6576,30.3913,343.6807,3,3.7518,NaN,0.2121,0.3700
37.1,-1.6610,30.4023,342.1294,4,NaN,NaN,NaN,NaN
38.1,-1.6623,30.4147,340.3744,3,3.8480,NaN,0.2121,0.3478
39.0,-1.6627,30.4246,338.7878,3,NaN,NaN,NaN,NaN
40.0,-1.6607,30.4380,336.8393,4,4.0404,NaN,0.2333,0.3404
41.1,-1.6587,30.4486,334.1973,4,4.4252,NaN,0.3394,0.3404
42.1,-1.6545,30.4664,331.4571,3,NaN,NaN,NaN,NaN
43.1,-1.6529,30.4876,328.9250,4,4.7138,NaN,0.2969,0.3404
44.1,-1.6430,30.5285,325.4632,3,NaN,NaN,NaN,NaN
