2012,136.25144,-134.3758,84.6713,194
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
9.4,-1.6719,30.5628,364.6573,5,NaN,NaN,NaN,NaN
9.9,-1.6719,30.5613,364.6608,6,NaN,NaN,NaN,NaN
11.1,-1.6720,30.5659,364.5317,3,NaN,NaN,NaN,NaN
12.0,-1.6722,30.5661,364.6044,3,NaN,NaN,NaN,NaN
13.0,-1.6721,30.5676,364.7757,3,NaN,NaN,NaN,NaN
14.0,-1.6724,30.5725,364.8538,3,NaN,NaN,NaN,NaN
15.0,-1.6725,30.5766,365.0459,3,NaN,NaN,NaN,NaN
16.0,-1.6729,30.5841,365.0569,3,NaN,NaN,NaN,NaN
17.0,-1.6739,30.6038,365.1114,3,NaN,NaN,NaN,NaN
18.1,-1.6745,30.6171,365.2374,3,5.1948,NaN,0.3818,0.3108
19.1,-1.6752,30.6299,365.2822,3,NaN,NaN,NaN,NaN
20.1,-1.6762,30.6512,365.3749,3,5.2910,NaN,0.3394,0.3330
21.1,-1.6769,30.6621,365.5202,3,NaN,NaN,NaN,NaN
22.1,-1.6773,30.6692,365.6429,3,5.8682,NaN,0.4030,0.3182
23.1,-1.6775,30.6717,366.0944,3,NaN,NaN,NaN,NaN
24.1,-1.6776,30.6724,366.3569,3,5.6758,NaN,0.3181,0.3404
25.1,-1.6778,30.6730,366.5564,3,NaN,NaN,NaN,NaN
26.1,-1.6779,30.6739,366.5042,3,5.6758,NaN,0.4242,0.3330
27.1,-1.6780,30.6751,366.6752,3,NaN,NaN,NaN,NaN
28.1,-1.6780,30.6764,366.7437,3,NaN,NaN,NaN,NaN
29.0,-1.6781,30.6777,366.7203,2,5.9644,NaN,0.3394,0.3330
29.8,-1.6780,30.6784,366.9200,3,NaN,NaN,NaN,NaN
30.8,-1.6779,30.6790,367.0460,3,5.8682,NaN,0.3181,0.3404
31.8,-1.6777,30.6799,367.0661,3,NaN,NaN,NaN,NaN
32.8,-1.6779,30.6808,366.9899,3,6.0606,NaN,0.3394,0.3330
33.9,-1.6781,30.6819,367.1146,3,NaN,NaN,NaN,NaN
34.9,-1.6780,30.6844,367.6030,3,6.0606,NaN,0.3394,0.3404
35.9,-1.6782,30.6878,368.2182,3,NaN,NaN,NaN,NaN
36.9,-1.6780,30.6904,368.4241,3,6.0606,NaN,0.3606,0.3108
37.9,-1.6776,30.6969,368.2336,3,NaN,NaN,NaN,NaN
