2012,12.25145,-154.4838,84.7907,199
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.3,-1.7082,31.1677,369.7806,7,NaN,NaN,NaN,NaN
5.9,-1.7080,31.1675,NaN,2,NaN,NaN,NaN,NaN
7.0,-1.7082,31.1692,369.7833,4,NaN,NaN,NaN,NaN
8.1,-1.7081,31.1702,369.8357,3,NaN,NaN,NaN,NaN
9.1,-1.7084,31.1741,369.7717,3,NaN,NaN,NaN,NaN
10.1,-1.7085,31.1768,369.7533,3,NaN,NaN,NaN,NaN
11.0,-1.7090,31.1802,369.7610,2,NaN,NaN,NaN,NaN
11.9,-1.7087,31.1808,369.6751,3,NaN,NaN,NaN,NaN
12.9,-1.7088,31.1835,369.5453,3,NaN,NaN,NaN,NaN
14.0,-1.7093,31.1916,369.7046,3,NaN,NaN,NaN,NaN
15.0,-1.7099,31.1994,369.7586,3,NaN,NaN,NaN,NaN
16.1,-1.7111,31.2211,369.4962,3,NaN,NaN,NaN,NaN
17.1,-1.7117,31.2373,369.3868,3,NaN,NaN,NaN,NaN
18.0,-1.7128,31.2568,369.1608,2,NaN,NaN,NaN,NaN
18.9,-1.7139,31.2813,368.9468,3,NaN,NaN,NaN,NaN
19.9,-1.7145,31.2980,368.6424,3,NaN,NaN,NaN,NaN
21.0,-1.7151,31.3088,368.1923,3,NaN,NaN,NaN,NaN
22.0,-1.7153,31.3132,367.7943,3,NaN,NaN,NaN,NaN
23.1,-1.7155,31.3145,367.4768,3,NaN,NaN,NaN,NaN
24.1,-1.7156,31.3150,367.4564,3,NaN,NaN,NaN,NaN
25.1,-1.7154,31.3155,367.2810,3,NaN,NaN,NaN,NaN
26.0,-1.7157,31.3161,367.0511,2,NaN,NaN,NaN,NaN
26.9,-1.7153,31.3167,366.8657,3,NaN,NaN,NaN,NaN
27.9,-1.7156,31.3177,366.9533,3,NaN,NaN,NaN,NaN
29.0,-1.7154,31.3178,366.8149,3,NaN,NaN,NaN,NaN
30.0,-1.7153,31.3182,366.8594,3,NaN,NaN,NaN,NaN
31.0,-1.7154,31.3189,366.6620,3,NaN,NaN,NaN,NaN
32.1,-1.7154,31.3195,366.6656,3,NaN,NaN,NaN,NaN
33.1,-1.7156,31.3205,366.6852,3,NaN,NaN,NaN,NaN
34.0,-1.7158,31.3208,366.8746,2,NaN,NaN,NaN,NaN
34.9,-1.7157,31.3212,366.8200,3,NaN,NaN,NaN,NaN
35.9,-1.7155,31.3218,366.4628,3,NaN,NaN,NaN,NaN
36.9,-1.7155,31.3222,366.4017,3,NaN,NaN,NaN,NaN
38.0,-1.7158,31.3232,366.3394,3,NaN,NaN,NaN,NaN
39.0,-1.7156,31.3236,366.4930,3,NaN,NaN,NaN,NaN
40.0,-1.7157,31.3241,366.3451,3,NaN,NaN,NaN,NaN
41.1,-1.7158,31.3248,366.4135,3,NaN,NaN,NaN,NaN
42.1,-1.7160,31.3260,366.2413,3,NaN,NaN,NaN,NaN
43.0,-1.7159,31.3271,366.1041,2,NaN,NaN,NaN,NaN
43.8,-1.7158,31.3279,366.1788,3,NaN,NaN,NaN,NaN
44.9,-1.7160,31.3286,366.1605,3,NaN,NaN,NaN,NaN
45.9,-1.7159,31.3289,366.1408,3,NaN,NaN,NaN,NaN
47.0,-1.7158,31.3291,366.3048,3,NaN,NaN,NaN,NaN
48.0,-1.7155,31.3293,366.3829,3,NaN,NaN,NaN,NaN
49.0,-1.7154,31.3301,366.2528,3,NaN,NaN,NaN,NaN
50.1,-1.7128,31.3432,366.1062,3,NaN,NaN,NaN,NaN
51.1,-1.7093,31.3747,365.8286,3,NaN,NaN,NaN,NaN
52.1,-1.7043,31.4292,365.5122,3,NaN,NaN,NaN,NaN
53.0,-1.6994,31.4956,364.9442,2,NaN,NaN,NaN,NaN
53.9,-1.6978,31.5745,363.9795,3,NaN,NaN,NaN,NaN
54.9,-1.6962,31.6712,362.5143,3,NaN,NaN,NaN,NaN
55.9,-1.6937,31.7568,360.9157,3,NaN,NaN,NaN,NaN
57.0,-1.6918,31.8720,358.9250,3,NaN,NaN,NaN,NaN
58.0,-1.6910,31.9745,356.7995,3,NaN,NaN,NaN,NaN
59.1,-1.6926,32.0669,354.7599,3,NaN,NaN,NaN,NaN
60.1,-1.6954,32.1250,352.8473,3,NaN,NaN,NaN,NaN
61.1,-1.6998,32.1820,350.9847,3,NaN,NaN,NaN,NaN
62.0,-1.7003,32.2183,349.5792,2,NaN,NaN,NaN,NaN
