2011,365.25144,-155.4470,84.8178,197
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
7.3,-1.7153,31.3135,353.1211,7,NaN,NaN,NaN,NaN
7.9,-1.7152,31.3140,353.3569,5,NaN,NaN,NaN,NaN
8.9,-1.7151,31.3143,353.2704,3,NaN,NaN,NaN,NaN
9.9,-1.7153,31.3147,353.3534,3,NaN,NaN,NaN,NaN
10.9,-1.7151,31.3145,353.5599,3,NaN,NaN,NaN,NaN
11.9,-1.7153,31.3145,353.4177,3,NaN,NaN,NaN,NaN
12.9,-1.7153,31.3145,353.3606,3,NaN,NaN,NaN,NaN
13.9,-1.7152,31.3148,353.4093,3,NaN,NaN,NaN,NaN
14.9,-1.7152,31.3150,353.4087,3,7.1188,NaN,0.4454,0.3552
15.9,-1.7154,31.3151,353.4675,3,NaN,NaN,NaN,NaN
16.9,-1.7152,31.3149,353.4370,3,6.9264,NaN,0.3818,0.3330
18.0,-1.7152,31.3149,353.3817,3,NaN,NaN,NaN,NaN
19.0,-1.7152,31.3150,353.5136,3,7.1188,NaN,0.4454,0.3404
20.0,-1.7153,31.3155,353.6173,3,NaN,NaN,NaN,NaN
21.0,-1.7150,31.3154,353.5842,3,7.1188,NaN,0.4030,0.3626
22.1,-1.7151,31.3153,353.6221,3,NaN,NaN,NaN,NaN
23.1,-1.7151,31.3152,353.7379,3,7.1188,NaN,0.4666,0.3552
24.1,-1.7150,31.3152,353.6535,3,NaN,NaN,NaN,NaN
25.1,-1.7150,31.3152,353.6209,3,7.1188,NaN,0.4030,0.3478
26.1,-1.7151,31.3151,353.6503,3,NaN,NaN,NaN,NaN
27.2,-1.7147,31.3148,353.6747,3,NaN,NaN,NaN,NaN
28.0,-1.7149,31.3150,353.7910,2,7.1188,NaN,0.4242,0.3552
28.9,-1.7152,31.3156,353.7362,3,NaN,NaN,NaN,NaN
29.9,-1.7150,31.3168,353.6247,3,7.2150,NaN,0.4878,0.3330
30.9,-1.7150,31.3170,353.8182,3,NaN,NaN,NaN,NaN
31.9,-1.7148,31.3181,353.8932,3,7.0226,NaN,0.4030,0.3478
32.9,-1.7150,31.3187,353.8311,3,NaN,NaN,NaN,NaN
33.9,-1.7148,31.3180,353.8799,3,7.2150,NaN,0.4454,0.3478
34.9,-1.7147,31.3174,354.0223,3,NaN,NaN,NaN,NaN
36.0,-1.7149,31.3174,354.0156,3,7.3112,NaN,0.4242,0.3404
37.0,-1.7147,31.3170,353.9956,3,NaN,NaN,NaN,NaN
38.0,-1.7148,31.3163,354.0457,3,6.9264,NaN,0.3818,0.3256
39.0,-1.7147,31.3173,354.0303,3,NaN,NaN,NaN,NaN
