2012,71.00145,-140.9677,84.1687,198
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.2,-1.6499,30.1346,358.5700,9,2.5012,NaN,0.1485,0.3256
5.9,-1.6500,30.1345,357.9767,4,NaN,NaN,NaN,NaN
6.9,-1.6499,30.1346,357.8875,4,2.5974,NaN,0.2121,0.3330
8.0,-1.6499,30.1347,357.7122,4,NaN,NaN,NaN,NaN
9.0,-1.6498,30.1347,357.2210,4,2.5974,NaN,0.1697,0.3404
10.1,-1.6499,30.1347,356.2067,5,2.3088,NaN,0.1909,0.3256
11.0,-1.6498,30.1347,355.7241,4,2.5974,NaN,0.1485,0.3404
11.9,-1.6499,30.1349,354.8890,5,NaN,NaN,NaN,NaN
12.9,-1.6498,30.1348,355.0441,4,2.5974,NaN,0.1697,0.3182
14.0,-1.6499,30.1348,354.3044,5,2.6936,NaN,0.2121,0.3478
15.1,-1.6497,30.1346,353.2745,4,NaN,NaN,NaN,NaN
16.1,-1.6498,30.1347,353.0891,4,2.5974,NaN,0.1697,0.3256
17.1,-1.6498,30.1348,351.9562,4,2.5012,NaN,0.1909,0.3330
18.0,-1.6498,30.1346,351.4093,4,2.5974,NaN,0.1485,0.3404
19.0,-1.6498,30.1346,351.1502,4,NaN,NaN,NaN,NaN
20.0,-1.6499,30.1349,349.7000,4,2.5974,NaN,0.1485,0.3404
21.0,-1.6497,30.1349,349.1385,4,2.6936,NaN,0.1697,0.3256
22.1,-1.6497,30.1352,348.2423,4,NaN,NaN,NaN,NaN
23.0,-1.6497,30.1351,347.8641,3,2.6936,NaN,0.1697,0.3182
23.9,-1.6497,30.1352,346.7596,4,NaN,NaN,NaN,NaN
24.9,-1.6496,30.1354,345.9224,4,2.7898,NaN,0.1697,0.3330
25.9,-1.6497,30.1356,344.5222,4,2.5974,NaN,0.1909,0.3330
26.9,-1.6497,30.1358,343.2727,4,NaN,NaN,NaN,NaN
28.0,-1.6498,30.1380,342.3515,4,2.6936,NaN,0.1697,0.3256
29.0,-1.6499,30.1406,340.9531,4,2.5012,NaN,0.1909,0.3256
30.1,-1.6499,30.1432,339.5317,4,NaN,NaN,NaN,NaN
31.0,-1.6500,30.1469,337.8961,3,2.5012,NaN,0.1485,0.3330
32.0,-1.6504,30.1542,336.7241,4,2.5012,NaN,0.1909,0.3330
