2012,115.75144,-136.5483,84.3282,198
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.0,-1.6467,30.1603,NaN,4,NaN,NaN,NaN,NaN
5.9,-1.6465,30.1637,366.2430,3,NaN,NaN,NaN,NaN
6.9,-1.6462,30.1642,366.8195,3,NaN,NaN,NaN,NaN
7.9,-1.6463,30.1653,367.1548,3,NaN,NaN,NaN,NaN
8.9,-1.6464,30.1664,367.4087,3,NaN,NaN,NaN,NaN
9.9,-1.6466,30.1676,367.9195,3,NaN,NaN,NaN,NaN
10.9,-1.6466,30.1682,368.3987,3,NaN,NaN,NaN,NaN
11.9,-1.6467,30.1685,368.6745,3,NaN,NaN,NaN,NaN
13.0,-1.6467,30.1689,369.1622,3,NaN,NaN,NaN,NaN
14.0,-1.6466,30.1694,369.4645,3,2.4050,NaN,0.2969,0.3404
15.0,-1.6466,30.1699,369.8081,3,NaN,NaN,NaN,NaN
16.0,-1.6465,30.1704,370.1943,3,2.4050,NaN,0.3606,0.3330
17.1,-1.6467,30.1713,370.4403,3,NaN,NaN,NaN,NaN
18.1,-1.6468,30.1726,370.8089,3,2.2126,NaN,0.3181,0.3108
19.1,-1.6469,30.1747,371.2605,3,NaN,NaN,NaN,NaN
20.1,-1.6471,30.1773,371.6794,3,2.5012,NaN,0.2969,0.3330
21.1,-1.6473,30.1796,371.7199,3,NaN,NaN,NaN,NaN
22.0,-1.6476,30.1812,371.9763,2,2.4050,NaN,0.2969,0.3330
22.8,-1.6478,30.1823,372.4567,3,NaN,NaN,NaN,NaN
23.9,-1.6477,30.1839,372.8451,3,2.3088,NaN,0.2545,0.3330
24.9,-1.6476,30.1870,372.8913,3,NaN,NaN,NaN,NaN
25.9,-1.6475,30.1892,373.0759,3,2.4050,NaN,0.2969,0.3256
26.9,-1.6477,30.1919,373.4825,3,NaN,NaN,NaN,NaN
27.9,-1.6478,30.1945,373.7452,3,2.5012,NaN,0.2333,0.3182
29.0,-1.6478,30.1972,373.8619,3,NaN,NaN,NaN,NaN
30.0,-1.6481,30.1991,374.0723,3,2.5974,NaN,0.1909,0.3330
31.0,-1.6484,30.2010,374.2976,3,NaN,NaN,NaN,NaN
32.0,-1.6490,30.2067,374.3889,3,2.5012,NaN,0.1909,0.3404
33.0,-1.6497,30.2156,374.4205,3,NaN,NaN,NaN,NaN
34.1,-1.6504,30.2290,374.5856,3,2.5974,NaN,0.2121,0.3478
35.1,-1.6513,30.2486,374.7414,3,NaN,NaN,NaN,NaN
36.1,-1.6520,30.2621,374.5856,3,2.7898,NaN,0.2121,0.3256
37.2,-1.6525,30.2771,374.7650,3,NaN,NaN,NaN,NaN
38.0,-1.6523,30.2905,374.8219,2,2.8860,NaN,0.1697,0.3404
38.9,-1.6523,30.3081,374.7173,3,NaN,NaN,NaN,NaN
39.9,-1.6514,30.3298,374.7595,3,3.0784,NaN,0.1697,0.3404
40.9,-1.6498,30.3445,374.8413,3,NaN,NaN,NaN,NaN
41.9,-1.6449,30.3626,374.6095,3,3.3670,NaN,0.1273,0.3404
43.0,-1.6366,30.3901,374.4048,3,NaN,NaN,NaN,NaN
44.0,-1.6185,30.4424,374.1576,3,3.4632,NaN,0.2121,0.3404
45.0,-1.5914,30.5480,373.6979,3,NaN,NaN,NaN,NaN
46.0,-1.5612,30.6883,372.8389,3,3.4632,NaN,0.2333,0.3404
47.0,-1.5235,30.9110,371.1853,3,NaN,NaN,NaN,NaN
48.1,-1.4912,31.1572,369.3006,3,3.7518,NaN,0.1909,0.3330
49.1,-1.4779,31.2563,367.4100,3,NaN,NaN,NaN,NaN
50.1,-1.4667,31.3415,364.9871,3,4.2328,NaN,0.2757,0.3330
51.1,-1.4560,31.4329,362.9785,3,NaN,NaN,NaN,NaN
52.1,-1.4449,31.5196,360.9743,3,4.1366,NaN,0.2121,0.3256
53.1,-1.4370,31.6151,358.9483,3,NaN,NaN,NaN,NaN
54.1,-1.4417,31.7047,356.8834,3,4.1366,NaN,0.2121,0.3330
55.2,-1.4544,31.7957,354.7931,3,NaN,NaN,NaN,NaN
56.0,-1.4610,31.8510,353.2017,2,4.0404,NaN,0.2545,0.3108
56.9,-1.4700,31.9048,351.3432,3,NaN,NaN,NaN,NaN
57.9,-1.4780,31.9530,349.0122,3,4.0404,NaN,0.2333,0.3182
58.9,-1.4819,31.9890,346.9366,3,NaN,NaN,NaN,NaN
59.9,-1.4850,32.0208,344.8598,3,NaN,NaN,NaN,NaN
60.9,-1.4916,32.0589,342.5726,3,3.7518,NaN,0.1909,0.3256
61.9,-1.4969,32.0871,340.7037,3,NaN,NaN,NaN,NaN
63.0,-1.5063,32.1136,338.8195,3,3.9442,NaN,0.1909,0.3108
