2011,273.58478,169.5648,84.1817,197
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
6.1,-1.5289,28.0320,NaN,4,9.9086,NaN,1.0817,0.5106
7.0,-1.5289,28.0319,346.7504,4,9.9086,NaN,1.0605,0.5624
8.1,-1.5291,28.0334,346.3953,3,NaN,NaN,NaN,NaN
9.0,-1.5291,28.0337,345.8825,3,10.1010,NaN,0.9969,0.5106
10.0,-1.5294,28.0361,345.5809,4,NaN,NaN,NaN,NaN
11.0,-1.5295,28.0381,344.2047,3,10.1010,NaN,1.0393,0.5402
12.0,-1.5299,28.0420,343.6441,4,9.9086,NaN,1.1029,0.5328
13.1,-1.5299,28.0460,343.1154,3,NaN,NaN,NaN,NaN
13.9,-1.5300,28.0519,342.2868,3,9.8124,NaN,1.1029,0.5550
15.0,-1.5302,28.0557,341.4839,4,NaN,NaN,NaN,NaN
16.0,-1.5306,28.0603,341.1793,3,9.8124,NaN,1.1241,0.5624
17.0,-1.5294,28.0636,339.4565,4,NaN,NaN,NaN,NaN
18.1,-1.5293,28.0656,337.8303,3,9.9086,NaN,1.0605,0.5476
19.0,-1.5298,28.0674,336.7014,3,NaN,NaN,NaN,NaN
20.0,-1.5297,28.0716,335.1056,4,9.9086,NaN,1.0393,0.5476
21.1,-1.5299,28.0853,332.4850,3,9.9086,NaN,1.0817,0.5254
22.0,-1.5284,28.1423,329.9876,3,NaN,NaN,NaN,NaN
23.0,-1.5279,29.2299,325.5674,4,9.6200,NaN,1.0393,0.5476
24.1,-1.5504,30.0639,321.9790,3,NaN,NaN,NaN,NaN
25.0,-1.5797,30.4265,320.2039,3,10.5820,NaN,0.6363,0.5106
25.9,-1.6032,30.6983,317.9446,3,NaN,NaN,NaN,NaN
26.9,-1.6211,30.9090,315.9750,3,9.6200,NaN,0.5515,0.4958
28.0,-1.6225,31.0724,313.8758,4,NaN,NaN,NaN,NaN
29.1,-1.6286,31.2238,312.3180,3,8.9466,NaN,0.5090,0.4514
30.1,-1.6376,31.3459,310.9520,3,NaN,NaN,NaN,NaN
31.0,-1.6370,31.4473,309.6522,3,8.7542,NaN,0.4666,0.4366
32.0,-1.6428,31.5448,308.3107,3,NaN,NaN,NaN,NaN
32.9,-1.6350,31.6463,306.7891,3,7.7922,NaN,0.4878,0.4218
34.0,-1.6335,31.7615,305.2388,4,7.6960,NaN,0.3818,0.4366
35.1,-1.6464,31.9005,303.8204,3,NaN,NaN,NaN,NaN
36.1,-1.6433,32.0133,303.2160,3,7.3112,NaN,0.3818,0.4144
37.0,-1.6284,32.1357,301.9673,3,NaN,NaN,NaN,NaN
37.9,-1.6315,32.2362,301.7046,3,6.9264,NaN,0.3818,0.4070
38.9,-1.6274,32.3368,301.5463,3,NaN,NaN,NaN,NaN
40.0,-1.6473,32.4321,300.9450,4,6.5416,NaN,0.3606,0.3922
41.1,-1.6650,32.5339,300.2463,3,NaN,NaN,NaN,NaN
42.1,-1.6650,32.6019,299.9350,3,6.2530,NaN,0.2969,0.3996
43.0,-1.6630,32.6635,299.6373,3,NaN,NaN,NaN,NaN
44.0,-1.6693,32.7188,299.4961,3,6.0606,NaN,0.2969,0.3922
44.9,-1.6756,32.7638,299.8054,3,NaN,NaN,NaN,NaN
45.9,-1.6793,32.8040,299.6199,3,5.6758,NaN,0.2757,0.3848
46.9,-1.6756,32.8377,298.5841,3,NaN,NaN,NaN,NaN
48.0,-1.6583,32.8783,298.8769,4,5.5796,NaN,0.2757,0.3922
49.1,-1.6442,32.9387,298.3287,3,NaN,NaN,NaN,NaN
50.0,-1.6416,32.9857,298.0931,3,5.3872,NaN,0.2757,0.3848
51.0,-1.6228,33.0345,298.1655,3,NaN,NaN,NaN,NaN
