2011,270.58477,168.7222,84.1889,194
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
6.1,-1.5342,28.1365,354.3468,6,9.7162,NaN,1.1241,0.5254
7.0,-1.5341,28.1352,353.6856,4,NaN,NaN,NaN,NaN
8.0,-1.5341,28.1351,353.6111,6,9.5238,NaN,1.1241,0.5254
9.0,-1.5339,28.1346,353.8709,4,9.8124,NaN,1.1241,0.5328
10.0,-1.5340,28.1348,353.3201,5,9.8124,NaN,1.0817,0.5328
11.0,-1.5340,28.1351,352.7401,6,9.5238,NaN,1.1241,0.5180
12.0,-1.5340,28.1348,352.2877,5,9.7162,NaN,1.1029,0.5180
13.0,-1.5342,28.1364,351.7112,5,NaN,NaN,NaN,NaN
14.0,-1.5343,28.1372,350.6955,6,9.7162,NaN,1.1029,0.5180
15.0,-1.5342,28.1374,349.5300,6,9.6200,NaN,1.1029,0.5254
15.9,-1.5343,28.1376,348.9466,5,9.6200,NaN,1.1241,0.5180
16.9,-1.5343,28.1397,348.0249,5,9.6200,NaN,1.1453,0.5180
17.9,-1.5343,28.1422,346.8332,4,9.8124,NaN,1.1029,0.5254
19.0,-1.5343,28.1459,345.6255,5,9.7162,NaN,1.1453,0.5402
20.0,-1.5344,28.1620,343.3634,4,NaN,NaN,NaN,NaN
21.0,-1.5354,28.4640,341.0270,4,9.7162,NaN,1.1453,0.5402
22.0,-1.5460,29.6066,336.8301,5,10.4858,NaN,0.7211,0.4588
23.0,-1.5632,29.9603,334.7965,4,NaN,NaN,NaN,NaN
24.0,-1.5816,30.1166,331.9151,5,10.6782,NaN,0.6363,0.4514
25.0,-1.6032,30.2656,330.7219,5,10.5820,NaN,0.5939,0.4440
26.1,-1.6186,30.4414,329.4054,4,10.0048,NaN,0.5303,0.4514
27.1,-1.6238,30.6029,328.1797,4,NaN,NaN,NaN,NaN
28.0,-1.6447,30.7208,327.1044,3,9.6200,NaN,0.5939,0.4588
29.0,-1.6422,30.8125,326.0373,4,9.8124,NaN,0.5303,0.4144
