2012,142.75144,-133.1573,84.8570,199
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
83.1,-1.4858,32.5619,305.5168,3,NaN,NaN,NaN,NaN
84.1,-1.4707,32.5965,304.1356,3,4.0404,NaN,0.2333,0.3330
85.1,-1.4675,32.6184,302.6893,3,NaN,NaN,NaN,NaN
86.1,-1.4622,32.6413,301.1544,3,4.1366,NaN,0.1697,0.3404
87.1,-1.4591,32.6546,299.8734,3,NaN,NaN,NaN,NaN
88.1,-1.4523,32.6670,298.6790,3,4.3290,NaN,0.2757,0.3404
89.1,-1.4539,32.6823,297.7473,3,NaN,NaN,NaN,NaN
90.0,-1.4336,32.7061,296.3423,3,4.4252,NaN,0.2757,0.3404
91.0,-1.4561,32.7354,295.3780,3,NaN,NaN,NaN,NaN
92.0,-1.4505,32.7496,294.0923,3,4.3290,NaN,0.2757,0.3404
93.0,-1.4289,32.7768,292.8358,3,NaN,NaN,NaN,NaN
94.0,-1.4272,32.8038,291.5117,3,4.4252,NaN,0.2333,0.3478
95.0,-1.4318,32.8256,289.7117,3,NaN,NaN,NaN,NaN
96.0,-1.4341,32.8500,287.7864,3,4.5214,NaN,0.2545,0.3478
97.0,-1.4478,32.8704,286.0263,3,NaN,NaN,NaN,NaN
98.0,-1.4476,32.8940,284.5207,3,4.4252,NaN,0.2333,0.3478
99.0,-1.4373,32.9087,283.2620,3,4.2328,NaN,0.2757,0.3404
99.9,-1.4368,32.9152,281.4967,3,NaN,NaN,NaN,NaN
100.9,-1.4424,32.9428,279.6562,3,4.1366,NaN,0.2969,0.3478
101.9,-1.4557,32.9715,277.8081,3,NaN,NaN,NaN,NaN
102.9,-1.4677,32.9968,276.2958,3,4.2328,NaN,0.2121,0.3552
103.9,-1.4788,33.0257,275.1955,3,NaN,NaN,NaN,NaN
104.9,-1.4895,33.0458,274.4088,3,4.1366,NaN,0.2757,0.3552
105.9,-1.4952,33.0593,273.8740,3,NaN,NaN,NaN,NaN
