2011,273.08477,169.2934,84.1664,197
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
6.0,-1.5280,28.0052,348.4800,5,9.9086,0.0945,1.0605,0.5106
7.0,-1.5280,28.0063,347.9986,4,9.9086,0.0835,1.1029,0.5846
8.1,-1.5279,28.0075,347.7454,3,NaN,NaN,NaN,NaN
9.0,-1.5278,28.0096,347.3453,3,9.8124,0.0628,1.0817,0.5328
10.0,-1.5277,28.0117,346.7730,3,NaN,NaN,NaN,NaN
11.0,-1.5277,28.0122,346.1511,4,9.9086,NaN,1.0605,0.5476
12.1,-1.5273,28.0175,345.9163,3,NaN,NaN,NaN,NaN
12.9,-1.5273,28.0232,345.1344,3,9.8124,NaN,1.0605,0.5328
14.0,-1.5275,28.0276,344.2654,4,9.9086,NaN,1.0817,0.5402
15.1,-1.5276,28.0372,343.2512,3,NaN,NaN,NaN,NaN
16.0,-1.5282,28.0463,342.4995,3,9.9086,NaN,1.0605,0.5476
16.9,-1.5285,28.0519,341.7439,3,NaN,NaN,NaN,NaN
17.9,-1.5288,28.0561,340.6403,3,9.7162,NaN,1.1029,0.5254
19.0,-1.5294,28.0689,338.4426,4,NaN,NaN,NaN,NaN
20.1,-1.5296,28.0822,336.6863,3,9.7162,NaN,1.1029,0.5328
21.0,-1.5299,28.0989,334.4014,3,NaN,NaN,NaN,NaN
21.9,-1.5296,28.1644,331.5977,3,9.6200,NaN,1.1453,0.5476
23.0,-1.5299,29.3883,325.9478,4,NaN,NaN,NaN,NaN
24.1,-1.5475,30.0193,322.7761,3,10.9668,NaN,0.7848,0.5032
25.1,-1.5685,30.2991,321.3787,3,NaN,NaN,NaN,NaN
26.1,-1.5882,30.5137,319.4150,3,10.2934,NaN,0.6363,0.4958
27.0,-1.6008,30.6984,317.6986,3,NaN,NaN,NaN,NaN
28.0,-1.6084,30.9233,315.7259,3,9.7162,NaN,0.5727,0.4736
29.0,-1.6094,31.1314,312.5689,3,NaN,NaN,NaN,NaN
30.0,-1.6352,31.2906,310.5808,3,8.6580,NaN,0.5515,0.4662
30.9,-1.6294,31.4657,309.1198,3,8.4656,NaN,0.4454,0.4292
31.9,-1.6212,31.6517,307.4949,3,NaN,NaN,NaN,NaN
32.9,-1.6297,31.8094,305.4552,3,7.5998,NaN,0.4666,0.4366
33.9,-1.6358,31.9751,304.3107,3,NaN,NaN,NaN,NaN
35.0,-1.6364,32.1511,303.3382,4,7.1188,NaN,0.3818,0.4144
36.2,-1.6446,32.2648,302.4913,3,NaN,NaN,NaN,NaN
37.1,-1.6548,32.3455,302.2053,3,6.5416,NaN,0.3394,0.4292
38.1,-1.6580,32.4164,301.8806,3,NaN,NaN,NaN,NaN
39.1,-1.6629,32.4916,301.9170,3,6.5416,NaN,0.3818,0.4070
40.1,-1.6685,32.5459,301.9971,3,NaN,NaN,NaN,NaN
41.1,-1.6745,32.5966,301.5577,3,6.0606,NaN,0.2969,0.3848
42.1,-1.6797,32.6552,301.7660,3,NaN,NaN,NaN,NaN
43.0,-1.6751,32.7043,301.7489,3,6.0606,NaN,0.3181,0.3996
44.0,-1.6709,32.7454,301.9355,3,NaN,NaN,NaN,NaN
45.0,-1.6858,32.7860,301.6424,3,5.9644,NaN,0.2969,0.3700
46.0,-1.6973,32.8226,301.2328,3,NaN,NaN,NaN,NaN
47.0,-1.7006,32.8616,300.6323,3,5.6758,NaN,0.2757,0.3774
48.0,-1.6823,32.8988,299.9159,3,NaN,NaN,NaN,NaN
49.0,-1.6667,32.9395,300.1491,3,5.4834,NaN,0.2545,0.4070
50.0,-1.6532,32.9775,298.8485,3,NaN,NaN,NaN,NaN
51.0,-1.6482,33.0137,297.6921,3,5.2910,NaN,0.2545,0.3922
51.9,-1.6397,33.0556,297.5948,3,NaN,NaN,NaN,NaN
52.9,-1.6120,33.1122,296.8903,3,5.1948,NaN,0.2333,0.3774
53.9,-1.5723,33.1834,296.6153,3,NaN,NaN,NaN,NaN
54.9,-1.5618,33.2522,296.7662,3,5.0986,NaN,0.2333,0.3922
55.9,-1.5670,33.3245,296.8597,3,NaN,NaN,NaN,NaN
56.9,-1.5660,33.3787,296.9317,3,4.7138,NaN,0.2333,0.3848
57.9,-1.5550,33.4222,297.5595,3,NaN,NaN,NaN,NaN
58.9,-1.5547,33.4604,297.7815,3,4.5214,NaN,0.1909,0.3774
59.9,-1.5585,33.4938,297.4701,3,NaN,NaN,NaN,NaN
60.9,-1.5538,33.5212,297.1596,3,4.5214,NaN,0.1909,0.3478
61.9,-1.5448,33.5486,297.3908,3,NaN,NaN,NaN,NaN
62.9,-1.5335,33.5785,296.8267,3,4.2328,NaN,0.1697,0.3552
63.9,-1.5228,33.6056,296.4274,3,NaN,NaN,NaN,NaN
64.9,-1.5123,33.6311,296.5275,3,4.0404,NaN,0.1697,0.3478
65.9,-1.5004,33.6585,296.3841,3,NaN,NaN,NaN,NaN
66.9,-1.4858,33.6865,295.0121,3,3.9442,NaN,0.1485,0.3478
67.9,-1.4718,33.7120,294.5359,3,NaN,NaN,NaN,NaN
68.9,-1.4605,33.7339,294.1742,3,3.8480,NaN,0.1697,0.3404
69.8,-1.4495,33.7536,294.0043,3,NaN,NaN,NaN,NaN
70.8,-1.4350,33.7784,294.0441,3,3.9442,NaN,0.1697,0.3552
71.8,-1.4107,33.8112,294.0301,3,NaN,NaN,NaN,NaN
72.8,-1.3832,33.8391,293.9514,3,3.5594,NaN,0.1485,0.3404
73.8,-1.3703,33.8589,293.6721,3,NaN,NaN,NaN,NaN
74.8,-1.3528,33.8857,293.8403,3,3.6556,NaN,0.1697,0.3552
75.8,-1.3376,33.9124,293.4934,3,NaN,NaN,NaN,NaN
76.8,-1.3241,33.9328,293.3130,3,3.5594,NaN,0.1485,0.3478
77.8,-1.3162,33.9513,293.4040,3,NaN,NaN,NaN,NaN
78.8,-1.3053,33.9733,293.4000,3,3.4632,NaN,0.1273,0.3552
79.8,-1.2904,33.9953,293.8170,3,NaN,NaN,NaN,NaN
80.8,-1.2781,34.0115,293.8054,3,3.3670,NaN,0.1697,0.3552
81.8,-1.2720,34.0247,293.8715,3,NaN,NaN,NaN,NaN
82.8,-1.2665,34.0366,293.5988,3,3.1746,NaN,0.0636,0.3552
83.8,-1.2619,34.0477,293.8466,3,NaN,NaN,NaN,NaN
84.8,-1.2552,34.0601,294.7301,3,2.9822,NaN,0.0636,0.3774
85.8,-1.2460,34.0734,294.6734,3,NaN,NaN,NaN,NaN
86.8,-1.2423,34.0829,294.4871,3,3.0784,NaN,0.1273,0.3552
87.9,-1.2341,34.0937,294.4988,3,NaN,NaN,NaN,NaN
88.9,-1.2250,34.1037,294.2898,3,3.1746,NaN,0.1273,0.3330
89.9,-1.2227,34.1119,295.0777,3,NaN,NaN,NaN,NaN
90.9,-1.2196,34.1228,294.7125,3,2.8860,NaN,0.1273,0.3626
91.9,-1.2132,34.1338,294.9177,3,NaN,NaN,NaN,NaN
92.9,-1.2078,34.1439,295.1392,3,2.9822,NaN,0.1273,0.4292
93.9,-1.2026,34.1536,294.3984,3,NaN,NaN,NaN,NaN
94.9,-1.1969,34.1633,294.0858,3,2.6936,NaN,0.0424,0.3330
95.9,-1.1918,34.1732,295.0785,3,NaN,NaN,NaN,NaN
96.9,-1.1872,34.1799,295.2748,3,2.7898,NaN,0.0848,0.3404
98.0,-1.1857,34.1865,294.5123,3,NaN,NaN,NaN,NaN
99.0,-1.1850,34.1955,294.8293,3,2.9822,NaN,0.1061,0.3404
100.0,-1.1797,34.2044,295.3415,3,NaN,NaN,NaN,NaN
