2012,176.50144,-120.1734,85.5776,763
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
5.4,-1.6759,31.1193,NaN,2,NaN,NaN,NaN,NaN
5.9,-1.6759,31.1191,353.0286,6,8.1770,NaN,0.7211,0.4514
7.1,-1.6756,31.1195,352.7167,4,NaN,NaN,NaN,NaN
8.0,-1.6758,31.1196,352.2642,4,8.3694,NaN,0.7424,0.4440
9.0,-1.6756,31.1197,352.3127,4,8.1770,NaN,0.7636,0.3996
10.0,-1.6756,31.1199,352.1146,4,NaN,NaN,NaN,NaN
11.0,-1.6757,31.1198,351.8713,5,8.3694,NaN,0.8484,0.4218
12.0,-1.6756,31.1198,351.7949,5,8.3694,NaN,0.8696,0.4440
13.0,-1.6755,31.1197,351.6871,6,8.1770,NaN,1.3362,0.3996
14.0,-1.6758,31.1196,351.5368,7,8.2732,NaN,0.7211,0.3996
15.0,-1.6757,31.1209,351.4207,6,8.2732,NaN,0.7211,0.4144
16.1,-1.6756,31.1217,351.4935,5,8.3694,NaN,0.7211,0.3700
17.1,-1.6757,31.1220,351.4589,5,8.5618,NaN,0.8272,0.4144
18.0,-1.6756,31.1218,351.0204,5,NaN,NaN,NaN,NaN
19.0,-1.6755,31.1217,350.9922,5,8.2732,NaN,0.7848,0.3996
19.9,-1.6757,31.1240,350.7428,5,8.3694,NaN,1.7392,0.4958
20.9,-1.6772,31.1359,350.6708,5,8.2732,NaN,0.7424,0.3848
22.0,-1.6779,31.1418,350.4888,4,8.1770,NaN,0.7424,0.3996
22.9,-1.6786,31.1464,350.2987,4,NaN,NaN,NaN,NaN
24.0,-1.6791,31.1503,349.8897,5,8.3694,NaN,0.8272,0.4070
25.1,-1.6804,31.1610,349.7404,4,8.3694,NaN,0.7211,0.3922
26.0,-1.6808,31.1686,349.5181,4,NaN,NaN,NaN,NaN
27.1,-1.6811,31.1731,349.4987,4,8.1770,NaN,0.6787,0.3996
28.0,-1.6820,31.1778,349.2010,3,8.2732,NaN,0.6363,0.3996
29.0,-1.6831,31.1821,349.0387,4,NaN,NaN,NaN,NaN
30.0,-1.6840,31.1856,348.6576,4,8.0808,NaN,0.6363,0.3774
31.0,-1.6845,31.1877,348.3728,4,8.2732,NaN,0.5939,0.6142
32.1,-1.6851,31.1916,347.9040,4,NaN,NaN,NaN,NaN
33.1,-1.6876,31.2034,347.6532,4,8.0808,NaN,0.5727,0.3848
34.0,-1.6993,31.2482,347.0913,3,NaN,NaN,NaN,NaN
35.0,-1.7025,31.2622,346.4334,4,8.1770,NaN,0.6151,0.3626
36.1,-1.7049,31.2747,346.1564,4,7.9846,NaN,0.5515,0.4070
37.1,-1.7069,31.2818,345.2824,4,NaN,NaN,NaN,NaN
38.0,-1.7077,31.2848,344.8985,4,8.0808,NaN,0.5090,0.3922
39.1,-1.7080,31.2876,344.0886,4,7.9846,NaN,0.4454,0.3552
40.0,-1.7085,31.2925,343.7190,3,NaN,NaN,NaN,NaN
41.0,-1.7088,31.2967,343.2260,4,7.9846,NaN,0.4878,0.4070
42.0,-1.7093,31.3008,342.7078,4,8.1770,NaN,0.4666,0.3626
43.1,-1.7095,31.3043,341.9484,4,NaN,NaN,NaN,NaN
44.1,-1.7097,31.3058,341.1504,4,8.1770,NaN,0.5090,0.3626
45.0,-1.7099,31.3073,340.4821,3,NaN,NaN,NaN,NaN
45.9,-1.7103,31.3121,339.6207,4,8.1770,NaN,0.4454,0.3478
46.9,-1.7106,31.3140,338.7694,3,8.0808,NaN,0.4666,0.3478
47.9,-1.7107,31.3159,338.2989,4,NaN,NaN,NaN,NaN
49.0,-1.7109,31.3179,337.0929,4,8.2732,NaN,0.4878,0.3478
50.1,-1.7111,31.3198,335.9466,4,NaN,NaN,NaN,NaN
51.0,-1.7112,31.3231,334.7281,3,8.0808,NaN,0.4878,0.3478
51.9,-1.7118,31.3275,333.8018,4,8.1770,NaN,0.4666,0.3478
52.9,-1.7124,31.3358,332.6427,3,NaN,NaN,NaN,NaN
54.0,-1.7131,31.3504,331.2699,4,8.0808,NaN,0.5090,0.3404
55.0,-1.7143,31.3719,329.9053,3,NaN,NaN,NaN,NaN
56.0,-1.7155,31.3937,328.4551,4,7.9846,NaN,0.4878,0.3626
57.1,-1.7178,31.4206,326.6517,4,8.2732,NaN,0.4454,0.3478
58.1,-1.7184,31.4345,325.2413,3,NaN,NaN,NaN,NaN
