2008,333.00010,-142.8388,71.4240,756
%pressure(dbar),temperature(C),salinity,nobs
6.1,-1.4747,27.1870,16
6.9,-1.4746,27.1877,4
7.9,-1.4746,27.1882,4
9.0,-1.4755,27.2017,5
10.1,-1.4742,27.2406,4
11.1,-1.4731,27.2681,4
12.1,-1.4778,27.3166,4
13.1,-1.4861,27.3851,4
14.1,-1.4894,27.4141,4
15.1,-1.4904,27.4343,4
16.0,-1.4885,27.4472,4
17.0,-1.4875,27.4617,4
18.0,-1.4876,27.4657,4
19.0,-1.4884,27.4766,4
20.0,-1.4896,27.4866,4
21.0,-1.4901,27.4991,4
21.9,-1.4868,27.5141,4
22.9,-1.4883,27.5215,4
23.9,-1.4880,27.5289,4
25.0,-1.4868,27.5312,5
26.1,-1.4864,27.5338,4
27.1,-1.4814,27.5376,4
28.1,-1.4810,27.5407,4
29.0,-1.4860,27.5435,4
30.0,-1.4894,27.5482,4
31.0,-1.4791,27.5982,4
32.0,-1.3399,27.8188,4
33.0,-1.1038,28.0150,4
34.0,-1.0175,28.1179,4
35.0,-0.9880,28.2665,4
36.0,-0.9455,28.4028,4
37.0,-1.0160,28.4882,4
37.9,-1.0818,28.5837,4
38.9,-1.1091,28.6537,4
39.9,-1.1024,28.7267,4
40.9,-1.0950,28.7906,4
41.9,-1.0634,28.9119,4
43.0,-0.9206,29.0414,5
44.1,-0.8772,29.1808,4
45.1,-0.8509,29.2436,4
46.1,-0.8329,29.2624,4
47.1,-0.8201,29.3073,4
48.1,-0.8298,29.3979,4
49.1,-0.8536,29.4818,4
50.0,-0.8773,29.5428,4
51.0,-0.8887,29.6276,4
52.0,-0.8939,29.8276,4
53.0,-0.8294,29.9664,4
54.0,-0.8445,30.0595,4
55.0,-0.8397,30.1257,4
56.0,-0.8344,30.1910,4
57.0,-0.8144,30.3095,4
58.0,-0.8001,30.4208,4
59.0,-0.7947,30.4732,4
60.0,-0.7742,30.5836,4
61.0,-0.7677,30.6840,4
62.0,-0.7582,30.8044,4
63.1,-0.7736,30.8853,4
64.1,-0.8007,30.9608,4
65.1,-0.8113,31.0009,4
66.1,-0.8264,31.0595,4
67.1,-0.8040,31.1026,4
68.1,-0.8109,31.1377,4
69.1,-0.8191,31.1691,4
70.1,-0.8320,31.2144,4
71.1,-0.8654,31.2912,4
72.1,-0.8738,31.3244,4
73.1,-0.8723,31.3563,4
74.1,-0.8591,31.3923,4
75.1,-0.7924,31.4594,4
76.1,-0.6814,31.5036,4
77.1,-0.5671,31.5709,4
78.1,-0.5524,31.6179,4
79.1,-0.5652,31.6663,4
80.1,-0.5762,31.6857,4
81.1,-0.5964,31.7070,4
82.1,-0.6021,31.7168,4
83.1,-0.6264,31.7443,4
84.1,-0.6527,31.7743,4
85.1,-0.6764,31.7983,4
86.0,-0.7015,31.8202,3
86.9,-0.7324,31.8457,4
87.9,-0.7562,31.8650,4
88.9,-0.7751,31.8814,4
89.9,-0.7993,31.9030,4
90.9,-0.8262,31.9215,4
91.9,-0.8528,31.9441,4
92.9,-0.8870,31.9701,4
94.0,-0.9147,31.9847,4
95.0,-0.9439,32.0018,4
96.0,-0.9831,32.0292,4
97.0,-1.0138,32.0370,4
98.0,-1.0872,32.0587,4
99.0,-1.1148,32.0808,4
100.0,-1.1245,32.0926,4
101.0,-1.1549,32.1080,4
102.1,-1.1739,32.1313,4
103.1,-1.2056,32.1394,4
104.1,-1.2735,32.1608,4
105.1,-1.2907,32.1832,4
106.1,-1.2913,32.1983,4
107.1,-1.2874,32.2088,4
108.0,-1.2958,32.2198,3
108.9,-1.3006,32.2287,4
109.9,-1.3247,32.2442,4
110.9,-1.3291,32.2648,4
111.9,-1.2848,32.2910,4
112.9,-1.2530,32.2993,4
113.9,-1.2597,32.3159,4
114.9,-1.2540,32.3265,4
115.9,-1.2634,32.3356,4
116.9,-1.2719,32.3472,4
117.9,-1.2785,32.3605,4
118.9,-1.2915,32.3698,4
119.9,-1.3000,32.3864,4
120.9,-1.2965,32.3879,4
121.9,-1.2986,32.3939,4
122.9,-1.3071,32.4094,4
123.9,-1.3120,32.4225,4
124.9,-1.3224,32.4365,4
125.9,-1.3225,32.4480,4
126.9,-1.3278,32.4671,4
127.9,-1.3357,32.4883,4
129.0,-1.3442,32.5108,5
130.1,-1.3449,32.5234,4
131.1,-1.3448,32.5394,4
132.1,-1.3471,32.5530,4
133.0,-1.3493,32.5625,3
133.9,-1.3562,32.5740,4
134.9,-1.3607,32.5884,4
135.9,-1.3568,32.6004,4
136.9,-1.3630,32.6171,4
137.9,-1.3679,32.6328,4
138.9,-1.3693,32.6450,4
139.9,-1.3726,32.6546,4
140.9,-1.3789,32.6654,4
141.9,-1.3833,32.6751,4
142.9,-1.3895,32.6858,4
143.9,-1.3956,32.6949,4
144.9,-1.4032,32.7092,4
145.9,-1.4095,32.7245,4
146.9,-1.4140,32.7404,4
147.9,-1.4172,32.7537,4
148.9,-1.4216,32.7666,4
149.9,-1.4255,32.7798,4
150.9,-1.4284,32.7888,4
151.9,-1.4319,32.8025,4
152.9,-1.4341,32.8132,4
153.9,-1.4366,32.8244,4
154.9,-1.4422,32.8396,4
155.9,-1.4449,32.8583,4
156.9,-1.4473,32.8791,4
157.9,-1.4526,32.9002,4
158.9,-1.4580,32.9192,4
159.9,-1.4615,32.9338,4
160.9,-1.4621,32.9456,4
161.9,-1.4660,32.9664,4
162.9,-1.4690,32.9886,4
163.9,-1.4702,32.9990,4
164.9,-1.4708,33.0071,4
165.9,-1.4710,33.0137,4
166.9,-1.4709,33.0306,4
167.9,-1.4708,33.0510,4
168.9,-1.4703,33.0703,4
169.9,-1.4712,33.0949,4
170.9,-1.4709,33.1098,4
171.9,-1.4698,33.1205,4
173.0,-1.4695,33.1362,4
174.0,-1.4646,33.1650,4
175.0,-1.4625,33.1870,4
176.0,-1.4556,33.2078,4
177.0,-1.4425,33.2288,4
178.0,-1.4433,33.2509,4
179.0,-1.4452,33.2853,4
180.0,-1.4416,33.3049,4
181.0,-1.4340,33.3274,4
182.0,-1.4237,33.3540,4
183.0,-1.4151,33.3728,4
184.1,-1.4155,33.3904,4
185.1,-1.4194,33.4114,4
186.1,-1.4158,33.4322,4
187.1,-1.4051,33.4513,4
188.1,-1.4017,33.4747,4
189.0,-1.3968,33.5008,3
189.9,-1.3874,33.5210,4
190.9,-1.3819,33.5385,4
191.9,-1.3716,33.5622,4
192.9,-1.3626,33.5854,4
193.9,-1.3560,33.6137,4
194.9,-1.3507,33.6339,4
196.0,-1.3447,33.6562,4
197.0,-1.3306,33.6783,4
198.0,-1.3225,33.6973,4
199.0,-1.3143,33.7175,4
200.0,-1.3084,33.7347,4
201.0,-1.3030,33.7521,4
202.0,-1.2961,33.7681,4
203.0,-1.2913,33.7884,4
204.1,-1.2825,33.8077,4
205.1,-1.2762,33.8258,4
206.1,-1.2680,33.8445,4
207.1,-1.2579,33.8628,4
208.1,-1.2467,33.8830,4
209.1,-1.2328,33.8978,4
210.0,-1.2241,33.9095,3
210.9,-1.2183,33.9263,4
211.9,-1.1954,33.9418,4
212.9,-1.1955,33.9497,4
213.9,-1.1846,33.9675,4
215.0,-1.1648,33.9797,4
216.0,-1.1527,34.0018,4
217.0,-1.1293,34.0179,4
218.0,-1.1097,34.0337,4
219.0,-1.0918,34.0459,4
220.1,-1.0747,34.0580,4
221.1,-1.0546,34.0721,4
222.1,-1.0323,34.0872,4
223.1,-1.0059,34.1043,4
224.0,-0.9798,34.1189,3
224.9,-0.9598,34.1301,4
225.9,-0.9381,34.1431,4
226.9,-0.9149,34.1592,4
227.9,-0.8911,34.1707,4
228.9,-0.8639,34.1920,4
229.9,-0.8330,34.2062,4
230.9,-0.8123,34.2164,4
232.0,-0.7946,34.2284,4
233.0,-0.7749,34.2371,4
234.0,-0.7562,34.2486,4
235.0,-0.7266,34.2629,4
236.0,-0.7025,34.2713,4
237.0,-0.6846,34.2853,4
238.1,-0.6556,34.2956,4
239.1,-0.6362,34.3025,4
240.1,-0.6161,34.3148,4
241.1,-0.5896,34.3246,4
