2015,265.25141,128.4358,83.0151,756
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs
5.8,-1.7736,NaN,NaN,12
7.0,-1.7737,NaN,NaN,5
8.1,-1.7737,NaN,NaN,4
9.0,-1.7737,NaN,NaN,3
10.0,-1.7737,NaN,NaN,4
11.1,-1.7741,NaN,NaN,3
12.0,-1.7742,NaN,NaN,3
13.0,-1.7746,NaN,NaN,4
14.0,-1.7753,NaN,NaN,3
15.0,-1.7765,NaN,NaN,4
16.0,-1.7797,NaN,NaN,3
16.9,-1.7848,NaN,NaN,3
18.0,-1.7871,NaN,NaN,4
19.0,-1.7886,NaN,NaN,3
20.0,-1.7891,NaN,NaN,4
21.1,-1.7893,NaN,NaN,3
22.0,-1.7894,NaN,NaN,3
23.0,-1.7893,NaN,NaN,4
24.0,-1.7895,NaN,NaN,3
24.9,-1.7893,NaN,NaN,3
26.0,-1.7894,NaN,NaN,4
27.0,-1.7893,NaN,NaN,3
27.9,-1.7892,NaN,NaN,3
29.0,-1.7891,NaN,NaN,4
30.0,-1.7889,NaN,NaN,3
31.0,-1.7886,NaN,NaN,4
32.1,-1.7880,NaN,NaN,3
33.0,-1.7848,NaN,NaN,3
34.0,-1.7630,NaN,NaN,4
35.0,-1.7296,NaN,NaN,3
36.0,-1.7213,NaN,NaN,4
37.0,-1.7317,NaN,NaN,3
38.0,-1.7429,NaN,NaN,4
39.1,-1.7411,NaN,NaN,3
39.9,-1.7405,NaN,NaN,3
41.0,-1.7426,NaN,NaN,4
42.0,-1.7474,NaN,NaN,3
43.0,-1.7526,NaN,NaN,4
44.1,-1.7584,NaN,NaN,3
44.9,-1.7633,NaN,NaN,3
46.0,-1.7664,NaN,NaN,4
47.0,-1.7741,NaN,NaN,3
48.0,-1.7789,NaN,NaN,4
49.1,-1.7804,NaN,NaN,3
49.9,-1.7831,NaN,NaN,3
51.0,-1.7915,NaN,NaN,4
52.0,-1.7898,NaN,NaN,3
53.0,-1.7727,NaN,NaN,4
54.1,-1.7742,NaN,NaN,3
54.9,-1.7818,NaN,NaN,3
56.0,-1.7817,NaN,NaN,4
57.0,-1.7734,NaN,NaN,3
58.0,-1.7705,NaN,NaN,4
59.1,-1.7645,NaN,NaN,3
59.9,-1.7684,NaN,NaN,3
61.0,-1.7826,NaN,NaN,4
62.0,-1.7808,NaN,NaN,3
63.0,-1.7848,NaN,NaN,4
64.0,-1.7953,NaN,NaN,3
65.1,-1.7983,NaN,NaN,4
66.1,-1.7786,NaN,NaN,3
67.0,-1.7751,NaN,NaN,3
68.0,-1.7945,NaN,NaN,4
69.0,-1.8054,NaN,NaN,3
70.1,-1.8078,NaN,NaN,4
71.1,-1.8049,NaN,NaN,3
72.0,-1.8046,NaN,NaN,3
73.0,-1.8068,NaN,NaN,4
74.0,-1.7913,NaN,NaN,3
75.0,-1.7518,NaN,NaN,4
76.1,-1.7492,NaN,NaN,3
76.9,-1.7224,NaN,NaN,3
78.0,-1.6932,NaN,NaN,4
79.0,-1.6780,NaN,NaN,3
80.0,-1.6947,NaN,NaN,4
81.0,-1.7272,NaN,NaN,3
82.1,-1.7386,NaN,NaN,4
83.1,-1.7366,NaN,NaN,3
83.9,-1.7579,NaN,NaN,3
85.0,-1.7595,NaN,NaN,4
86.0,-1.7666,NaN,NaN,3
87.0,-1.7678,NaN,NaN,4
88.0,-1.7567,NaN,NaN,3
88.9,-1.7402,NaN,NaN,3
90.0,-1.7102,NaN,NaN,4
91.0,-1.6716,NaN,NaN,3
92.0,-1.6428,NaN,NaN,4
93.0,-1.6266,NaN,NaN,3
94.0,-1.6130,NaN,NaN,4
95.1,-1.5955,NaN,NaN,3
96.0,-1.5804,NaN,NaN,3
97.0,-1.5543,NaN,NaN,4
98.0,-1.5227,NaN,NaN,3
99.0,-1.5213,NaN,NaN,4
100.0,-1.5185,NaN,NaN,3
101.0,-1.4965,NaN,NaN,4
102.1,-1.4921,NaN,NaN,3
102.9,-1.4917,NaN,NaN,3
103.9,-1.4974,NaN,NaN,4
105.0,-1.4982,NaN,NaN,3
106.0,-1.4887,NaN,NaN,4
107.0,-1.4837,NaN,NaN,3
108.0,-1.4903,NaN,NaN,4
109.1,-1.4840,NaN,NaN,3
109.9,-1.4401,NaN,NaN,3
110.9,-1.4286,NaN,NaN,4
111.9,-1.4282,NaN,NaN,3
113.0,-1.4349,NaN,NaN,4
114.0,-1.4027,NaN,NaN,3
115.0,-1.3612,NaN,NaN,4
116.0,-1.3413,NaN,NaN,3
117.0,-1.3669,NaN,NaN,4
118.0,-1.3758,NaN,NaN,3
119.0,-1.3873,NaN,NaN,4
120.1,-1.3596,NaN,NaN,3
120.9,-1.3351,NaN,NaN,3
121.9,-1.3059,NaN,NaN,4
122.9,-1.2412,NaN,NaN,3
124.0,-1.1846,NaN,NaN,4
125.0,-1.1537,NaN,NaN,3
126.0,-1.1222,NaN,NaN,4
127.0,-1.1053,NaN,NaN,3
128.0,-1.0949,NaN,NaN,4
129.0,-1.0582,NaN,NaN,3
129.9,-1.0159,NaN,NaN,3
130.9,-0.9835,NaN,NaN,4
132.0,-0.9747,NaN,NaN,3
133.0,-0.9678,NaN,NaN,4
134.0,-0.9398,NaN,NaN,3
135.0,-0.8973,NaN,NaN,4
136.0,-0.8701,NaN,NaN,3
137.0,-0.8424,NaN,NaN,4
138.1,-0.8006,NaN,NaN,3
138.9,-0.7661,NaN,NaN,3
139.9,-0.7152,NaN,NaN,4
141.0,-0.6571,NaN,NaN,3
142.0,-0.6179,NaN,NaN,4
143.0,-0.5900,NaN,NaN,3
144.0,-0.5520,NaN,NaN,4
145.0,-0.5149,NaN,NaN,3
146.0,-0.4788,NaN,NaN,4
147.0,-0.4536,NaN,NaN,3
148.0,-0.4273,NaN,NaN,4
149.0,-0.4011,NaN,NaN,3
150.0,-0.3756,NaN,NaN,4
151.0,-0.3451,NaN,NaN,3
152.1,-0.3151,NaN,NaN,4
153.1,-0.2808,NaN,NaN,3
153.9,-0.2500,NaN,NaN,3
154.9,-0.2265,NaN,NaN,4
156.0,-0.2091,NaN,NaN,3
