2015,302.37649,172.4400,81.8119,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
6.9,-1.5898,29.1396,14,-2.86,4.09,5.41,12
8.0,-1.5894,29.1522,4,-1.94,3.55,4.35,5
9.0,-1.5905,29.1806,4,-2.59,0.28,3.91,4
10.0,-1.5920,29.2018,3,-2.82,-1.49,3.52,4
10.9,-1.5931,29.2143,4,-2.52,-2.74,3.51,3
12.0,-1.5936,29.2236,4,-2.34,-3.10,3.22,4
13.0,-1.5939,29.2282,3,-1.93,-4.06,3.48,4
14.0,-1.5940,29.2295,4,-2.80,-3.93,3.22,3
15.0,-1.5941,29.2301,3,-3.15,-4.38,3.39,4
16.0,-1.5941,29.2307,4,-3.35,-4.62,3.44,3
17.0,-1.5941,29.2308,3,-3.91,-4.56,3.49,4
17.9,-1.5942,29.2311,4,-4.15,-4.50,3.49,3
19.1,-1.5941,29.2312,4,-4.20,-4.88,3.64,4
20.0,-1.5942,29.2314,3,-4.33,-4.22,3.59,4
21.0,-1.5942,29.2314,4,-4.36,-4.61,3.50,3
22.0,-1.5940,29.2313,3,-4.35,-4.66,3.45,4
23.0,-1.5942,29.2316,4,-4.46,-4.72,3.65,3
24.0,-1.5940,29.2325,3,-4.94,-4.78,3.73,4
24.9,-1.5924,29.2371,4,-4.23,-5.04,3.91,3
26.1,-1.5917,29.2409,4,-3.64,-5.16,3.76,4
27.0,-1.5937,29.2473,3,-3.43,-5.53,3.87,4
28.0,-1.5955,29.2532,4,-3.33,-5.92,4.10,3
29.0,-1.5950,29.2592,3,-3.29,-6.81,4.12,4
30.0,-1.5936,29.2670,4,-3.03,-7.13,4.21,3
30.9,-1.5869,29.2787,3,-2.42,-7.53,4.12,4
31.9,-1.5398,29.4379,4,-2.97,-8.23,4.20,3
33.0,-1.4340,30.0180,4,-3.04,-4.70,4.08,4
34.0,-1.3820,30.2869,3,-2.21,-2.55,4.37,4
35.0,-1.3610,30.4446,4,-1.27,-1.88,4.27,3
36.0,-1.3646,30.4734,3,-1.12,-1.40,3.91,4
36.9,-1.3615,30.5051,4,-1.48,-1.59,3.86,3
38.1,-1.3541,30.5402,4,-1.23,-2.27,3.65,4
39.0,-1.3544,30.5578,3,-1.66,-2.72,3.67,4
40.0,-1.3507,30.5887,4,-2.41,-2.99,3.58,3
41.0,-1.3364,30.6414,3,-2.43,-2.91,3.64,4
42.0,-1.3185,30.7030,4,-3.82,-3.49,3.75,3
43.1,-1.2865,30.7912,4,-4.60,-2.66,3.52,4
44.0,-1.2623,30.8666,3,-4.95,-2.32,3.58,4
45.0,-1.2902,30.9275,4,-5.52,-3.39,3.56,3
46.0,-1.2821,30.9797,3,-3.48,-3.32,3.57,4
47.0,-1.2214,31.0417,4,-1.74,-3.05,3.61,3
48.1,-1.2070,31.1399,4,-0.60,-2.40,3.46,4
49.0,-1.1906,31.1889,3,-0.04,-3.34,3.37,4
50.0,-1.2906,31.2444,4,-0.34,-2.73,3.37,3
51.0,-1.3388,31.2835,3,-1.29,-3.73,2.98,4
52.0,-1.3583,31.3245,4,-2.30,-4.46,3.40,3
53.1,-1.3918,31.3588,4,-3.09,-4.61,3.63,4
54.0,-1.3512,31.3930,3,-3.05,-4.48,3.57,4
55.0,-1.2839,31.4319,4,-2.45,-3.77,3.33,3
56.0,-1.3556,31.4681,3,-1.80,-3.02,3.44,4
57.0,-1.3747,31.5013,4,-0.31,-3.01,3.64,3
58.1,-1.2937,31.5600,4,-0.74,-3.15,3.38,4
59.0,-1.2827,31.6033,3,-0.70,-4.26,3.84,4
60.0,-1.4073,31.6462,4,-1.09,-5.15,3.55,3
61.0,-1.4201,31.6672,3,-2.38,-5.91,3.59,4
61.9,-1.4495,31.7032,4,-2.23,-6.76,3.44,3
63.0,-1.5141,31.7286,4,-2.60,-6.58,3.35,4
64.0,-1.5370,31.7565,3,-2.28,-5.61,3.59,4
65.0,-1.4342,31.7761,4,-1.33,-5.77,3.62,3
66.1,-1.4109,31.8004,4,-0.93,-6.27,3.54,4
67.0,-1.4082,31.8203,3,-1.41,-7.01,3.33,4
68.0,-1.5046,31.8381,4,-1.51,-6.30,3.32,3
69.0,-1.5250,31.8605,3,-0.77,-7.00,3.20,4
69.9,-1.4969,31.8879,4,-0.38,-6.64,3.16,3
71.0,-1.4563,31.9146,4,-0.36,-5.68,3.42,4
72.0,-1.4801,31.9346,3,-0.20,-5.71,3.39,4
73.0,-1.4918,31.9516,4,-0.54,-5.56,3.04,3
74.1,-1.4568,31.9747,4,-0.37,-6.18,3.30,4
75.0,-1.4019,32.0022,3,-0.13,-6.79,3.43,4
76.0,-1.5446,32.0285,4,-0.13,-6.67,3.30,3
77.0,-1.5949,32.0383,3,0.18,-7.12,3.54,4
77.9,-1.6099,32.0535,4,-0.60,-7.00,3.53,3
79.0,-1.6086,32.0728,4,-1.27,-6.50,3.47,4
80.0,-1.5864,32.0903,3,-2.15,-6.72,3.44,4
80.9,-1.5968,32.1101,4,-2.12,-7.09,3.63,3
82.0,-1.5965,32.1313,4,-1.70,-6.85,3.52,4
83.0,-1.6067,32.1522,3,-1.50,-6.86,3.60,4
84.0,-1.5933,32.1675,4,-1.26,-6.67,3.65,3
85.1,-1.5850,32.1845,4,-0.71,-6.42,3.69,4
86.0,-1.5571,32.1963,3,-0.02,-6.76,3.76,4
87.0,-1.5355,32.2163,4,-0.18,-6.35,3.59,3
88.1,-1.5396,32.2378,4,0.00,-5.70,3.80,4
89.0,-1.5537,32.2530,3,0.44,-5.05,3.72,4
90.0,-1.5558,32.2691,4,0.50,-4.88,3.82,3
91.1,-1.5528,32.2920,4,1.48,-5.33,3.90,4
92.0,-1.5387,32.3163,3,2.77,-4.91,3.72,4
93.0,-1.5475,32.3396,4,3.20,-4.42,3.68,3
94.0,-1.5565,32.3607,3,3.14,-4.51,3.78,4
94.9,-1.5535,32.3811,4,2.44,-4.19,3.73,3
96.0,-1.5495,32.4027,4,2.27,-5.14,3.80,4
97.0,-1.5444,32.4261,3,1.41,-5.42,3.74,4
97.9,-1.5094,32.4574,4,0.68,-4.91,3.60,3
