2016,21.00159,-177.8834,82.5731,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.2,-1.6346,29.9790,4,NaN,NaN,NaN,0
8.0,-1.6344,29.9790,5,NaN,NaN,NaN,0
9.1,-1.6342,29.9792,4,NaN,NaN,NaN,0
10.0,-1.6342,29.9790,4,NaN,NaN,NaN,0
11.0,-1.6341,29.9792,4,NaN,NaN,NaN,0
12.0,-1.6342,29.9792,4,NaN,NaN,NaN,0
13.0,-1.6342,29.9792,4,NaN,NaN,NaN,0
14.0,-1.6342,29.9793,4,NaN,NaN,NaN,0
14.9,-1.6340,29.9795,4,NaN,NaN,NaN,0
16.0,-1.6340,29.9796,5,NaN,NaN,NaN,0
17.0,-1.6343,29.9799,4,NaN,NaN,NaN,0
18.0,-1.6341,29.9800,4,NaN,NaN,NaN,0
18.9,-1.6341,29.9800,4,NaN,NaN,NaN,0
20.0,-1.6343,29.9804,5,NaN,NaN,NaN,0
21.1,-1.6342,29.9807,4,NaN,NaN,NaN,0
22.1,-1.6341,29.9810,4,NaN,NaN,NaN,0
23.1,-1.6343,29.9818,4,NaN,NaN,NaN,0
24.1,-1.6342,29.9822,4,NaN,NaN,NaN,0
25.0,-1.6343,29.9830,4,NaN,NaN,NaN,0
25.9,-1.6340,29.9838,4,NaN,NaN,NaN,0
27.0,-1.6333,29.9862,5,NaN,NaN,NaN,0
28.0,-1.6328,29.9885,4,NaN,NaN,NaN,0
29.0,-1.6325,29.9900,4,NaN,NaN,NaN,0
30.0,-1.6315,29.9932,4,NaN,NaN,NaN,0
30.9,-1.6307,29.9943,4,NaN,NaN,NaN,0
31.9,-1.6298,29.9937,4,NaN,NaN,NaN,0
32.9,-1.5925,30.1008,4,NaN,NaN,NaN,0
33.9,-1.1851,30.8669,4,NaN,NaN,NaN,0
34.9,-1.1468,31.1254,4,NaN,NaN,NaN,0
35.9,-1.2381,31.2392,4,NaN,NaN,NaN,0
36.9,-1.2638,31.3123,4,NaN,NaN,NaN,0
37.9,-1.2533,31.3610,4,NaN,NaN,NaN,0
38.9,-1.2326,31.4163,4,NaN,NaN,NaN,0
39.9,-1.3106,31.4613,4,NaN,NaN,NaN,0
40.9,-1.3434,31.4970,4,NaN,NaN,NaN,0
41.9,-1.3421,31.5260,4,NaN,NaN,NaN,0
43.0,-1.3238,31.5603,4,NaN,NaN,NaN,0
44.0,-1.3086,31.6052,4,NaN,NaN,NaN,0
45.0,-1.3151,31.6384,4,NaN,NaN,NaN,0
46.0,-1.3240,31.6696,4,NaN,NaN,NaN,0
47.0,-1.3339,31.7082,4,NaN,NaN,NaN,0
48.0,-1.3330,31.7269,4,NaN,NaN,NaN,0
49.0,-1.3311,31.7573,4,NaN,NaN,NaN,0
50.1,-1.3326,31.7664,4,NaN,NaN,NaN,0
51.1,-1.3303,31.7871,4,NaN,NaN,NaN,0
52.0,-1.3231,31.8285,3,NaN,NaN,NaN,0
52.9,-1.3290,31.8435,4,NaN,NaN,NaN,0
53.9,-1.3335,31.8745,4,NaN,NaN,NaN,0
54.9,-1.3518,31.8932,4,NaN,NaN,NaN,0
55.9,-1.3673,31.9049,4,NaN,NaN,NaN,0
56.9,-1.3796,31.9206,4,NaN,NaN,NaN,0
58.0,-1.3691,31.9429,4,NaN,NaN,NaN,0
59.0,-1.3578,31.9619,4,NaN,NaN,NaN,0
