2015,306.75148,172.1175,82.0902,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.5,-1.5976,29.1896,1,NaN,NaN,NaN,0
7.9,-1.5975,29.1898,7,NaN,NaN,-8.32,7
9.1,-1.5977,29.1915,4,1.66,3.21,-3.91,4
10.0,-1.5973,29.1933,3,2.14,3.23,-3.61,3
10.9,-1.5968,29.1944,4,2.09,3.66,-3.53,4
11.9,-1.5969,29.1948,4,2.53,3.52,-3.61,4
13.0,-1.5966,29.1952,4,2.89,3.12,-3.45,4
14.0,-1.5958,29.1958,4,3.15,2.91,-3.46,4
15.0,-1.5956,29.1972,4,3.20,2.75,-3.11,4
16.1,-1.5953,29.2000,4,2.79,3.23,-3.29,4
17.1,-1.5954,29.2031,4,3.38,3.62,-3.34,4
18.0,-1.5958,29.2046,3,3.81,3.75,-3.27,3
18.9,-1.5960,29.2057,4,3.91,3.88,-3.22,4
19.9,-1.5960,29.2071,4,3.82,4.08,-3.18,4
21.0,-1.5959,29.2084,4,3.86,4.02,-3.21,4
22.0,-1.5950,29.2109,4,3.61,3.57,-3.41,4
23.0,-1.5943,29.2140,4,3.71,3.56,-3.30,4
24.1,-1.5934,29.2171,4,3.35,4.25,-3.34,4
25.1,-1.5909,29.2258,4,3.03,4.31,-3.15,4
26.0,-1.5862,29.2486,3,3.81,4.13,-3.29,3
26.9,-1.5812,29.2662,4,3.67,3.23,-3.32,4
28.0,-1.5660,29.2935,4,3.91,3.08,-3.58,4
29.0,-1.5528,29.3174,4,1.71,2.83,-3.71,4
30.0,-1.5274,29.3761,4,2.02,4.03,-3.51,4
31.1,-1.3811,29.8538,4,3.58,5.81,-3.27,4
32.1,-1.2835,30.5364,4,2.68,5.28,-3.20,4
33.0,-1.2329,30.6387,3,0.98,4.60,-3.19,3
33.9,-1.1576,30.7417,4,-0.03,5.25,-2.96,4
35.0,-1.1672,30.8251,4,0.74,5.23,-3.08,4
36.0,-1.1830,30.8794,4,1.33,4.74,-3.08,4
37.0,-1.2129,30.9378,4,1.22,5.07,-3.11,4
38.1,-1.2321,30.9880,4,0.48,4.77,-3.04,4
39.0,-1.2313,31.0335,3,-0.15,4.09,-2.91,3
39.9,-1.2461,31.0821,4,-0.87,3.71,-2.98,4
40.9,-1.2822,31.1304,4,-1.27,4.35,-2.85,4
42.0,-1.2850,31.1871,4,-1.27,5.63,-2.57,4
43.0,-1.2948,31.2429,4,0.82,4.53,-2.48,4
44.1,-1.2630,31.2991,4,1.29,2.32,-3.10,4
45.0,-1.2590,31.3414,3,1.49,1.62,-3.48,3
45.9,-1.2593,31.3891,4,2.17,2.03,-3.22,4
47.0,-1.3494,31.4188,4,3.15,2.75,-3.15,4
48.0,-1.3668,31.4355,4,3.49,3.96,-3.14,4
49.0,-1.3564,31.4480,4,2.33,4.77,-3.07,4
50.1,-1.3446,31.4725,4,0.51,4.96,-2.69,4
51.0,-1.2646,31.5005,3,-0.65,5.04,-2.58,3
51.9,-1.2663,31.5441,4,-0.73,4.70,-2.81,4
53.0,-1.3975,31.5610,4,-0.80,3.85,-2.75,4
54.0,-1.4767,31.5844,4,-0.86,3.73,-2.74,4
55.1,-1.4797,31.6319,4,-0.34,2.84,-2.97,4
56.1,-1.3877,31.6737,4,0.18,1.50,-2.68,4
57.0,-1.5406,31.7045,3,-1.19,1.76,-2.81,3
57.9,-1.5342,31.7385,4,-1.72,1.24,-2.80,4
59.0,-1.4432,31.7783,4,-2.02,0.47,-2.46,4
60.0,-1.4418,31.8029,4,-2.73,0.92,-2.43,4
61.1,-1.4299,31.8300,4,-2.47,0.74,-2.56,4
62.0,-1.4074,31.8607,3,-1.94,0.34,-2.66,3
62.9,-1.3976,31.8867,4,-2.04,0.35,-2.70,4
64.0,-1.4509,31.9135,4,-1.39,0.43,-2.79,4
65.0,-1.4742,31.9314,4,-1.39,0.06,-2.67,4
66.1,-1.4612,31.9564,4,-1.04,-0.18,-2.70,4
67.1,-1.4709,31.9766,4,-0.36,0.32,-2.83,4
68.0,-1.4756,31.9948,3,-0.18,0.36,-2.91,3
68.9,-1.4723,32.0203,4,0.37,0.85,-3.06,4
70.0,-1.4824,32.0403,4,0.82,1.05,-3.24,4
71.0,-1.4996,32.0590,4,0.94,1.21,-3.37,4
72.1,-1.4875,32.0780,4,0.91,1.29,-3.20,4
73.0,-1.4608,32.0966,3,0.40,0.95,-3.30,3
73.9,-1.4366,32.1144,4,0.34,0.95,-3.09,4
75.0,-1.4507,32.1369,4,-0.07,0.91,-3.33,4
76.0,-1.4846,32.1554,4,-0.04,0.74,-3.19,4
77.1,-1.5112,32.1692,4,0.23,0.85,-3.32,4
78.0,-1.5031,32.1828,3,0.25,1.14,-3.23,3
78.9,-1.4871,32.1965,4,-0.06,0.94,-3.04,4
80.0,-1.4679,32.2128,4,-0.40,0.88,-2.85,4
81.0,-1.4903,32.2326,4,-1.46,0.66,-3.08,4
82.1,-1.5192,32.2552,4,-1.33,0.19,-2.88,4
83.0,-1.5162,32.2792,3,-0.76,0.31,-2.95,3
83.9,-1.5147,32.3021,4,-0.52,0.87,-3.02,4
85.0,-1.5138,32.3279,4,-0.09,1.27,-3.22,4
86.0,-1.5156,32.3458,4,-0.01,1.36,-3.05,4
87.1,-1.5070,32.3629,4,-0.14,1.54,-2.97,4
88.0,-1.5107,32.3792,3,-0.31,1.42,-3.01,3
88.9,-1.5010,32.3943,4,-0.45,1.39,-3.26,4
90.0,-1.5007,32.4077,4,-0.30,1.11,-3.20,4
91.0,-1.4816,32.4220,4,-0.35,1.37,-3.36,4
92.0,-1.4860,32.4360,3,-0.46,1.24,-3.11,4
92.9,-1.5006,32.4499,4,-0.32,1.01,-3.04,3
94.0,-1.5143,32.4631,4,-0.36,1.06,-3.14,4
95.0,-1.5116,32.4770,4,-0.58,0.91,-3.14,4
96.1,-1.5174,32.4969,4,-0.88,1.02,-3.12,4
97.0,-1.5267,32.5142,3,-1.15,0.97,-3.29,3
97.9,-1.5286,32.5318,4,-0.54,0.47,-2.84,4
99.0,-1.5329,32.5491,4,-1.07,0.45,-2.90,4
100.0,-1.5384,32.5660,4,-1.72,0.81,-3.03,4
101.1,-1.5367,32.5806,4,-2.21,0.96,-2.99,4
102.0,-1.5414,32.5935,3,-2.64,1.11,-2.92,3
102.9,-1.5515,32.6064,4,-2.66,0.88,-2.93,4
104.0,-1.5550,32.6237,4,-2.57,0.91,-2.99,4
105.0,-1.5590,32.6411,4,-2.43,0.77,-3.21,4
106.1,-1.5623,32.6549,4,-2.24,0.47,-3.10,4
107.0,-1.5544,32.6718,3,-1.64,0.48,-2.89,3
108.0,-1.5278,32.6963,4,-1.38,0.76,-2.86,4
109.0,-1.5144,32.7349,4,-1.31,1.09,-3.00,4
110.1,-1.5289,32.7771,4,-1.03,1.40,-3.00,4
111.0,-1.5233,32.8191,3,-1.09,2.26,-3.01,3
111.9,-1.5021,32.8525,4,-1.17,2.59,-2.86,4
113.0,-1.4733,32.8894,4,-1.19,2.86,-2.92,4
114.0,-1.4451,32.9288,4,-1.14,2.67,-2.72,4
115.0,-1.4152,32.9689,3,-0.72,2.55,-2.81,3
115.9,-1.3757,33.0153,4,-0.63,2.56,-2.73,4
117.0,-1.3526,33.0778,4,-0.64,2.40,-2.66,4
118.0,-1.3356,33.1321,4,-1.38,2.09,-2.77,4
119.1,-1.3176,33.1840,4,-1.53,2.99,-2.89,4
120.0,-1.2988,33.2387,3,-1.12,3.66,-2.82,3
121.0,-1.2980,33.2841,4,-1.55,3.22,-2.88,4
122.0,-1.3167,33.3454,4,-1.52,3.26,-2.60,4
123.1,-1.2639,33.4249,4,-1.98,4.03,-2.55,4
124.0,-1.3528,33.4703,3,-1.69,3.66,-2.70,3
124.9,-1.3330,33.5011,4,-1.76,3.54,-2.80,4
126.0,-1.2388,33.5426,4,-1.25,3.41,-3.01,4
