2016,46.50163,-175.2556,83.4692,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.4,-1.6309,29.7858,2,NaN,NaN,NaN,1
8.0,-1.6311,29.7866,5,0.12,0.29,-3.91,5
9.0,-1.6311,29.7869,4,0.24,0.07,-2.56,4
10.0,-1.6311,29.7868,4,0.03,0.49,-3.17,4
11.0,-1.6311,29.7869,4,-0.29,0.47,-2.96,4
12.0,-1.6310,29.7873,4,-0.13,0.49,-3.18,4
13.0,-1.6310,29.7875,4,0.25,0.65,-3.14,4
14.0,-1.6310,29.7877,4,0.10,0.94,-3.33,4
15.0,-1.6311,29.7881,4,0.13,1.17,-3.00,4
16.0,-1.6311,29.7883,4,0.06,1.17,-2.84,4
17.0,-1.6312,29.7890,4,-0.08,1.18,-3.08,4
18.0,-1.6311,29.7897,4,0.02,1.26,-3.24,4
19.0,-1.6309,29.7905,4,-0.09,1.70,-2.63,4
20.0,-1.6312,29.7923,4,-0.35,1.40,-2.21,4
21.0,-1.6312,29.7937,4,-0.19,1.86,-2.59,4
21.9,-1.6310,29.7949,4,0.03,1.69,-2.70,4
23.0,-1.6308,29.7988,4,0.87,1.24,-2.87,4
24.0,-1.6310,29.8045,4,1.90,0.06,-3.02,4
25.0,-1.6310,29.8066,4,1.70,-1.46,-2.97,4
26.0,-1.6310,29.8086,4,1.57,-2.15,-3.09,4
27.0,-1.6311,29.8102,4,1.43,-2.45,-3.46,4
28.0,-1.6313,29.8145,4,1.44,-2.85,-3.36,4
29.0,-1.6317,29.8190,4,1.36,-3.93,-3.73,4
30.0,-1.6318,29.8241,4,1.26,-3.24,-3.59,4
31.0,-1.6322,29.8302,5,1.31,-1.97,-2.15,5
32.1,-1.6286,29.8625,4,2.54,-2.38,-3.98,4
33.1,-1.5251,30.5352,4,4.46,-0.85,-3.30,4
34.1,-1.3628,30.9848,4,3.62,-0.66,-3.55,4
35.1,-1.3196,31.1078,4,1.84,-1.23,-3.66,4
36.1,-1.3162,31.1851,4,0.61,-2.01,-3.80,4
37.0,-1.3191,31.2321,3,0.43,-2.14,-3.76,3
37.9,-1.3055,31.2741,4,1.06,-2.80,-3.35,4
38.9,-1.3101,31.3296,4,1.58,-3.35,-3.56,4
39.9,-1.3244,31.3867,4,0.93,-3.38,-3.27,4
40.9,-1.3259,31.4265,4,0.36,-3.87,-3.43,4
41.9,-1.3406,31.4645,4,0.87,-4.35,-3.22,4
42.9,-1.3380,31.5013,4,1.43,-4.28,-3.01,4
44.0,-1.3416,31.5462,4,1.84,-4.95,-3.27,4
45.0,-1.3724,31.5877,4,2.17,-4.79,-3.46,4
46.0,-1.3911,31.6203,4,2.30,-5.09,-2.72,4
47.0,-1.3820,31.6553,4,2.39,-4.96,-2.97,4
48.0,-1.3851,31.6959,4,2.55,-4.26,-3.13,4
49.0,-1.3878,31.7285,4,2.56,-3.93,-3.04,4
50.0,-1.3882,31.7548,4,2.39,-4.05,-2.95,4
51.1,-1.3901,31.7795,4,2.39,-3.95,-3.37,4
52.1,-1.3903,31.8097,4,2.41,-3.95,-2.80,4
53.1,-1.3960,31.8390,4,2.76,-3.72,-3.02,4
54.1,-1.4058,31.8632,4,2.66,-3.10,-3.25,4
55.0,-1.4168,31.8861,3,2.61,-3.26,-3.13,3
55.9,-1.4221,31.9063,4,2.06,-2.99,-2.99,4
56.9,-1.4324,31.9279,4,1.28,-3.20,-3.24,4
57.9,-1.4396,31.9511,4,1.39,-3.32,-3.53,4
59.0,-1.4549,31.9749,4,1.81,-3.25,-3.50,4
60.0,-1.4558,31.9985,4,2.61,-3.54,-2.81,4
61.0,-1.4766,32.0197,4,3.06,-3.52,-3.26,4
62.0,-1.4738,32.0381,4,2.92,-3.84,-3.04,4
63.0,-1.4823,32.0552,4,2.87,-3.83,-3.10,4
64.0,-1.4878,32.0731,4,3.03,-3.91,-3.19,4
65.1,-1.4986,32.0889,4,2.69,-3.82,-3.39,4
66.1,-1.5074,32.1051,4,3.00,-3.74,-2.93,4
67.1,-1.5177,32.1220,4,2.59,-3.28,-3.18,4
68.1,-1.5141,32.1399,4,3.21,-3.01,-3.23,4
69.0,-1.4951,32.1543,3,3.11,-3.06,-3.31,3
69.9,-1.4876,32.1693,4,3.46,-3.17,-3.22,4
70.9,-1.4914,32.1851,4,3.64,-3.26,-2.57,4
71.9,-1.5104,32.1972,4,3.79,-3.18,-2.84,4
72.9,-1.5129,32.2120,4,3.51,-3.26,-3.05,4
74.0,-1.5148,32.2270,4,4.00,-3.25,-3.19,4
75.0,-1.5152,32.2424,4,3.67,-3.11,-2.86,4
76.0,-1.5197,32.2578,4,3.89,-3.59,-3.18,4
77.0,-1.5178,32.2743,4,3.95,-3.37,-2.70,4
78.0,-1.5176,32.2921,4,4.14,-3.40,-3.16,4
79.1,-1.5169,32.3096,4,3.88,-3.56,-2.90,4
80.1,-1.5117,32.3235,4,3.72,-3.67,-2.85,4
81.0,-1.5079,32.3350,3,3.96,-3.82,-2.97,3
81.9,-1.5061,32.3469,4,3.72,-3.72,-2.85,4
82.9,-1.5102,32.3620,4,3.77,-3.67,-3.25,4
83.9,-1.5071,32.3791,4,3.64,-3.48,-2.67,4
85.0,-1.5058,32.3959,4,3.63,-3.18,-2.96,4
86.0,-1.5039,32.4113,4,3.01,-2.70,-3.00,4
87.0,-1.5036,32.4254,4,2.92,-2.59,-3.16,4
88.1,-1.5074,32.4386,4,3.00,-2.51,-3.12,4
89.1,-1.5024,32.4542,4,3.03,-2.59,-2.85,4
90.0,-1.5033,32.4701,3,2.79,-2.67,-2.70,3
90.9,-1.5096,32.4861,4,2.96,-2.35,-2.77,4
91.9,-1.5208,32.5031,4,3.14,-1.97,-3.15,4
93.0,-1.5197,32.5211,4,3.12,-1.95,-3.25,4
94.0,-1.5265,32.5383,4,3.15,-1.47,-2.81,4
95.0,-1.5291,32.5542,4,3.46,-1.35,-2.65,4
96.0,-1.5295,32.5706,4,3.72,-0.86,-2.83,4
97.1,-1.5359,32.5880,4,3.38,-0.60,-2.90,4
98.1,-1.5371,32.6049,4,3.08,-0.55,-2.73,4
99.0,-1.5312,32.6215,3,2.92,-0.49,-2.73,3
99.9,-1.5395,32.6368,4,3.04,-0.74,-2.71,4
101.0,-1.5449,32.6535,4,2.85,-0.35,-2.96,4
102.0,-1.5482,32.6699,4,2.59,-0.74,-2.90,4
103.0,-1.5473,32.6860,4,2.29,-1.08,-3.14,4
104.1,-1.5466,32.7011,4,2.59,-0.75,-2.97,4
105.1,-1.5451,32.7174,4,2.66,-0.53,-2.95,4
106.0,-1.5391,32.7313,3,2.92,-0.59,-2.96,3
106.9,-1.5256,32.7469,4,2.71,0.07,-2.96,4
107.9,-1.5081,32.7703,4,2.50,-0.08,-2.69,4
108.9,-1.4903,32.7989,4,2.77,-0.03,-2.94,4
110.0,-1.4801,32.8312,4,3.09,-0.61,-2.99,4
111.0,-1.4775,32.8660,4,3.50,-0.89,-3.05,4
112.0,-1.4641,32.9049,4,3.14,-1.38,-2.92,4
113.1,-1.4431,32.9472,4,2.72,-1.33,-3.10,4
114.0,-1.4151,32.9883,3,2.62,-1.55,-3.36,3
114.9,-1.3953,33.0354,4,2.69,-1.44,-3.20,4
115.9,-1.3685,33.0919,4,2.32,-1.78,-3.16,4
117.0,-1.3465,33.1440,4,2.31,-1.44,-3.16,4
118.0,-1.3313,33.1959,4,2.28,-0.96,-3.04,4
119.0,-1.3131,33.2505,4,2.55,-0.56,-3.06,4
120.1,-1.2898,33.3045,4,2.99,-0.29,-3.41,4
121.0,-1.2761,33.3613,3,2.59,-0.59,-3.30,3
121.9,-1.2656,33.4124,4,1.76,-1.33,-3.49,4
122.9,-1.2515,33.4567,4,0.86,-1.70,-3.47,4
124.0,-1.2439,33.4953,4,1.05,-1.36,-3.38,4
125.0,-1.2320,33.5466,4,1.49,-0.98,-3.28,4
126.1,-1.2193,33.5930,4,1.58,-0.97,-3.34,4
127.1,-1.2015,33.6363,4,1.47,-0.92,-3.54,4
128.0,-1.1959,33.6800,3,1.47,-1.65,-3.42,3
128.9,-1.1826,33.7114,4,1.36,-2.31,-3.61,4
130.0,-1.1849,33.7473,4,1.68,-2.87,-3.63,4
131.0,-1.2108,33.7887,4,1.99,-2.37,-3.53,4
132.1,-1.2568,33.8226,4,1.85,-2.33,-3.59,4
133.1,-1.1935,33.8586,4,1.69,-1.45,-3.46,4
134.0,-1.2494,33.8804,3,1.91,-0.98,-3.16,3
134.9,-1.2799,33.8999,4,2.32,-0.68,-2.97,4
136.0,-1.2859,33.9246,4,2.50,-0.47,-2.99,4
137.0,-1.2904,33.9591,4,2.09,-0.27,-3.01,4
138.1,-1.2902,33.9938,4,1.91,0.06,-2.92,4
139.1,-1.2910,34.0162,4,1.95,-0.44,-2.81,4
140.0,-1.2945,34.0311,3,1.73,-0.15,-3.26,3
140.9,-1.3024,34.0449,4,1.78,0.28,-2.79,4
142.0,-1.3145,34.0605,4,1.71,0.79,-3.00,4
143.0,-1.3216,34.0772,4,1.40,0.20,-2.73,4
144.1,-1.3191,34.0941,4,0.82,-0.32,-3.03,4
145.0,-1.3139,34.1074,3,0.53,-0.50,-3.20,3
145.9,-1.3118,34.1160,4,0.84,0.19,-3.05,4
147.0,-1.3046,34.1246,4,1.19,0.62,-3.03,4
148.0,-1.2897,34.1344,4,1.81,0.82,-3.25,4
149.1,-1.2697,34.1453,4,1.79,0.77,-3.17,4
150.1,-1.2620,34.1547,4,1.82,0.62,-3.08,4
151.0,-1.2592,34.1626,3,1.90,0.91,-3.13,3
151.9,-1.2531,34.1730,4,2.17,1.12,-3.06,4
153.0,-1.2216,34.1881,4,2.60,0.74,-3.05,4
154.0,-1.1998,34.2019,4,2.82,0.77,-3.20,4
155.1,-1.2005,34.2129,4,3.12,0.84,-2.97,4
156.0,-1.1957,34.2240,3,3.10,0.86,-2.88,3
156.9,-1.1943,34.2312,4,2.87,0.75,-3.05,4
158.0,-1.1768,34.2406,4,2.55,0.57,-3.09,4
159.0,-1.1509,34.2515,4,2.17,0.57,-3.17,4
160.1,-1.1237,34.2614,4,2.19,0.83,-3.26,4
161.0,-1.1090,34.2656,3,2.37,0.91,-3.19,3
161.9,-1.0924,34.2746,4,2.48,0.87,-3.39,4
163.0,-1.0793,34.2801,4,2.30,0.74,-3.15,4
164.0,-1.0613,34.2891,4,2.16,0.63,-3.26,4
165.1,-1.0227,34.2983,4,1.96,0.39,-3.10,4
166.0,-0.9825,34.3056,3,1.83,-0.03,-3.11,3
166.9,-0.9496,34.3130,4,1.54,0.11,-3.46,4
168.0,-0.9476,34.3216,4,1.41,0.23,-3.58,4
169.0,-0.9254,34.3261,4,1.46,0.25,-3.34,4
170.1,-0.8812,34.3329,4,0.95,0.64,-3.00,4
171.0,-0.8375,34.3419,3,0.85,0.79,-3.30,3
171.9,-0.7995,34.3510,4,0.75,0.50,-3.37,4
173.0,-0.7786,34.3564,4,0.82,0.49,-3.09,4
174.0,-0.7575,34.3623,4,0.66,0.24,-3.04,4
175.1,-0.7270,34.3718,4,0.64,0.28,-3.30,4
176.0,-0.7224,34.3711,3,0.77,0.14,-3.25,3
176.9,-0.6901,34.3852,4,0.93,0.06,-3.29,4
178.0,-0.6741,34.3874,4,0.81,-0.18,-3.26,4
179.0,-0.6634,34.3890,4,0.89,-0.52,-3.47,4
180.1,-0.6156,34.4017,4,1.14,-1.17,-3.15,4
181.0,-0.6156,34.4021,3,1.18,-1.16,-3.20,3
182.0,-0.5938,34.4098,4,1.11,-1.49,-3.32,4
183.0,-0.5800,34.4145,4,1.22,-1.43,-3.64,4
184.1,-0.5509,34.4223,4,1.45,-1.86,-3.39,4
185.0,-0.5409,34.4263,3,1.38,-1.54,-3.96,3
185.9,-0.5227,34.4342,4,1.01,-1.90,-3.72,4
187.0,-0.5051,34.4377,4,1.41,-2.06,-3.33,4
188.0,-0.4808,34.4469,4,1.23,-2.04,-3.35,4
189.1,-0.4590,34.4512,4,1.24,-1.85,-3.44,4
190.0,-0.4342,34.4594,3,1.20,-2.30,-3.47,3
191.0,-0.4339,34.4590,4,1.33,-1.97,-3.79,4
192.0,-0.3904,34.4692,4,1.14,-2.00,-3.88,4
193.1,-0.3598,34.4768,4,1.21,-2.18,-3.71,4
194.0,-0.3327,34.4832,3,1.06,-2.12,-3.72,3
194.9,-0.3233,34.4866,4,0.94,-1.67,-3.72,4
196.0,-0.3078,34.4889,4,0.81,-1.80,-3.58,4
197.0,-0.2643,34.4965,4,0.52,-1.83,-3.68,4
198.0,-0.2618,34.4982,3,0.60,-1.85,-3.51,3
198.9,-0.2333,34.5069,4,0.58,-1.89,-3.47,4
200.0,-0.2384,34.5089,4,0.63,-1.48,-3.74,4
201.0,-0.2164,34.5156,4,0.40,-1.62,-3.80,4
202.1,-0.1952,34.5206,4,0.05,-1.51,-3.59,4
203.0,-0.1944,34.5206,3,0.08,-1.61,-3.51,3
204.0,-0.1735,34.5260,4,0.23,-1.09,-3.38,4
205.0,-0.1569,34.5309,4,0.09,-0.80,-3.42,4
206.1,-0.1314,34.5349,4,0.10,-0.54,-3.18,4
207.0,-0.1072,34.5390,3,-0.12,-0.66,-3.34,3
208.0,-0.0786,34.5429,4,-0.17,-0.77,-3.45,4
209.0,-0.0330,34.5562,4,0.11,-0.08,-3.36,4
210.0,-0.0310,34.5572,3,0.18,-0.34,-3.39,3
210.9,-0.0311,34.5570,4,0.12,0.08,-3.54,4
