2016,31.37662,-176.6321,82.9285,247
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
6.2,-1.6481,30.1462,9,NaN,NaN,NaN,0
6.6,-1.6482,30.1458,11,-0.37,0.84,1.90,20
8.0,-1.6482,30.1468,3,0.12,0.62,4.24,5
8.9,-1.6482,30.1470,4,-0.35,1.21,3.42,4
10.0,-1.6482,30.1469,4,-0.34,0.55,3.42,3
11.1,-1.6482,30.1474,4,-0.74,-0.09,3.85,4
12.0,-1.6480,30.1474,3,-1.36,-0.85,4.06,4
13.0,-1.6481,30.1477,4,-1.40,-0.87,4.14,3
14.0,-1.6478,30.1476,3,-1.88,-0.96,4.10,4
15.0,-1.6480,30.1478,4,-2.07,-0.87,4.09,4
16.1,-1.6479,30.1478,4,-2.26,-1.11,3.84,3
17.0,-1.6479,30.1479,3,-2.48,-0.59,4.04,4
18.0,-1.6479,30.1479,4,-2.45,-0.94,4.26,3
19.0,-1.6478,30.1479,3,-2.54,-0.74,3.91,4
19.9,-1.6478,30.1479,4,-2.68,-0.42,3.93,4
21.1,-1.6479,30.1481,4,-2.55,-0.56,4.04,3
22.0,-1.6479,30.1482,3,-2.28,-0.49,4.36,4
23.0,-1.6479,30.1482,4,-3.04,-0.37,3.36,4
24.0,-1.6478,30.1483,3,-3.20,-0.67,3.38,3
24.9,-1.6479,30.1483,4,-3.68,-0.48,3.36,4
26.1,-1.6480,30.1484,4,-3.65,-0.40,3.46,3
27.0,-1.6480,30.1485,3,-3.25,-0.67,3.63,4
28.0,-1.6478,30.1485,4,-3.52,-0.58,3.87,4
29.0,-1.6479,30.1486,3,-3.62,-0.37,3.96,3
29.9,-1.6479,30.1487,4,-3.52,-0.86,3.45,4
31.0,-1.6350,30.1971,4,-3.45,0.06,3.39,3
32.0,-1.4424,30.8033,3,-2.86,-0.52,4.17,4
33.0,-1.3609,31.0693,4,-4.10,-4.41,3.57,4
34.1,-1.3477,31.1806,4,-4.66,-5.37,3.55,3
35.0,-1.3616,31.2454,3,-4.18,-5.61,3.64,4
36.0,-1.3866,31.2937,4,-3.29,-6.30,3.54,4
37.1,-1.3874,31.3333,4,-2.03,-7.09,3.66,3
38.0,-1.3814,31.3828,3,-1.17,-5.58,3.35,4
39.0,-1.3700,31.4227,4,-0.70,-5.58,3.52,3
40.1,-1.3980,31.4519,4,-0.06,-5.42,3.63,4
41.0,-1.4050,31.4919,3,1.11,-5.00,3.65,4
42.0,-1.3834,31.5284,4,1.56,-4.76,3.54,3
43.1,-1.3973,31.5554,4,0.96,-4.87,3.40,4
44.0,-1.3569,31.5825,3,0.97,-5.00,3.42,4
45.0,-1.3463,31.6195,4,1.25,-4.44,3.10,3
46.0,-1.3381,31.6546,3,2.34,-4.38,3.28,4
46.9,-1.3778,31.6831,4,2.49,-3.82,3.33,4
48.0,-1.3587,31.7172,4,2.44,-3.29,3.36,3
49.0,-1.3773,31.7489,3,2.85,-4.05,3.54,4
49.9,-1.3933,31.7723,4,2.30,-3.51,3.47,4
51.0,-1.4098,31.7958,4,2.34,-2.57,3.41,3
52.0,-1.4187,31.8077,3,2.29,-1.75,3.50,4
52.9,-1.4076,31.8255,4,2.38,-0.60,3.56,4
54.0,-1.4086,31.8473,4,2.91,0.07,3.52,3
55.0,-1.4162,31.8693,3,2.49,0.45,3.55,4
55.9,-1.4137,31.8967,4,1.90,0.52,3.43,4
57.0,-1.4146,31.9327,4,1.96,0.30,3.55,3
58.0,-1.4232,31.9606,3,1.93,0.48,3.59,4
58.9,-1.4324,31.9782,4,2.69,-0.16,3.73,4
60.0,-1.4578,32.0006,4,4.27,1.40,3.62,3
61.0,-1.4741,32.0149,3,4.76,1.19,3.59,4
61.9,-1.4693,32.0300,4,5.19,1.15,3.69,4
63.0,-1.4621,32.0487,4,5.00,0.71,3.51,3
64.0,-1.4684,32.0672,3,4.95,-0.58,3.42,4
64.9,-1.4782,32.0862,4,3.90,-1.42,3.49,4
66.0,-1.4856,32.1071,4,3.03,-2.15,3.36,3
67.0,-1.4859,32.1200,3,2.26,-2.00,3.26,4
67.9,-1.4909,32.1341,4,1.49,-2.52,3.44,4
69.0,-1.4931,32.1475,4,0.89,-2.93,3.37,3
70.0,-1.4935,32.1595,3,0.33,-3.50,3.58,4
70.9,-1.4882,32.1717,4,0.12,-3.67,3.64,4
72.0,-1.4839,32.1882,4,-0.12,-3.32,3.77,3
73.0,-1.4805,32.2031,3,-0.54,-3.84,3.65,4
73.9,-1.4825,32.2175,4,-0.31,-3.68,3.73,4
75.0,-1.4872,32.2307,4,-0.23,-3.24,3.67,3
76.0,-1.4860,32.2417,3,-0.31,-2.66,3.65,4
76.9,-1.4820,32.2491,4,-0.03,-2.97,3.76,4
78.0,-1.4844,32.2580,4,0.95,-3.00,3.71,3
79.0,-1.4819,32.2684,3,0.98,-3.18,3.69,4
79.9,-1.4835,32.2819,4,1.33,-3.26,3.73,4
81.0,-1.4820,32.2956,4,1.10,-2.33,3.73,3
82.0,-1.4821,32.3063,3,1.27,-2.05,4.05,4
82.9,-1.4912,32.3191,4,1.56,-1.62,4.13,4
84.0,-1.4933,32.3345,4,1.61,-1.49,3.91,3
85.1,-1.4920,32.3493,4,1.22,-1.70,3.85,4
86.0,-1.4950,32.3642,3,1.41,-1.79,4.11,4
87.0,-1.4975,32.3795,4,1.10,-2.15,3.88,3
88.1,-1.4975,32.3954,4,0.83,-2.20,3.87,4
89.0,-1.4984,32.4111,3,0.68,-2.04,4.12,4
90.0,-1.5006,32.4224,4,1.23,-1.82,3.81,3
91.1,-1.5033,32.4348,4,0.60,-1.71,4.01,4
92.0,-1.5085,32.4459,3,0.42,-1.53,4.01,4
93.0,-1.5119,32.4592,4,0.58,-1.53,4.11,4
94.0,-1.5143,32.4796,4,0.87,-0.77,4.10,3
95.0,-1.5185,32.4951,3,0.99,-0.85,4.17,4
95.9,-1.5184,32.5073,4,1.02,-0.77,4.02,4
97.0,-1.5179,32.5269,4,1.04,-0.89,4.10,3
98.0,-1.5243,32.5443,3,0.51,-0.99,3.87,4
98.9,-1.5296,32.5564,4,0.46,-1.34,4.16,4
100.0,-1.5282,32.5677,4,0.29,-0.74,4.12,3
101.0,-1.5291,32.5842,3,0.24,-1.05,4.11,4
101.9,-1.5302,32.5972,4,0.66,-0.53,4.09,4
103.0,-1.5328,32.6162,4,0.54,-0.42,3.78,3
104.1,-1.5328,32.6306,4,0.62,-0.76,3.89,4
105.0,-1.5293,32.6460,3,0.60,-0.67,3.89,4
106.0,-1.5275,32.6650,4,0.85,-0.92,3.81,3
107.1,-1.5242,32.6831,4,1.75,-0.64,3.98,4
108.0,-1.5197,32.7016,3,1.80,-0.45,4.00,4
109.0,-1.5145,32.7173,4,1.97,-0.86,3.88,4
110.0,-1.5071,32.7350,4,1.86,-0.95,4.03,3
111.0,-1.5066,32.7545,3,1.72,-1.19,3.88,4
111.9,-1.5112,32.7682,4,1.37,-0.75,3.86,4
113.0,-1.5049,32.7955,4,1.47,-0.34,4.09,3
114.0,-1.4828,32.8267,3,1.90,-0.36,3.85,4
114.9,-1.4700,32.8552,4,2.65,-0.32,3.74,4
116.0,-1.4568,32.8930,4,2.63,-0.19,3.63,3
117.1,-1.4409,32.9304,4,3.24,0.45,3.61,4
118.0,-1.4209,32.9720,3,3.19,1.86,3.60,4
119.0,-1.4029,33.0081,4,1.18,0.39,3.20,3
120.0,-1.3827,33.0462,4,0.26,-1.20,3.60,4
121.0,-1.3685,33.0803,3,1.01,-1.21,3.68,4
121.9,-1.3526,33.1235,4,0.73,-2.29,3.43,4
123.0,-1.3243,33.1797,4,1.26,-2.25,3.30,3
124.1,-1.3025,33.2378,4,0.67,-2.25,3.20,4
125.0,-1.2971,33.2815,3,1.37,-2.54,2.95,4
126.0,-1.2903,33.3193,4,2.05,-1.43,3.01,3
127.0,-1.2813,33.3660,4,0.72,-0.49,2.82,4
128.0,-1.2705,33.4111,3,-0.72,-0.39,3.10,4
128.9,-1.2649,33.4516,4,-1.09,-1.24,3.25,4
130.0,-1.2593,33.4838,4,-0.80,-2.07,3.15,3
131.1,-1.2543,33.5093,4,-0.69,-2.29,3.11,4
132.0,-1.2466,33.5305,3,-0.52,-2.16,3.11,4
133.0,-1.2384,33.5508,4,-0.59,-2.03,3.00,3
134.1,-1.2165,33.5869,4,-1.19,-0.80,2.80,4
135.0,-1.1933,33.6277,3,-1.27,-0.44,2.67,4
136.0,-1.1712,33.6784,4,-0.87,-1.34,3.00,4
137.0,-1.1605,33.7201,4,-0.65,-2.55,2.88,3
138.0,-1.1522,33.7511,3,-0.14,-2.25,2.75,4
138.9,-1.1417,33.7873,4,0.35,-1.72,2.66,4
140.0,-1.1017,33.8302,4,0.38,-2.02,2.78,3
141.1,-1.0846,33.8724,4,0.05,-2.52,2.71,4
142.0,-1.1353,33.9049,3,-0.52,-2.59,2.63,4
143.0,-1.1552,33.9163,4,-0.63,-2.29,2.89,4
144.0,-1.1637,33.9323,4,-0.87,-1.62,2.69,3
145.0,-1.1639,33.9592,3,-1.37,-1.88,2.84,4
145.9,-1.1575,33.9811,4,-1.88,-2.46,2.80,4
147.0,-1.1432,34.0034,4,-2.08,-2.46,2.64,3
148.1,-1.1427,34.0287,4,-1.31,-2.48,2.81,4
149.0,-1.1295,34.0494,3,-0.20,-1.67,2.85,4
150.0,-1.1401,34.0664,4,0.54,-1.25,2.88,3
151.0,-1.1479,34.0863,4,0.68,-0.86,2.63,4
