2016,45.50162,-175.2366,83.4608,244
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.8,-1.6306,29.7765,9,2.27,2.15,-0.13,10
9.0,-1.6307,29.7775,5,2.07,2.20,-3.10,4
10.1,-1.6308,29.7781,4,2.09,2.17,-2.63,4
11.0,-1.6307,29.7780,4,1.60,2.25,-2.30,4
12.0,-1.6308,29.7785,4,1.54,2.20,-1.95,4
13.0,-1.6308,29.7798,5,1.47,2.67,-2.41,5
14.1,-1.6307,29.7796,4,1.06,2.95,-3.01,4
15.1,-1.6308,29.7799,4,1.49,3.12,-2.68,4
16.1,-1.6309,29.7804,4,1.68,2.93,-2.92,4
17.1,-1.6309,29.7804,4,1.91,3.19,-2.82,4
18.1,-1.6309,29.7814,4,1.76,2.92,-2.59,4
19.1,-1.6311,29.7820,4,1.92,3.21,-3.37,4
20.1,-1.6309,29.7823,4,1.95,3.18,-3.30,4
21.1,-1.6309,29.7834,4,1.99,3.10,-3.26,4
22.1,-1.6306,29.7850,4,2.20,3.02,-3.21,4
23.0,-1.6305,29.7857,4,2.31,2.58,-1.80,4
24.0,-1.6305,29.7859,4,2.80,2.62,-3.00,4
24.9,-1.6307,29.7869,4,2.88,2.74,-3.13,4
25.9,-1.6304,29.7881,4,2.59,2.45,-3.51,4
26.9,-1.6303,29.7895,4,2.98,2.54,-2.50,4
28.0,-1.6302,29.7925,5,2.81,2.10,-3.28,5
29.0,-1.6301,29.7934,4,3.53,1.13,-2.59,4
30.0,-1.6299,29.7953,5,4.59,0.77,-2.80,5
31.0,-1.6297,29.8060,4,5.45,0.73,-1.20,4
32.0,-1.5898,30.1235,5,5.04,1.20,-2.48,5
33.1,-1.4123,30.9145,4,2.64,-1.25,-2.20,4
34.1,-1.3593,31.0634,4,1.76,-1.36,-2.20,4
35.0,-1.3185,31.1377,4,0.66,-1.45,-2.52,4
36.0,-1.3249,31.2051,4,0.07,-2.11,-2.73,4
37.0,-1.3289,31.2505,5,-0.02,-2.84,-1.81,5
38.0,-1.3172,31.2923,4,-0.31,-3.41,-1.89,4
39.0,-1.3294,31.3300,4,-0.09,-3.18,-2.34,4
39.9,-1.3399,31.3623,4,0.06,-3.37,-1.90,4
40.9,-1.3534,31.3993,4,-0.01,-3.23,-2.78,4
42.0,-1.3742,31.4477,5,-0.23,-3.26,-2.35,5
43.1,-1.3767,31.4920,4,-0.51,-3.87,-2.01,4
44.1,-1.3780,31.5287,4,-0.59,-4.00,-2.38,4
45.1,-1.3820,31.5638,4,-0.14,-4.08,-2.28,4
