2015,316.87649,174.8165,82.2554,748
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
14.3,-1.6056,29.3591,26,-7.36,5.91,-0.04,22
15.0,-1.6055,29.3597,5,-6.82,4.68,2.70,6
16.1,-1.6055,29.3608,4,-8.77,5.98,3.31,4
17.0,-1.6054,29.3609,3,-10.24,6.42,4.26,4
18.0,-1.6054,29.3610,4,-9.93,6.64,4.26,4
19.0,-1.6055,29.3609,4,-10.35,6.46,3.90,4
20.0,-1.6054,29.3608,3,-9.19,8.22,3.83,4
21.0,-1.6054,29.3611,4,-7.65,8.83,4.47,3
21.9,-1.6055,29.3616,3,-6.66,8.23,3.77,4
22.9,-1.6054,29.3622,4,-6.11,8.34,4.11,3
24.0,-1.6055,29.3623,4,-5.19,9.79,4.10,4
25.0,-1.6054,29.3622,3,-4.99,9.12,3.97,4
26.0,-1.6053,29.3621,4,-5.11,9.03,3.76,3
27.1,-1.6055,29.3655,4,-5.19,8.93,3.36,4
28.0,-1.6057,29.3709,3,-5.10,8.35,4.17,4
29.0,-1.6053,29.3771,4,-4.93,7.61,4.12,3
30.0,-1.5978,29.3922,3,-6.08,7.36,3.81,4
30.9,-1.5287,29.5144,4,-5.16,6.99,3.52,3
32.0,-1.3245,30.1721,4,-6.80,7.02,3.54,4
33.0,-1.1908,30.5253,3,-4.63,6.17,3.20,4
34.0,-1.1822,30.6349,4,-4.63,6.25,3.04,3
35.1,-1.1811,30.7212,4,-5.18,6.25,3.00,4
36.1,-1.1672,30.7753,3,-4.39,6.37,2.73,3
37.0,-1.1729,30.8195,4,-4.20,6.26,2.50,4
38.0,-1.1985,30.8619,3,-4.28,6.21,2.79,4
39.0,-1.2003,30.9103,4,-4.46,5.94,2.44,3
40.1,-1.2046,30.9651,4,-4.59,6.30,2.66,4
41.0,-1.2178,31.0180,3,-6.15,6.11,2.57,4
42.0,-1.2397,31.0742,4,-6.25,6.28,2.57,3
43.0,-1.2199,31.1287,3,-4.86,6.38,2.15,4
43.9,-1.2511,31.1640,4,-2.21,5.90,2.12,3
45.0,-1.3549,31.2027,4,-1.29,5.00,2.11,4
46.0,-1.4701,31.2384,3,-1.59,3.04,2.10,4
47.0,-1.4736,31.2687,4,-0.98,3.57,2.57,3
48.1,-1.4547,31.3102,4,-1.00,3.72,2.77,4
49.0,-1.4708,31.3478,3,-1.49,3.99,2.57,3
50.0,-1.4740,31.3773,4,-2.02,4.30,2.62,4
51.0,-1.4655,31.4049,3,-2.44,4.20,2.98,4
51.9,-1.3935,31.4318,4,-2.96,5.06,2.98,3
53.0,-1.4092,31.4620,4,-3.38,5.27,2.86,4
54.0,-1.5100,31.4793,3,-2.68,5.27,2.91,4
55.0,-1.5490,31.4990,4,-2.55,5.05,2.88,3
56.1,-1.5507,31.5289,4,-2.60,4.66,2.91,4
57.0,-1.4939,31.5522,3,-2.68,5.04,3.27,4
58.0,-1.4184,31.5889,4,-4.43,4.65,3.06,3
59.0,-1.4850,31.6203,3,-5.95,5.55,3.05,4
59.9,-1.4192,31.6543,4,-5.94,5.74,2.93,3
61.0,-1.3510,31.6963,4,-5.62,5.50,3.08,4
62.0,-1.3260,31.7294,3,-5.27,4.96,2.98,4
62.9,-1.3157,31.7516,4,-5.35,4.90,2.98,3
64.0,-1.3057,31.7750,4,-5.26,4.35,3.26,4
65.0,-1.3221,31.7944,3,-4.78,5.20,3.09,4
66.0,-1.3385,31.8173,4,-5.14,5.72,3.19,3
67.1,-1.3831,31.8466,4,-5.58,4.93,2.93,4
68.0,-1.4076,31.8658,3,-5.32,4.50,3.06,4
69.0,-1.4665,31.8883,4,-5.49,3.86,3.18,3
70.1,-1.4721,31.9109,4,-5.24,4.51,3.00,4
71.0,-1.4352,31.9332,3,-5.25,4.51,2.97,3
72.0,-1.3928,31.9556,4,-4.61,5.10,3.27,4
73.0,-1.4828,31.9795,3,-4.43,5.36,3.19,4
73.9,-1.4675,32.0022,4,-3.58,5.90,3.32,3
75.0,-1.4643,32.0250,4,-3.33,5.90,3.25,4
76.0,-1.4814,32.0425,3,-4.04,5.14,3.05,4
76.9,-1.5060,32.0564,4,-4.37,5.54,2.98,3
78.0,-1.4711,32.0761,4,-4.48,5.69,3.06,4
79.0,-1.4797,32.0928,3,-4.34,5.46,3.35,4
79.9,-1.4909,32.1071,4,-4.58,4.56,3.23,3
81.0,-1.5373,32.1233,4,-5.01,4.38,2.91,4
82.0,-1.5214,32.1368,3,-5.21,4.31,3.00,4
83.0,-1.5542,32.1561,4,-4.90,4.64,3.03,3
84.0,-1.5201,32.1716,4,-4.49,4.92,3.21,4
85.0,-1.5172,32.1889,3,-4.64,5.42,3.06,4
86.0,-1.5097,32.2007,4,-4.87,4.43,3.24,3
87.0,-1.4921,32.2147,4,-5.01,5.04,3.08,4
88.0,-1.4967,32.2242,3,-4.96,6.12,3.30,4
89.0,-1.5164,32.2381,4,-4.84,5.99,3.01,3
90.0,-1.5265,32.2560,4,-4.59,5.80,3.01,4
91.0,-1.5136,32.2764,3,-4.76,6.02,2.98,4
92.0,-1.5007,32.2947,4,-4.24,5.12,3.16,3
93.0,-1.4974,32.3095,4,-4.07,4.74,3.13,4
94.0,-1.5023,32.3224,3,-4.16,5.86,3.33,4
95.0,-1.5075,32.3360,4,-4.26,4.95,3.14,3
96.1,-1.5071,32.3557,4,-4.39,5.28,3.19,4
97.0,-1.5075,32.3734,3,-4.37,5.37,3.27,4
98.0,-1.4992,32.3903,4,-4.59,5.00,3.07,3
99.1,-1.4586,32.4097,4,-5.50,5.16,3.18,4
100.0,-1.4747,32.4249,3,-5.54,5.36,3.24,4
101.0,-1.4906,32.4387,4,-5.71,5.58,3.07,3
102.1,-1.5128,32.4590,4,-5.75,4.99,3.10,4
103.0,-1.5168,32.4782,3,-4.95,5.57,3.23,4
104.0,-1.5184,32.4933,4,-4.56,5.15,3.13,3
105.0,-1.5215,32.5114,4,-3.92,6.13,3.32,4
106.0,-1.5190,32.5281,3,-3.97,5.81,3.23,4
106.9,-1.5201,32.5423,4,-4.99,5.89,3.04,3
108.0,-1.5241,32.5652,4,-5.25,6.07,3.28,4
109.0,-1.5322,32.5913,3,-6.10,5.89,3.21,4
109.9,-1.5455,32.6114,4,-7.33,5.57,3.30,3
111.0,-1.5143,32.6467,4,-7.14,5.91,3.39,4
112.0,-1.5115,32.6804,3,-7.04,6.06,3.47,4
112.9,-1.5013,32.7163,4,-8.16,5.61,3.39,3
114.0,-1.5004,32.7451,4,-7.51,4.86,3.61,4
115.1,-1.5236,32.7720,4,-7.26,3.58,3.49,4
116.0,-1.5262,32.8058,3,-7.51,3.45,3.45,3
117.0,-1.5059,32.8492,4,-7.02,3.71,3.74,4
118.1,-1.4702,32.8963,4,-5.84,4.51,3.52,4
119.0,-1.4404,32.9510,3,-4.99,4.72,3.38,3
120.0,-1.4163,33.0112,4,-4.15,4.27,3.28,4
121.1,-1.3806,33.0624,4,-3.40,3.61,3.30,4
122.0,-1.3685,33.1155,3,-2.50,2.31,3.60,4
123.0,-1.3827,33.1609,4,-3.38,3.66,3.50,3
124.0,-1.3735,33.2277,4,-4.29,3.70,3.37,4
125.0,-1.3422,33.2843,3,-6.23,4.62,3.63,4
125.9,-1.2547,33.3370,4,-6.48,3.50,3.32,3
127.0,-1.2069,33.3997,4,-5.52,3.58,3.44,4
128.0,-1.1855,33.4397,3,-5.73,1.38,3.30,4
128.9,-1.1668,33.4844,4,-5.94,1.78,3.39,3
130.0,-1.1493,33.5341,4,-5.42,2.72,3.53,4
131.1,-1.1449,33.5759,4,-5.08,3.17,3.25,4
132.0,-1.1259,33.6121,3,-4.98,2.99,3.02,3
133.0,-1.1173,33.6462,4,-3.78,2.19,3.23,4
134.1,-1.0928,33.6856,4,-3.03,0.65,2.83,4
135.0,-1.0691,33.7231,3,-3.15,-0.25,3.01,3
136.0,-1.0650,33.7572,4,-2.77,-0.09,2.92,4
137.1,-1.0597,33.8059,4,-2.71,-0.06,2.94,4
138.0,-1.0439,33.8405,3,-1.98,-0.67,2.92,4
139.0,-1.0634,33.8690,4,-1.67,-1.64,2.86,3
140.0,-1.0709,33.9019,4,-1.30,-0.80,3.01,4
141.0,-1.0605,33.9292,3,-1.15,-0.34,2.87,4
141.9,-1.0556,33.9559,4,-1.90,0.36,3.04,3
143.0,-1.0578,33.9782,4,-2.40,1.50,2.91,4
144.0,-1.0529,33.9962,3,-2.51,-0.06,2.42,4
144.9,-1.0457,34.0121,4,-1.76,1.27,2.69,3
146.0,-1.0421,34.0341,4,-2.28,0.74,2.93,4
147.1,-1.1519,34.0508,4,-1.98,1.75,2.66,4
148.0,-1.2010,34.0594,3,-2.03,0.93,2.88,3
149.0,-1.1918,34.0729,4,-2.70,-0.20,2.63,4
150.1,-1.1814,34.0850,4,-2.70,-1.02,2.65,4
151.0,-1.1770,34.0984,3,-3.03,-1.12,2.76,4
152.0,-1.1782,34.1129,4,-3.41,-1.99,2.66,3
153.0,-1.1590,34.1264,4,-2.83,-1.91,2.68,4
154.0,-1.1306,34.1374,3,-2.40,-1.51,2.68,4
154.9,-1.0897,34.1522,4,-2.32,-1.88,2.60,3
156.0,-1.0617,34.1678,4,-3.13,-1.58,2.75,4
157.0,-1.0452,34.1790,3,-2.83,-0.73,2.76,4
157.9,-1.0225,34.1907,4,-3.53,-0.87,2.69,3
159.0,-1.0179,34.2065,4,-4.20,-0.48,2.63,4
160.1,-1.0217,34.2189,4,-3.93,-0.00,2.58,4
161.0,-1.0185,34.2296,3,-4.08,-0.21,2.69,3
162.0,-1.0016,34.2383,4,-3.90,0.51,2.76,4
163.0,-0.9513,34.2499,4,-3.26,0.70,2.85,4
164.0,-0.9293,34.2579,3,-3.44,0.34,2.73,4
164.9,-0.9213,34.2673,4,-3.22,0.62,2.75,3
166.0,-0.9071,34.2759,4,-3.39,-0.04,2.66,4
167.1,-0.8823,34.2873,4,-2.99,-0.02,2.71,4
168.0,-0.8707,34.2932,3,-2.67,0.51,2.90,3
169.0,-0.8744,34.3021,4,-3.09,1.07,2.89,4
170.1,-0.9026,34.3053,4,-3.28,0.22,2.65,4
171.0,-0.9093,34.3123,3,-2.56,-0.40,2.62,4
172.0,-0.9160,34.3202,4,-2.54,-0.54,2.49,3
173.0,-0.9138,34.3276,4,-2.69,-0.76,2.90,4
174.0,-0.8946,34.3380,3,-2.23,-1.09,2.81,4
174.9,-0.8720,34.3454,4,-2.15,-1.04,3.04,3
176.0,-0.8368,34.3538,4,-2.28,-1.23,2.73,4
177.1,-0.8145,34.3598,4,-2.06,-0.38,3.07,4
178.0,-0.7993,34.3650,3,-2.74,-0.91,2.98,3
179.0,-0.7813,34.3718,4,-2.28,-0.55,2.91,4
180.0,-0.7684,34.3759,4,-1.67,-0.31,2.75,4
181.0,-0.7506,34.3824,3,-2.61,-0.42,2.70,4
181.9,-0.7418,34.3856,4,-3.38,0.10,2.85,3
183.0,-0.7219,34.3933,4,-3.76,0.63,2.74,4
184.1,-0.7168,34.3966,4,-4.36,0.83,2.88,4
185.0,-0.7062,34.4039,3,-3.89,1.26,2.98,3
186.0,-0.7118,34.4049,4,-3.54,1.09,2.96,4
187.0,-0.7075,34.4103,4,-2.86,0.43,2.79,4
188.0,-0.6952,34.4150,3,-2.27,0.42,2.90,4
188.9,-0.6928,34.4166,4,-2.17,0.04,3.01,3
190.0,-0.6519,34.4232,4,-2.25,0.50,3.05,4
191.1,-0.6402,34.4272,4,-3.13,0.45,2.71,4
192.0,-0.6152,34.4310,3,-3.78,1.30,2.71,3
193.0,-0.5913,34.4377,4,-4.16,1.35,2.82,4
194.0,-0.5551,34.4452,4,-4.62,1.28,2.82,4
195.0,-0.5115,34.4534,3,-4.04,1.93,2.96,4
195.9,-0.5001,34.4551,4,-3.70,1.18,2.76,3
197.0,-0.4655,34.4612,4,-3.07,1.29,2.89,4
198.1,-0.4496,34.4660,4,-2.86,0.48,2.79,4
199.0,-0.4454,34.4674,3,-1.91,0.20,2.75,4
199.9,-0.4156,34.4747,4,-0.90,-0.05,2.80,3
201.0,-0.4031,34.4787,4,-0.33,-0.16,2.79,4
202.1,-0.3766,34.4841,4,-0.17,-0.73,2.85,4
203.0,-0.3631,34.4880,3,-0.03,-0.73,2.88,3
204.0,-0.3536,34.4906,4,-0.33,-0.96,2.45,4
205.0,-0.3202,34.4966,4,-0.53,-1.07,2.68,4
206.0,-0.3075,34.5017,3,-1.21,-0.68,2.96,4
206.9,-0.2740,34.5083,4,-1.14,-0.55,3.17,3
208.0,-0.2685,34.5098,4,-2.59,0.18,2.91,4
209.1,-0.2621,34.5120,4,-2.64,0.72,2.99,4
210.0,-0.2265,34.5191,3,-2.91,0.27,2.79,4
210.9,-0.2209,34.5224,4,-2.35,0.28,2.66,3
212.0,-0.2089,34.5247,4,-1.88,-0.14,3.02,4
213.1,-0.1771,34.5342,4,-1.34,-0.45,2.78,4
214.0,-0.1733,34.5360,3,-0.86,-1.10,2.74,3
215.0,-0.1572,34.5404,4,-0.45,-1.22,2.58,4
216.0,-0.1306,34.5485,4,-0.51,-0.57,3.00,4
217.0,-0.1266,34.5497,3,-0.97,-0.73,2.76,4
217.9,-0.1259,34.5500,4,-0.64,0.12,2.74,3
219.0,-0.1129,34.5533,4,-1.00,-0.02,2.88,4
220.1,-0.0982,34.5574,4,-0.70,-0.74,2.70,4
221.0,-0.0693,34.5658,3,-0.38,-0.96,3.07,4
