2015,330.00152,173.4405,82.5447,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.0,-1.5980,29.2739,10,-0.36,-0.19,2.27,11
7.9,-1.5980,29.2759,4,-1.10,0.78,-3.95,4
8.9,-1.5980,29.2764,4,-0.86,0.95,-2.04,4
9.9,-1.5980,29.2756,4,-1.15,1.88,-2.60,4
10.9,-1.5979,29.2782,4,-0.66,2.90,-2.53,4
12.0,-1.5978,29.2792,4,-0.30,4.26,-1.38,4
13.0,-1.5979,29.2781,4,-1.07,5.16,-0.74,4
14.0,-1.5979,29.2793,4,1.38,7.26,-0.74,4
15.0,-1.5978,29.2830,4,2.21,7.00,-1.57,4
16.0,-1.5972,29.2894,4,1.02,6.64,-1.50,4
17.1,-1.5970,29.2906,4,0.74,6.35,-1.90,4
18.1,-1.5969,29.2910,4,0.59,5.90,-1.91,4
19.1,-1.5967,29.2915,4,0.15,5.48,-1.86,4
20.0,-1.5968,29.2918,3,-0.14,5.45,-2.00,3
20.9,-1.5967,29.2921,4,-0.12,5.13,-1.99,4
21.9,-1.5966,29.2925,4,-0.21,5.14,-2.17,4
23.0,-1.5968,29.2931,4,0.17,5.52,-2.08,4
24.0,-1.5966,29.2936,4,0.67,5.91,-1.46,4
25.0,-1.5966,29.2943,4,0.78,5.90,-1.59,4
26.0,-1.5965,29.2953,4,1.21,6.05,-1.65,4
27.1,-1.5965,29.2962,4,1.26,5.97,-1.45,4
28.1,-1.5964,29.2974,4,1.28,6.10,-1.52,4
29.1,-1.5962,29.2986,4,1.17,6.46,-1.57,4
30.0,-1.5961,29.2996,3,1.91,6.40,-1.40,3
30.9,-1.5953,29.3017,4,1.79,6.82,-1.33,4
31.9,-1.5924,29.3111,4,1.50,6.72,-0.85,4
33.0,-1.5620,29.4331,4,2.45,7.48,-0.67,4
34.0,-1.3866,30.1618,4,1.83,6.47,-1.06,4
35.0,-1.2948,30.4809,4,-0.13,8.07,-0.46,4
36.0,-1.2524,30.5622,4,-0.22,9.76,-0.14,4
37.1,-1.2238,30.6190,4,0.82,9.29,-0.35,4
38.1,-1.1980,30.7730,4,1.20,7.48,-0.26,4
39.1,-1.2263,30.8833,4,-1.43,6.12,-0.42,4
40.0,-1.2590,30.9406,3,-2.27,6.18,-0.29,3
40.9,-1.2465,30.9953,4,-3.03,7.18,-0.64,4
41.9,-1.2308,31.0507,4,-4.53,7.31,-0.32,4
42.9,-1.2346,31.1043,4,-4.36,7.84,-0.14,4
44.0,-1.2626,31.1687,4,-4.57,7.63,-0.31,4
45.0,-1.2774,31.2212,4,-4.26,7.00,-0.53,4
46.0,-1.3013,31.2952,4,-3.87,7.09,-0.98,4
47.1,-1.3607,31.3603,4,-3.58,7.29,-1.02,4
48.1,-1.3915,31.4037,4,-3.13,6.77,-1.12,4
49.0,-1.4076,31.4361,3,-2.86,6.95,-1.43,3
49.9,-1.4132,31.4663,4,-2.63,7.11,-1.35,4
50.9,-1.4163,31.4894,4,-2.55,6.77,-1.41,4
