2016,52.75163,-173.4200,82.9997,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
102.1,-1.5078,32.5285,4,2.40,-0.74,-2.48,4
103.0,-1.5090,32.5405,3,2.81,-0.37,-2.71,3
103.9,-1.5126,32.5543,4,2.97,-0.69,-2.77,4
105.0,-1.5188,32.5713,4,2.63,-0.78,-2.65,4
106.0,-1.5233,32.5883,4,2.55,-0.98,-2.46,4
107.0,-1.5279,32.6042,4,2.97,-1.71,-2.83,4
108.1,-1.5353,32.6202,4,3.08,-1.18,-2.93,4
109.0,-1.5422,32.6333,3,2.74,-1.14,-2.91,3
109.9,-1.5383,32.6465,4,2.79,-0.90,-2.98,4
111.0,-1.5326,32.6654,4,3.31,-1.26,-2.98,4
112.0,-1.5352,32.6851,4,3.39,-1.41,-2.86,4
113.0,-1.5392,32.7069,4,3.11,-2.02,-3.25,4
114.1,-1.5357,32.7300,4,2.35,-2.15,-2.83,4
115.0,-1.5357,32.7506,3,1.92,-2.35,-2.87,3
115.9,-1.5307,32.7685,4,2.16,-2.89,-2.81,4
117.0,-1.5287,32.7966,4,2.40,-2.78,-3.16,4
118.0,-1.5230,32.8226,4,2.44,-2.73,-2.91,4
119.0,-1.5174,32.8428,4,2.57,-2.50,-2.87,4
120.1,-1.5018,32.8743,4,2.34,-2.84,-2.72,4
121.0,-1.4446,32.9195,3,2.91,-3.04,-2.54,3
121.9,-1.4074,32.9823,4,3.01,-3.35,-2.83,4
123.0,-1.4007,33.0541,4,3.32,-4.87,-2.88,4
124.0,-1.4204,33.1041,4,3.85,-5.60,-2.99,4
125.1,-1.4215,33.1304,4,4.56,-6.21,-2.34,4
126.0,-1.4175,33.1547,3,4.37,-6.66,-2.82,3
126.9,-1.4020,33.1715,4,4.02,-5.50,-2.63,4
128.0,-1.3878,33.1958,4,3.44,-4.26,-2.85,4
129.0,-1.3675,33.2322,4,3.54,-3.55,-2.96,4
130.1,-1.3376,33.2785,4,3.23,-3.31,-2.77,4
131.1,-1.3260,33.3333,4,2.53,-3.24,-2.63,4
132.0,-1.2948,33.3724,3,2.63,-3.51,-2.71,3
132.9,-1.2685,33.4071,4,2.43,-3.67,-2.67,4
134.0,-1.2562,33.4565,4,3.26,-4.01,-2.56,4
135.0,-1.2285,33.5302,4,2.55,-3.28,-2.52,4
136.1,-1.2283,33.5765,4,1.51,-2.86,-2.29,4
137.0,-1.2385,33.6268,3,1.79,-1.87,-2.06,3
137.9,-1.1824,33.6798,4,1.38,-2.09,-2.32,4
139.0,-1.1958,33.7051,4,2.18,-2.52,-2.56,4
140.0,-1.1966,33.7411,4,3.56,-1.30,-2.61,4
141.1,-1.1761,33.7860,4,3.92,-2.31,-2.77,4
142.0,-1.1389,33.8227,3,3.15,-3.72,-2.58,3
142.9,-1.1362,33.8661,4,4.21,-3.03,-2.55,4
144.0,-1.2271,33.8838,4,4.02,-2.44,-2.54,4
145.0,-1.2780,33.8944,4,3.44,-2.48,-2.36,4
146.1,-1.2187,33.9148,4,3.29,-2.23,-2.41,4
147.0,-1.2071,33.9338,3,2.72,-2.23,-2.29,3
147.9,-1.2021,33.9519,4,3.56,-2.48,-2.39,4
149.0,-1.1927,33.9793,4,3.67,-2.89,-2.66,4
150.0,-1.1911,34.0067,4,2.55,-2.22,-2.35,4
151.1,-1.1893,34.0273,4,1.63,-1.93,-2.20,4
152.0,-1.1812,34.0497,3,1.45,-2.25,-2.42,3
152.9,-1.1751,34.0685,4,1.66,-2.72,-2.58,4
154.0,-1.1770,34.0858,4,1.27,-3.10,-2.82,4
155.0,-1.1768,34.1008,4,1.78,-3.34,-2.19,4
156.1,-1.1641,34.1189,4,1.53,-3.64,-2.40,4
157.0,-1.1510,34.1332,3,1.42,-3.40,-2.57,3
157.9,-1.1282,34.1457,4,1.01,-2.77,-2.78,4
159.0,-1.1143,34.1594,4,0.49,-2.96,-2.61,4
160.0,-1.1027,34.1690,4,0.39,-2.65,-2.64,4
161.1,-1.0910,34.1778,4,0.25,-2.69,-2.65,4
162.0,-1.0762,34.1878,3,0.76,-2.80,-2.43,3
162.9,-1.0752,34.1972,4,1.32,-2.33,-2.71,4
164.0,-1.0672,34.2054,4,1.69,-2.22,-2.64,4
165.0,-1.0698,34.2161,4,2.22,-2.10,-2.63,4
166.1,-1.0309,34.2308,4,2.19,-2.70,-2.59,4
167.0,-1.0157,34.2407,3,2.02,-2.55,-2.33,3
167.9,-1.0069,34.2497,4,2.30,-2.64,-2.47,4
169.0,-1.0010,34.2571,4,2.47,-2.89,-2.48,4
170.0,-0.9941,34.2636,4,2.25,-2.47,-2.39,4
171.1,-0.9673,34.2733,4,2.55,-2.25,-2.47,4
172.0,-0.9529,34.2772,3,2.70,-1.98,-2.24,3
173.0,-0.9323,34.2866,4,2.92,-1.92,-2.41,4
174.0,-0.9172,34.2932,4,2.20,-1.45,-2.12,4
175.1,-0.9014,34.2967,4,3.08,-1.68,-2.06,4
176.0,-0.8660,34.3076,3,3.16,-1.96,-2.09,3
176.9,-0.8674,34.3089,4,2.69,-1.53,-2.12,4
178.0,-0.8358,34.3186,4,2.52,-1.26,-2.05,4
179.1,-0.8180,34.3250,4,2.25,-1.03,-1.94,4
180.0,-0.8049,34.3313,3,2.01,-1.08,-1.78,3
180.9,-0.7867,34.3396,4,1.87,-1.55,-1.92,4
182.0,-0.7838,34.3422,4,2.11,-1.49,-1.94,4
183.0,-0.7676,34.3512,4,1.68,-1.36,-1.69,4
184.0,-0.7641,34.3528,3,1.87,-1.52,-1.97,3
184.9,-0.7451,34.3621,4,1.70,-1.19,-1.81,4
186.0,-0.7320,34.3681,4,1.16,-0.86,-1.78,4
187.0,-0.7233,34.3725,4,1.61,-1.22,-2.02,4
188.1,-0.6897,34.3801,4,0.83,-0.41,-1.63,4
189.0,-0.6691,34.3851,3,0.73,-0.81,-1.87,3
189.9,-0.6492,34.3884,4,1.06,-1.39,-1.69,4
191.0,-0.6037,34.3972,4,0.36,-1.46,-1.88,4
192.1,-0.5915,34.4013,4,0.49,-1.32,-2.05,4
193.0,-0.5423,34.4068,3,0.79,-1.54,-1.78,3
193.9,-0.5344,34.4115,4,0.99,-1.22,-1.80,4
195.0,-0.4942,34.4180,4,0.73,-0.99,-1.89,4
196.1,-0.4800,34.4229,4,0.98,-1.30,-2.13,4
197.0,-0.4462,34.4329,3,0.76,-1.30,-2.07,3
197.9,-0.4365,34.4353,4,0.78,-1.18,-1.92,4
199.0,-0.4070,34.4469,4,0.54,-1.14,-2.01,4
200.0,-0.4155,34.4475,4,0.47,-0.93,-1.95,4
201.0,-0.3919,34.4587,3,0.56,-1.17,-2.08,3
201.9,-0.4080,34.4591,4,0.71,-1.10,-2.08,4
203.0,-0.4076,34.4578,4,1.05,-1.42,-2.46,4
204.0,-0.3571,34.4655,4,0.80,-1.10,-1.84,4
205.1,-0.3282,34.4722,4,1.03,-1.11,-2.30,4
206.0,-0.3178,34.4758,3,1.03,-1.33,-2.12,3
206.9,-0.3080,34.4807,4,1.03,-1.06,-2.29,4
208.0,-0.2987,34.4866,4,1.14,-1.02,-2.19,4
209.1,-0.2991,34.4864,4,1.11,-1.27,-2.11,4
210.0,-0.2790,34.4912,3,1.00,-1.28,-2.20,3
210.9,-0.2599,34.4988,4,0.93,-1.41,-2.41,4
212.0,-0.2602,34.4983,4,0.71,-1.54,-2.14,4
213.1,-0.2402,34.5016,4,0.78,-1.51,-2.28,4
214.0,-0.2110,34.5091,3,0.93,-1.61,-2.30,3
214.9,-0.1802,34.5193,4,0.61,-1.89,-2.36,4
216.0,-0.1793,34.5200,4,0.67,-1.91,-2.17,4
217.1,-0.1808,34.5193,4,0.10,-2.02,-2.12,4
218.0,-0.1434,34.5283,3,0.42,-2.33,-2.13,3
218.9,-0.1271,34.5359,4,0.09,-2.02,-2.41,4
220.0,-0.1264,34.5356,4,0.45,-1.93,-2.29,4
221.1,-0.1233,34.5344,4,0.51,-1.79,-2.30,4
222.0,-0.0731,34.5524,3,0.16,-1.37,-1.95,3
222.9,-0.0717,34.5542,4,0.45,-1.07,-2.56,4
224.0,-0.0719,34.5531,4,0.37,-1.06,-2.44,4
225.1,-0.0453,34.5581,4,0.35,-1.25,-2.31,4
226.0,-0.0123,34.5702,3,0.71,-0.67,-2.30,3
226.9,-0.0111,34.5690,4,1.09,-0.90,-2.39,4
228.0,0.0368,34.5814,4,0.96,-0.95,-2.49,4
229.1,0.0393,34.5849,4,0.88,-0.57,-2.63,4
230.0,0.0390,34.5855,3,1.32,-1.20,-2.12,3
230.9,0.0403,34.5855,4,1.00,-0.93,-2.49,4
232.0,0.0403,34.5843,4,0.99,-1.16,-2.83,4
233.1,0.0699,34.5885,4,1.15,-1.52,-2.69,4
234.0,0.0918,34.5992,3,0.91,-0.97,-2.43,3
234.9,0.1083,34.6003,4,1.25,-1.18,-2.56,4
236.0,0.1383,34.6132,4,1.35,-1.09,-2.84,4
236.9,0.1416,34.6248,3,0.75,-0.88,-2.60,4
238.0,0.2229,NaN,3,1.25,-0.55,-2.54,3
238.9,0.2367,NaN,4,1.78,-0.32,-2.58,4
240.0,0.2422,NaN,4,1.34,-0.26,-2.11,4
241.1,0.2434,NaN,4,1.27,-0.23,-2.20,4
242.0,0.2434,NaN,3,2.12,-0.35,-2.43,3
242.9,0.2500,NaN,4,2.06,-0.37,-2.42,4
244.0,0.2609,NaN,4,1.88,-0.60,-2.44,4
245.1,0.2653,NaN,4,2.05,-0.57,-2.68,4
246.5,0.2656,34.6478,1,1.41,-0.45,-2.72,3
247.0,0.2652,34.6467,3,1.56,-0.91,-2.56,4
248.0,0.2652,34.6464,5,1.35,-0.48,-2.39,5
249.0,0.2655,34.6456,4,1.61,-0.51,-2.81,4
250.0,0.2959,34.6554,7,1.61,-0.13,-2.78,7
250.6,0.3299,34.6687,9,0.32,-0.29,4.85,14
