2016,30.87662,-176.4464,82.8958,247
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
6.3,-1.6494,30.1720,9,NaN,NaN,NaN,0
6.7,-1.6494,30.1714,7,1.52,2.53,2.89,16
8.0,-1.6494,30.1726,4,0.89,3.45,3.83,4
9.1,-1.6492,30.1725,4,0.82,2.60,3.30,4
10.0,-1.6491,30.1724,3,0.51,2.91,3.54,4
11.0,-1.6493,30.1726,4,0.70,3.27,3.43,4
12.1,-1.6494,30.1727,4,0.23,3.60,3.36,3
13.0,-1.6494,30.1727,3,-0.15,3.09,3.89,4
14.0,-1.6493,30.1728,4,0.30,1.99,4.32,4
15.0,-1.6491,30.1726,3,0.08,1.23,4.02,3
15.9,-1.6493,30.1729,4,-1.11,1.25,5.18,4
17.0,-1.6492,30.1728,4,-0.40,0.85,4.05,4
18.0,-1.6492,30.1728,3,-0.57,0.19,4.06,3
19.0,-1.6491,30.1728,4,-0.42,-0.02,3.93,4
20.1,-1.6492,30.1729,4,-0.24,0.57,2.97,3
21.0,-1.6491,30.1729,3,0.12,0.49,3.70,4
22.0,-1.6491,30.1728,4,-0.47,0.57,3.89,4
23.0,-1.6490,30.1728,3,-1.66,0.92,4.05,3
23.9,-1.6491,30.1729,4,-1.63,0.36,4.89,4
25.0,-1.6490,30.1728,4,-2.34,0.26,4.68,3
26.0,-1.6489,30.1730,3,-1.96,-0.21,4.06,4
27.0,-1.6489,30.1730,4,-2.09,-0.20,3.80,4
28.1,-1.6486,30.1735,4,-1.67,-0.20,3.99,3
29.0,-1.6487,30.1738,3,-1.92,0.03,4.02,4
30.0,-1.6484,30.1738,4,-2.16,-1.11,3.79,4
31.0,-1.6478,30.1745,3,-2.62,-1.32,3.83,3
31.9,-1.6313,30.2279,4,-2.48,-1.63,3.81,4
33.0,-1.3819,30.8000,4,-2.86,-1.54,3.74,4
34.0,-1.2535,31.0737,3,-3.67,-3.78,3.62,3
34.9,-1.2027,31.2065,4,-1.48,-4.02,3.61,4
36.0,-1.2007,31.3214,4,-1.51,-5.42,3.53,4
37.0,-1.2088,31.3952,3,-1.37,-7.24,3.51,3
37.9,-1.2474,31.4433,4,-1.01,-7.53,3.30,4
39.0,-1.2762,31.4757,4,-0.54,-7.32,3.18,4
40.0,-1.2791,31.5146,3,0.24,-6.44,3.19,3
40.9,-1.2916,31.5478,4,1.07,-5.59,2.93,4
42.0,-1.3244,31.5970,4,2.44,-5.36,2.85,4
43.0,-1.3332,31.6292,3,3.00,-3.98,3.15,3
43.9,-1.3496,31.6619,4,3.45,-3.29,2.89,4
45.0,-1.3989,31.6942,4,3.09,-3.09,2.89,4
46.1,-1.4080,31.7181,4,2.21,-2.94,2.97,3
47.0,-1.4049,31.7415,3,2.37,-3.24,2.99,4
48.0,-1.4150,31.7666,4,2.73,-3.23,3.26,4
49.1,-1.4126,31.8023,4,3.57,-2.61,2.84,3
50.0,-1.3782,31.8321,3,4.25,-1.56,2.91,4
51.0,-1.3774,31.8575,4,4.72,-0.76,3.05,4
52.1,-1.3742,31.8821,4,5.15,-0.52,3.14,3
53.0,-1.3739,31.9041,3,4.60,-0.54,2.96,4
54.0,-1.3732,31.9231,4,4.59,0.12,2.67,4
55.1,-1.4029,31.9447,4,4.60,0.62,3.09,3
56.0,-1.4374,31.9622,3,4.83,1.22,2.89,4
57.0,-1.4156,31.9857,4,4.46,1.77,2.89,4
58.1,-1.4034,32.0102,4,3.77,1.92,2.83,3
59.0,-1.4051,32.0275,3,3.63,1.83,2.92,4
60.0,-1.4074,32.0432,4,4.26,1.44,3.01,4
61.1,-1.4037,32.0601,4,3.83,1.35,3.10,3
62.0,-1.4101,32.0773,3,3.73,1.13,2.90,4
63.0,-1.4204,32.0939,4,3.07,0.82,2.97,4
64.0,-1.4150,32.1125,4,2.91,-0.08,3.12,3
65.0,-1.4139,32.1259,3,3.19,-1.07,3.08,4
65.9,-1.4112,32.1392,4,3.61,-0.34,2.81,4
67.0,-1.4104,32.1546,4,4.24,-0.18,2.87,3
68.0,-1.4103,32.1696,3,4.64,0.16,3.01,4
68.9,-1.4147,32.1871,4,4.16,0.88,2.93,4
70.0,-1.4191,32.2021,4,3.94,0.24,3.03,4
71.1,-1.4282,32.2169,4,3.54,-0.49,3.20,3
72.0,-1.4351,32.2289,3,2.99,-0.82,3.28,4
73.0,-1.4425,32.2405,4,2.67,-0.68,2.93,4
74.1,-1.4499,32.2546,4,2.66,-0.97,2.85,3
75.0,-1.4574,32.2697,3,3.04,-0.47,3.14,4
