2015,264.00142,169.4420,80.6782,229
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.3,-1.5128,27.9235,5,NaN,NaN,NaN,4
8.0,-1.5130,27.9239,5,8.00,6.42,-4.80,5
9.0,-1.5129,27.9244,6,6.54,7.75,-3.78,6
10.0,-1.5129,27.9246,6,6.82,6.58,-3.12,6
11.0,-1.5127,27.9250,5,5.77,6.81,-1.93,5
12.0,-1.5124,27.9262,5,4.98,5.67,0.13,5
13.0,-1.5119,27.9292,5,4.56,6.95,-0.16,5
14.0,-1.5118,27.9305,6,3.32,6.34,-1.07,6
15.0,-1.5122,27.9291,6,3.83,6.41,-0.59,6
16.0,-1.5123,27.9301,5,4.50,5.80,-1.86,5
17.0,-1.5121,27.9314,6,4.72,6.52,-3.30,6
18.0,-1.5116,27.9348,6,3.57,6.86,-0.90,6
19.0,-1.5103,27.9375,7,2.27,7.24,-2.83,7
20.0,-1.3744,28.5659,11,-1.70,6.58,-0.93,11
21.0,-1.0022,29.9632,13,-11.45,1.02,-0.87,13
22.0,-0.9660,30.3514,13,-12.87,-2.85,0.10,13
23.0,-1.0341,30.4675,13,-12.37,-2.58,0.02,13
24.0,-1.0301,30.5669,12,-12.71,-2.73,-0.91,12
25.0,-1.0854,30.6663,13,-13.03,-3.32,-0.93,13
26.0,-1.1106,30.7812,13,-11.81,-3.27,-0.67,13
27.0,-1.1349,30.8568,10,-10.96,-2.04,-0.69,10
28.0,-1.1989,30.9167,9,-9.94,0.23,-0.77,9
29.0,-1.2383,30.9960,9,-10.03,0.72,-0.90,9
30.0,-1.2593,31.0427,7,-8.62,0.60,-0.48,7
31.0,-1.2722,31.0911,7,-7.59,0.05,-0.99,7
32.0,-1.2895,31.1487,6,-6.50,-1.25,-0.59,6
33.1,-1.2700,31.2108,6,-5.55,-1.21,-1.84,5
34.1,-1.2891,31.2662,6,-5.80,0.04,-0.65,7
35.0,-1.3179,31.3005,5,-6.22,0.74,-1.04,5
36.0,-1.3359,31.3354,6,-6.11,1.83,-1.47,6
37.0,-1.3631,31.3741,5,-6.39,2.86,-0.37,5
38.0,-1.3209,31.4120,6,-7.52,3.00,-1.08,6
39.0,-1.3250,31.4511,5,-7.67,2.36,-1.48,5
40.0,-1.3817,31.4837,6,-7.94,3.12,-0.45,6
41.0,-1.4017,31.5131,6,-8.79,3.65,-1.26,6
42.1,-1.3879,31.5435,6,-8.33,4.64,-0.72,5
43.0,-1.3618,31.5716,5,-8.30,4.76,-0.38,6
44.0,-1.3673,31.6098,6,-7.72,3.82,-0.80,6
