2016,33.37661,-176.7602,82.9780,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
6.4,-1.6495,30.1267,7,NaN,NaN,NaN,0
6.8,-1.6495,30.1261,6,-0.90,0.98,0.34,12
8.0,-1.6493,30.1272,4,1.15,0.76,3.47,5
9.1,-1.6494,30.1273,4,1.63,0.65,2.92,4
10.0,-1.6494,30.1271,3,1.31,-0.71,2.46,3
11.0,-1.6494,30.1270,4,0.57,-1.44,3.61,4
12.0,-1.6493,30.1269,3,0.08,-2.39,2.64,4
12.9,-1.6493,30.1268,4,-0.90,-1.84,2.90,3
14.1,-1.6492,30.1268,4,-0.22,-2.94,2.06,4
15.0,-1.6493,30.1270,3,0.34,-2.30,3.12,3
16.0,-1.6493,30.1270,4,0.72,-1.97,3.44,4
17.0,-1.6492,30.1268,3,0.63,-2.48,3.71,4
18.0,-1.6492,30.1266,4,0.42,-2.45,4.27,3
19.0,-1.6492,30.1266,3,0.05,-2.40,4.07,4
19.9,-1.6491,30.1264,4,0.24,-2.66,3.92,3
21.0,-1.6492,30.1266,4,-0.26,-2.88,4.25,4
22.0,-1.6491,30.1264,3,-0.19,-2.64,4.15,3
23.0,-1.6490,30.1264,4,-0.24,-2.78,3.86,4
24.0,-1.6492,30.1265,3,-0.47,-3.17,3.45,4
25.0,-1.6491,30.1264,4,-0.75,-3.11,2.49,3
26.1,-1.6492,30.1264,4,-0.77,-2.76,3.78,4
27.1,-1.6492,30.1266,3,-0.31,-3.13,3.19,3
28.0,-1.6489,30.1265,4,-0.66,-2.19,3.29,4
29.0,-1.6490,30.1266,3,-0.45,-2.43,3.47,4
30.0,-1.6490,30.1265,4,-0.39,-2.37,4.01,3
31.0,-1.6489,30.1265,3,-0.39,-2.55,4.00,4
31.9,-1.6490,30.1266,4,-0.16,-3.06,3.76,3
33.1,-1.6426,30.1616,4,-0.62,-2.58,3.45,4
34.0,-1.5416,30.4809,3,-0.32,-2.46,3.55,3
35.0,-1.4088,30.9125,4,2.42,-2.75,3.22,4
36.0,-1.3507,31.1552,3,2.75,-3.46,3.31,4
36.9,-1.3461,31.2535,4,2.29,-4.84,3.43,3
38.0,-1.3435,31.3286,4,2.94,-5.27,3.24,4
39.0,-1.3253,31.3843,3,3.81,-5.05,2.89,3
40.0,-1.3184,31.4132,4,3.53,-4.16,3.04,4
