2016,49.00163,-174.8964,83.2811,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.5,-1.6383,29.9202,2,-3.51,-5.40,-0.88,4
8.0,-1.6382,29.9200,6,-1.64,-6.30,-3.48,5
9.0,-1.6381,29.9197,4,-0.58,-5.89,-4.67,4
10.0,-1.6382,29.9200,4,-0.08,-5.97,-4.48,4
11.0,-1.6386,29.9208,4,0.03,-6.42,-3.66,4
12.0,-1.6383,29.9199,4,-0.47,-6.15,-4.40,4
12.9,-1.6380,29.9196,4,-0.08,-6.13,-3.50,4
14.0,-1.6379,29.9194,5,-0.49,-4.08,-0.82,5
15.1,-1.6379,29.9193,4,-1.61,-3.18,-0.18,4
16.0,-1.6379,29.9196,4,-1.83,-3.72,-0.71,4
17.0,-1.6379,29.9197,4,-2.80,-4.31,-0.18,4
18.0,-1.6378,29.9197,5,-5.17,-3.42,0.93,5
19.0,-1.6378,29.9198,4,-5.98,-4.06,-0.75,4
20.0,-1.6379,29.9203,4,-5.96,-4.14,-1.60,4
20.9,-1.6378,29.9203,4,-3.28,-5.47,-3.50,4
21.9,-1.6380,29.9207,4,-2.51,-4.79,-3.20,4
23.0,-1.6378,29.9215,5,-2.12,-4.95,-2.75,5
24.1,-1.6380,29.9226,4,-3.40,-4.68,-2.68,4
25.0,-1.6377,29.9251,4,-3.71,-2.20,0.14,4
26.0,-1.6377,29.9271,4,-2.85,-1.08,0.38,4
27.0,-1.6375,29.9292,5,-2.30,-0.54,0.58,5
28.1,-1.6373,29.9331,4,-1.70,0.33,0.04,4
29.0,-1.6372,29.9339,4,-1.39,0.14,-0.42,4
30.0,-1.6373,29.9363,4,-2.10,0.83,0.01,4
31.0,-1.6380,29.9455,5,-1.98,0.58,-0.90,4
32.1,-1.6387,29.9512,4,-2.87,-0.14,0.52,5
33.0,-1.6387,29.9543,4,-3.37,-0.79,-0.26,4
33.9,-1.6384,29.9562,4,-3.95,-0.96,-0.83,4
34.9,-1.6375,29.9589,4,-4.56,-1.29,-0.83,4
36.0,-1.6374,29.9599,5,-4.41,-1.60,-1.05,5
37.1,-1.6341,29.9689,4,-4.40,-1.88,-1.66,4
38.1,-1.5891,30.1062,4,-3.90,-1.56,-0.37,4
39.0,-1.4922,30.4709,4,-4.03,-2.89,-1.74,4
40.0,-1.4141,30.7258,4,-1.54,-6.56,-2.43,4
41.1,-1.3950,30.8276,4,1.61,-8.77,-3.00,4
42.1,-1.3742,30.9239,4,3.32,-8.88,-2.83,4
43.0,-1.3641,31.0120,3,2.54,-8.07,-2.69,3
43.9,-1.3653,31.0481,4,2.45,-7.38,-2.68,4
44.9,-1.3726,31.0981,4,2.00,-5.85,-2.36,4
45.9,-1.3858,31.1550,4,1.10,-6.22,-2.81,4
46.9,-1.3842,31.2166,4,1.62,-7.12,-2.23,4
47.9,-1.3869,31.2617,4,2.45,-7.04,-2.03,4
48.9,-1.3922,31.3169,4,0.90,-7.32,-2.71,4
50.0,-1.3989,31.3877,4,0.53,-7.51,-2.33,4
51.0,-1.4123,31.4253,4,1.19,-7.47,-2.27,4
52.0,-1.4224,31.4483,4,1.71,-7.73,-2.47,4
53.1,-1.4108,31.4850,4,0.61,-8.02,-2.49,4
54.1,-1.4109,31.5415,4,1.07,-7.02,-1.58,4
55.1,-1.4074,31.5851,4,1.19,-6.37,-1.84,4
56.0,-1.4387,31.6235,3,1.39,-6.60,-1.89,3
56.9,-1.4403,31.6597,4,1.81,-7.31,-2.12,4
57.9,-1.4641,31.6915,4,1.14,-8.33,-2.18,4
59.0,-1.4536,31.7226,4,1.05,-9.24,-2.21,4
60.0,-1.4598,31.7454,4,1.18,-9.74,-2.36,4
61.0,-1.4699,31.7694,4,0.79,-9.31,-2.11,4
62.0,-1.4689,31.7984,4,0.20,-10.20,-1.89,4
63.1,-1.4754,31.8227,4,-0.72,-9.80,-1.68,4
64.1,-1.4827,31.8519,4,-1.74,-9.03,-1.66,4
65.0,-1.4843,31.8773,3,-1.41,-8.73,-1.73,3
65.9,-1.4714,31.9040,4,-0.08,-9.39,-2.03,4
67.0,-1.4674,31.9378,4,0.30,-10.23,-1.92,4
68.0,-1.4735,31.9609,4,0.20,-10.65,-2.33,4
69.0,-1.4682,31.9804,4,0.17,-10.55,-2.45,4
70.1,-1.4862,32.0055,4,-0.06,-11.20,-2.31,4
71.1,-1.5075,32.0267,4,-1.44,-10.58,-1.90,4
72.0,-1.5137,32.0441,3,-2.02,-10.93,-2.00,3
