2016,40.75163,-175.8402,83.2543,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.0,-1.6365,29.8945,5,NaN,NaN,NaN,5
8.0,-1.6366,29.8947,5,-0.77,2.56,-3.60,4
9.1,-1.6365,29.8947,4,-0.89,2.81,-2.31,4
10.1,-1.6364,29.8945,4,-0.77,2.85,-2.34,4
11.0,-1.6365,29.8947,3,-0.34,3.43,-2.83,3
12.0,-1.6366,29.8952,5,-0.41,3.60,-3.53,5
13.1,-1.6365,29.8951,4,-0.78,3.66,-2.52,4
14.0,-1.6365,29.8952,4,-0.63,3.41,-2.99,4
15.0,-1.6365,29.8951,5,-0.83,2.99,-2.57,5
16.1,-1.6364,29.8950,4,-0.41,3.00,-3.08,4
17.0,-1.6365,29.8955,4,-1.20,2.56,-2.95,4
18.0,-1.6365,29.8958,4,-1.36,1.34,-3.00,4
19.1,-1.6364,29.8960,4,-1.20,0.90,-3.00,4
20.1,-1.6363,29.8963,4,-1.06,1.36,-3.36,4
21.1,-1.6365,29.8966,4,-0.76,2.00,-4.16,4
22.1,-1.6364,29.8969,4,-0.75,1.42,-4.32,4
23.1,-1.6366,29.8975,4,-0.64,1.48,-2.97,4
24.1,-1.6364,29.8977,4,-0.89,1.53,-3.00,4
25.0,-1.6365,29.8982,4,-0.74,0.44,-3.10,4
26.0,-1.6356,29.8989,4,-1.37,0.51,-2.93,4
27.0,-1.6339,29.9047,4,-1.43,0.21,-2.42,4
28.1,-1.6288,29.9254,4,-2.06,0.11,-2.14,4
29.1,-1.6009,30.0099,4,-1.37,0.60,-2.56,4
30.1,-1.5979,30.0325,4,-1.55,0.82,-2.30,4
31.1,-1.5876,30.0689,4,-2.34,0.24,-1.78,4
32.0,-1.5734,30.1234,4,-2.72,-0.38,-1.72,4
33.0,-1.5629,30.1662,4,-2.68,-0.40,-2.16,4
34.0,-1.5391,30.2683,4,-1.53,-0.18,-1.96,4
35.0,-1.5085,30.3865,4,1.34,0.25,-1.98,4
36.0,-1.4369,30.7348,4,-0.18,-1.76,-2.70,4
37.0,-1.3891,30.9472,4,2.11,-2.75,-2.65,4
38.0,-1.3775,31.0089,4,4.41,-0.94,-1.91,4
39.0,-1.3618,31.1046,4,4.10,0.74,-1.55,4
40.0,-1.3646,31.1642,4,1.75,-0.69,-1.53,4
41.1,-1.3853,31.2010,4,1.38,-0.90,-1.74,4
42.1,-1.4046,31.2412,4,1.24,-0.22,-1.70,4
43.0,-1.3722,31.2879,3,1.01,-0.19,-1.57,3
43.9,-1.4002,31.3306,4,-0.08,-0.22,-1.63,4
44.9,-1.4129,31.3739,4,-0.64,-0.37,-1.57,4
45.9,-1.4119,31.4118,4,-1.01,0.81,-1.30,4
46.9,-1.3726,31.4595,4,-1.81,0.87,-0.74,4
47.9,-1.4048,31.5074,4,-2.69,1.01,-1.31,4
48.9,-1.4524,31.5386,4,-3.20,1.76,-1.35,4
50.0,-1.4521,31.5615,4,-3.39,2.02,-1.60,4
51.0,-1.4165,31.5924,4,-3.46,1.84,-1.29,4
52.0,-1.3830,31.6258,4,-3.53,1.04,-1.76,4
53.0,-1.3775,31.6578,4,-2.42,0.82,-0.94,4
54.0,-1.3824,31.6773,4,-1.76,0.49,-1.43,4
55.0,-1.3833,31.6987,4,-1.45,0.21,-1.52,4
56.1,-1.3706,31.7319,4,-1.83,-0.36,-1.60,4
57.1,-1.3857,31.7633,4,-2.67,-0.47,-1.42,4
58.0,-1.4153,31.7951,3,-3.40,-1.43,-1.22,3
58.9,-1.4225,31.8188,4,-3.26,-1.52,-1.34,4
59.9,-1.4205,31.8502,4,-3.29,-2.34,-1.04,4
61.0,-1.4183,31.8782,4,-2.50,-2.28,-1.10,4
62.0,-1.4307,31.9053,4,-1.72,-1.81,-1.53,4
63.0,-1.4238,31.9279,4,-1.25,-1.60,-1.36,4
64.1,-1.4592,31.9563,4,-1.44,-0.97,-1.77,4
65.1,-1.4649,31.9855,4,-1.62,-1.30,-1.81,4
66.1,-1.4830,32.0095,4,-2.17,-1.29,-1.94,4
67.0,-1.4789,32.0298,3,-2.72,-0.92,-1.74,3
67.9,-1.5017,32.0462,4,-3.14,-0.83,-1.94,4
68.9,-1.4925,32.0680,4,-3.26,-0.95,-1.86,4
70.0,-1.4880,32.0919,4,-3.05,-0.94,-1.94,4
71.0,-1.4968,32.1131,4,-2.79,-0.75,-2.21,4
72.0,-1.5066,32.1293,4,-3.03,-0.61,-2.01,4
73.1,-1.5084,32.1499,4,-3.62,-0.52,-1.90,4
74.1,-1.5111,32.1673,4,-3.97,-0.39,-2.11,4
75.1,-1.5373,32.1836,4,-3.97,-0.20,-2.55,4
76.0,-1.5433,32.1973,3,-3.62,0.06,-2.34,3
76.9,-1.5354,32.2129,4,-3.40,0.20,-2.06,4
78.0,-1.5472,32.2307,4,-3.05,0.31,-2.26,4
79.0,-1.5357,32.2499,4,-3.17,0.18,-2.04,4
80.0,-1.5247,32.2661,4,-3.12,0.25,-2.22,4
81.0,-1.5281,32.2840,4,-3.19,0.51,-2.02,4
82.1,-1.5272,32.3007,4,-3.19,0.80,-2.33,4
83.1,-1.5170,32.3166,4,-3.22,0.80,-2.23,4
84.0,-1.5150,32.3283,3,-4.44,0.97,-2.40,3
84.9,-1.5180,32.3405,4,-4.82,1.00,-2.53,4
85.9,-1.5366,32.3581,4,-4.93,1.44,-1.99,4
87.0,-1.5504,32.3734,4,-4.70,1.50,-2.50,4
88.0,-1.5246,32.3907,4,-4.43,1.59,-2.51,4
89.0,-1.5098,32.4042,4,-3.82,1.27,-2.50,4
90.1,-1.5119,32.4149,4,-3.67,1.40,-2.41,4
91.0,-1.5213,32.4222,3,-3.62,1.42,-2.22,3
91.9,-1.5252,32.4301,4,-3.70,1.46,-2.45,4
92.9,-1.5194,32.4395,4,-4.25,1.42,-2.30,4
94.0,-1.5064,32.4509,4,-4.54,1.29,-2.24,4
95.0,-1.5000,32.4623,4,-4.87,1.07,-2.29,4
96.1,-1.4986,32.4762,4,-5.13,0.85,-2.03,4
97.1,-1.5107,32.4864,4,-5.27,0.80,-1.81,4
98.0,-1.5325,32.4954,3,-5.49,0.86,-1.88,3
98.9,-1.5375,32.5080,4,-5.97,0.51,-1.86,4
100.0,-1.5341,32.5228,4,-5.86,0.65,-1.96,4
101.0,-1.5336,32.5378,4,-5.53,0.23,-1.45,4
102.0,-1.5344,32.5568,4,-4.92,-0.06,-2.08,4
103.1,-1.5466,32.5809,4,-4.40,-0.45,-1.74,4
104.1,-1.5344,32.6018,4,-3.97,-0.49,-1.59,4
