2015,287.37646,168.9755,81.1850,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.2,-1.5437,28.4032,9,-6.86,8.83,10.68,11
8.0,-1.5436,28.4031,5,-9.29,6.32,5.04,5
9.0,-1.5435,28.4033,4,-9.22,5.97,3.80,4
9.9,-1.5435,28.4040,4,-8.30,4.95,3.15,4
10.9,-1.5431,28.4046,4,-6.94,2.84,5.12,4
11.9,-1.5430,28.4047,4,-6.85,6.73,5.96,4
12.9,-1.5431,28.4045,4,-5.53,7.68,2.53,4
14.0,-1.5432,28.4043,4,-5.77,6.64,2.04,4
15.1,-1.5434,28.4044,4,-4.38,6.17,3.04,4
16.0,-1.5429,28.4051,3,-4.68,5.09,2.70,3
16.9,-1.5425,28.4061,4,-4.92,4.42,2.99,4
18.0,-1.5415,28.4087,4,-3.73,4.30,3.55,4
19.0,-1.5417,28.4084,4,-3.85,4.95,1.75,4
20.1,-1.5413,28.4097,4,-3.02,3.56,2.51,4
21.0,-1.5375,28.4212,3,-0.63,2.45,2.50,3
21.9,-1.5351,28.4324,4,0.69,-1.77,2.96,4
23.0,-1.3583,29.0723,4,-0.45,-5.98,3.98,4
24.0,-1.0323,30.1733,4,-0.07,-2.81,2.88,4
25.1,-0.9768,30.3664,4,-0.64,-2.60,2.66,4
26.1,-1.0172,30.5081,4,-1.95,-3.71,2.77,4
27.0,-1.0387,30.5575,3,-3.19,-4.16,2.54,3
27.9,-1.0668,30.5998,4,-3.26,-3.67,2.54,4
28.9,-1.0953,30.6482,4,-4.32,-3.15,2.41,4
30.0,-1.1251,30.7256,4,-4.63,-2.95,2.30,4
31.0,-1.1489,30.7982,4,-4.48,-3.86,2.36,4
32.1,-1.1628,30.8495,4,-6.47,-3.67,2.07,4
33.1,-1.1685,30.8839,4,-4.87,-3.13,2.14,4
34.0,-1.1789,30.9307,3,-5.51,-3.78,2.21,3
34.9,-1.1915,30.9701,4,-3.85,-2.72,2.52,4
