2015,335.50153,174.8060,82.5629,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
7.1,-1.6135,29.4908,6,NaN,NaN,-8.33,5
8.1,-1.6134,29.4908,4,-1.75,4.24,-4.80,4
9.1,-1.6133,29.4907,4,-1.32,4.60,-4.32,4
10.0,-1.6133,29.4908,3,-1.15,4.47,-3.76,3
10.9,-1.6131,29.4905,4,-1.51,5.51,-3.54,4
11.9,-1.6132,29.4905,4,-1.07,5.84,-3.02,4
12.9,-1.6131,29.4904,4,-1.10,5.94,-2.92,4
14.0,-1.6132,29.4903,4,-1.13,6.01,-2.95,4
15.0,-1.6132,29.4906,4,-1.11,5.89,-2.79,4
16.1,-1.6129,29.4906,4,-1.37,5.77,-2.48,4
17.1,-1.6129,29.4907,4,-1.60,5.66,-2.66,4
18.0,-1.6129,29.4909,3,-1.76,5.70,-2.84,3
18.9,-1.6129,29.4911,4,-2.13,5.44,-2.85,4
19.9,-1.6131,29.4915,4,-2.03,5.32,-2.87,4
21.0,-1.6128,29.4915,4,-2.18,5.26,-2.97,4
22.0,-1.6128,29.4919,4,-2.24,5.10,-2.70,4
23.0,-1.6128,29.4923,4,-2.47,5.16,-2.90,4
24.1,-1.6131,29.4930,4,-2.48,5.12,-3.04,4
25.1,-1.6130,29.4937,4,-2.47,5.10,-3.11,4
26.0,-1.6129,29.4943,3,-2.34,5.07,-3.05,3
26.9,-1.6126,29.4950,4,-2.13,5.07,-3.02,4
27.9,-1.6123,29.4965,4,-2.29,5.08,-3.06,4
29.0,-1.6113,29.4979,4,-1.87,4.97,-3.09,4
30.0,-1.6112,29.4981,4,-1.36,5.16,-2.96,4
31.1,-1.6110,29.4976,4,-1.36,4.91,-2.97,4
32.1,-1.6108,29.4960,4,-1.16,5.04,-2.93,4
33.0,-1.6099,29.4996,3,-1.19,4.88,-3.05,3
33.9,-1.5077,29.8477,4,-1.70,4.99,-2.86,4
34.9,-1.2803,30.5415,4,-1.68,6.18,-2.83,4
36.0,-1.1688,30.7270,4,-0.19,6.50,-2.92,4
37.0,-1.1989,30.7950,4,-0.44,7.10,-2.86,4
38.0,-1.2789,30.8418,4,-0.41,8.19,-2.42,4
39.1,-1.2813,30.9079,4,-0.51,9.39,-2.28,4
40.1,-1.2747,30.9874,4,-0.93,10.00,-2.36,4
41.0,-1.3159,31.0333,3,-1.18,9.74,-2.09,3
41.9,-1.3150,31.0762,4,-1.26,9.15,-2.14,4
43.0,-1.3457,31.1329,4,-1.21,9.10,-2.22,4
44.0,-1.3502,31.1796,4,-2.04,8.99,-2.15,4
45.0,-1.3876,31.2301,4,-3.11,9.64,-1.89,4
46.1,-1.3829,31.2775,4,-3.55,10.36,-1.70,4
47.1,-1.3785,31.3200,4,-3.54,10.82,-1.81,4
48.0,-1.2609,31.3597,3,-2.92,11.23,-1.54,3
48.9,-1.3515,31.3951,4,-2.18,11.31,-1.46,4
50.0,-1.3528,31.4328,4,-1.79,11.01,-1.56,4
51.0,-1.3490,31.4637,4,-1.40,11.12,-1.53,4
52.0,-1.4457,31.4929,4,-1.78,11.20,-1.38,4
53.1,-1.4477,31.5296,4,-2.44,11.34,-1.43,4
54.0,-1.3818,31.5597,3,-2.26,11.39,-1.50,3
54.9,-1.4364,31.5841,4,-2.29,10.91,-1.43,4
55.9,-1.4101,31.6246,4,-2.10,10.51,-1.41,4
57.0,-1.3507,31.6658,4,-2.13,10.65,-1.63,4
58.0,-1.2968,31.7059,4,-2.54,10.51,-1.59,4
59.1,-1.3634,31.7344,4,-2.47,10.15,-1.58,4
60.1,-1.4161,31.7642,4,-1.66,9.67,-1.82,4
61.0,-1.4323,31.7865,3,-1.31,9.16,-2.07,3
61.9,-1.4422,31.8085,4,-1.17,9.02,-2.03,4
63.0,-1.4715,31.8336,4,-1.77,8.83,-2.22,4
64.0,-1.4776,31.8722,4,-1.52,8.33,-2.41,4
65.1,-1.4698,31.9123,4,-1.67,7.47,-2.67,4
66.0,-1.4962,31.9401,3,-1.37,7.35,-2.64,3
66.9,-1.5006,31.9630,4,-1.33,7.82,-2.58,4
68.0,-1.4857,31.9885,4,-1.03,8.48,-2.71,4
69.0,-1.4714,32.0166,4,-0.81,8.08,-2.95,4
70.1,-1.4877,32.0370,4,-0.74,7.69,-3.10,4
71.0,-1.4780,32.0579,3,-0.32,6.64,-3.05,3
71.9,-1.4885,32.0773,4,-0.59,6.48,-3.33,4
73.0,-1.5241,32.0936,4,-0.65,6.27,-3.54,4
74.0,-1.5409,32.1106,4,-0.80,6.54,-3.37,4
75.1,-1.5400,32.1299,4,-0.85,6.68,-3.43,4
76.0,-1.5273,32.1474,3,-0.44,6.81,-3.27,3
76.9,-1.5343,32.1639,4,-0.48,6.59,-3.46,4
78.0,-1.5238,32.1813,4,-0.37,6.39,-3.66,4
79.0,-1.5242,32.1983,4,-0.59,6.24,-3.67,4
80.1,-1.5272,32.2142,4,-0.63,5.87,-3.55,4
81.0,-1.5200,32.2300,3,-0.55,5.61,-3.44,3
81.9,-1.5167,32.2439,4,-0.72,5.54,-3.74,4
83.0,-1.5282,32.2599,4,-1.08,5.68,-3.68,4
84.0,-1.5289,32.2777,4,-0.99,6.01,-3.43,4
85.1,-1.5192,32.2932,4,-1.08,6.05,-3.36,4
86.0,-1.5183,32.3055,3,-1.03,6.41,-3.33,3
86.9,-1.5270,32.3172,4,-1.20,7.06,-3.25,4
87.9,-1.5535,32.3308,4,-0.95,7.47,-3.13,4
89.0,-1.5420,32.3445,4,-0.90,7.58,-2.86,4
90.1,-1.5741,32.3558,4,-1.62,7.81,-2.98,4
91.0,-1.5764,32.3684,3,-1.85,7.57,-3.04,3
91.9,-1.5699,32.3811,4,-2.34,7.53,-2.91,4
93.0,-1.5371,32.3966,4,-2.19,7.10,-3.06,4
94.0,-1.5251,32.4109,4,-2.44,6.75,-3.24,4
95.1,-1.5506,32.4208,4,-2.48,6.23,-3.12,4
96.0,-1.5688,32.4316,3,-2.76,6.13,-2.96,3
96.9,-1.5611,32.4430,4,-2.87,5.87,-2.97,4
98.0,-1.5540,32.4569,4,-2.85,6.00,-2.93,4
99.0,-1.5803,32.4735,4,-2.72,5.78,-2.91,4
100.1,-1.5672,32.4915,4,-2.07,6.22,-3.15,4
101.0,-1.5412,32.5066,3,-1.36,6.35,-3.00,3
102.0,-1.5397,32.5247,4,-0.94,6.08,-2.88,4
103.0,-1.5448,32.5484,4,-0.93,6.31,-2.70,4
104.1,-1.5449,32.5744,4,-0.75,6.15,-2.83,4
105.0,-1.5400,32.5940,3,-1.11,6.16,-2.72,3
105.9,-1.4994,32.6181,4,-1.36,6.37,-2.67,4
107.0,-1.4463,32.6607,4,-1.50,6.35,-2.97,4
