2015,363.37657,177.8156,82.9643,177
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
74.9,-1.5247,32.2386,17,-7.26,-4.95,0.19,21
76.0,-1.5290,32.2473,4,-8.73,-7.87,4.39,4
76.9,-1.5279,32.2562,4,-8.00,-7.50,3.65,5
77.9,-1.5274,32.2654,4,-7.23,-6.25,3.66,3
78.9,-1.5250,32.2761,4,-6.09,-6.26,3.71,4
80.0,-1.5221,32.2890,4,-4.18,-7.05,3.74,4
81.0,-1.5212,32.3005,4,-1.83,-6.21,4.02,4
82.0,-1.5231,32.3088,3,-0.30,-8.01,3.55,3
82.9,-1.5295,32.3241,4,-0.26,-7.18,3.72,4
84.0,-1.5338,32.3509,4,-1.26,-7.33,3.43,4
85.1,-1.5276,32.3727,4,-2.95,-8.00,3.33,4
86.0,-1.5267,32.3821,3,-5.89,-7.69,3.70,3
87.0,-1.5267,32.4017,4,-6.91,-8.38,3.40,4
88.1,-1.5241,32.4245,4,-7.69,-8.13,3.40,4
89.0,-1.5170,32.4339,3,-8.44,-7.97,3.66,3
89.9,-1.5181,32.4380,4,-9.08,-7.79,3.63,4
91.0,-1.5208,32.4474,4,-8.84,-8.45,3.12,4
92.0,-1.5252,32.4687,3,-7.91,-8.38,2.98,3
92.9,-1.5350,32.4885,4,-7.73,-7.86,3.29,4
94.0,-1.5395,32.5084,4,-8.15,-8.80,3.26,4
95.0,-1.5360,32.5296,3,-7.44,-8.94,2.67,3
95.9,-1.5351,32.5479,4,-7.39,-8.81,3.20,4
97.0,-1.5370,32.5652,4,-6.74,-9.41,2.72,4
98.1,-1.5436,32.5786,4,-6.14,-8.94,2.82,4
99.0,-1.5509,32.5894,3,-5.22,-9.78,2.64,3
100.0,-1.5531,32.5993,4,-4.61,-8.83,3.02,4
101.1,-1.5515,32.6085,4,-4.03,-10.13,2.39,4
102.0,-1.5505,32.6152,3,-5.80,-9.05,2.75,3
103.0,-1.5517,32.6214,4,-6.10,-10.35,2.63,4
104.0,-1.5545,32.6306,4,-6.20,-10.39,2.64,4
105.0,-1.5565,32.6422,3,-5.91,-9.48,2.93,3
105.9,-1.5567,32.6525,4,-5.22,-8.53,2.53,4
107.0,-1.5536,32.6688,4,-3.43,-8.46,2.49,4
108.0,-1.5517,32.6855,3,-2.49,-8.91,2.34,3
108.9,-1.5491,32.7063,4,-2.26,-9.06,2.38,4
110.0,-1.5181,32.7612,4,-2.15,-9.45,2.01,4
111.1,-1.4854,32.8238,4,-0.78,-8.67,1.92,4
112.0,-1.4746,32.8465,3,-1.37,-8.49,2.13,3
113.0,-1.4708,32.8554,4,-1.78,-7.72,2.27,4
114.1,-1.4612,32.8692,4,-1.93,-6.16,2.01,4
115.0,-1.4499,32.8904,3,-1.43,-5.16,1.88,3
115.9,-1.4318,32.9163,4,1.00,-3.79,2.34,4
117.0,-1.3944,32.9693,4,1.50,-4.49,2.12,4
118.1,-1.3647,33.0148,4,1.20,-5.44,2.32,4
119.0,-1.3433,33.0656,3,0.11,-6.99,2.10,3
120.0,-1.3357,33.0952,4,-1.17,-6.04,2.19,4
121.1,-1.3279,33.1164,4,-3.49,-5.21,2.51,4
122.0,-1.3184,33.1391,3,-5.49,-5.55,2.31,3
122.9,-1.3104,33.1638,4,-7.39,-4.27,2.31,4
124.0,-1.3018,33.2008,4,-8.32,-3.60,2.38,4
125.1,-1.2989,33.2471,4,-8.61,-3.77,2.30,4
126.0,-1.3033,33.2792,3,-8.78,-4.64,2.54,3
127.0,-1.3143,33.3264,4,-7.95,-3.40,2.79,4
128.0,-1.3143,33.3559,4,-6.96,-3.71,2.89,4
129.1,-1.3020,33.3880,4,-5.93,-2.54,3.42,4
130.0,-1.2817,33.4148,3,-5.16,-1.62,3.80,3
131.0,-1.2568,33.4375,4,-3.24,-2.23,3.86,4
132.0,-1.2271,33.4669,4,-0.99,-3.30,4.07,4
133.0,-1.2007,33.5165,3,1.73,-4.27,4.41,3
133.9,-1.1907,33.5633,4,2.66,-5.75,4.60,4
