2016,3.75156,178.6123,82.6663,245
%pressure(dbar),temperature(C),salinity,nobs,east(cm/s),north(cm/s),vert(cm/s),nacm
102.0,-1.5323,32.5594,3,3.18,-2.41,-2.96,3
102.9,-1.5378,32.5748,4,2.96,-3.33,-2.82,4
104.0,-1.5420,32.5852,4,2.55,-4.30,-2.50,4
105.0,-1.5447,32.5927,4,2.04,-4.07,-2.39,4
106.1,-1.5481,32.6012,4,1.68,-4.56,-2.64,4
107.1,-1.5488,32.6067,4,1.91,-4.14,-2.72,4
108.0,-1.5438,32.6123,3,1.57,-4.02,-2.66,3
108.9,-1.5462,32.6212,4,1.70,-3.76,-2.60,4
110.0,-1.5477,32.6306,4,2.38,-3.21,-2.67,4
111.0,-1.5483,32.6381,4,2.21,-2.57,-2.88,4
112.1,-1.5498,32.6525,4,2.35,-2.10,-2.96,4
113.0,-1.5450,32.6697,3,2.34,-1.49,-2.99,3
113.9,-1.5437,32.6809,4,2.16,-1.74,-3.06,4
115.0,-1.5419,32.6995,4,1.50,-2.36,-2.98,4
116.0,-1.5404,32.7088,4,1.00,-2.12,-3.09,4
117.1,-1.5397,32.7146,4,0.62,-1.56,-3.46,4
118.0,-1.5373,32.7225,3,1.10,-0.27,-3.54,3
118.9,-1.5328,32.7388,4,1.58,0.58,-3.52,4
120.0,-1.5301,32.7542,4,1.65,1.28,-3.96,4
121.0,-1.5292,32.7689,4,1.70,1.62,-3.98,4
122.1,-1.5236,32.7906,4,1.71,1.09,-3.74,4
123.0,-1.5174,32.8144,3,1.61,1.01,-3.69,3
123.9,-1.5102,32.8368,4,1.30,1.09,-3.97,4
125.0,-1.4964,32.8687,4,1.51,1.55,-3.76,4
126.1,-1.4813,32.9112,4,2.93,1.68,-3.35,4
127.0,-1.4837,32.9369,3,3.02,0.66,-3.56,3
127.9,-1.4745,32.9591,4,1.61,0.40,-3.71,4
129.0,-1.4551,32.9969,4,1.77,1.09,-3.84,4
130.0,-1.4375,33.0290,4,2.15,1.50,-3.55,4
131.1,-1.4187,33.0685,4,2.47,1.62,-3.84,4
132.0,-1.3916,33.1095,3,2.03,0.39,-3.39,3
132.9,-1.3522,33.1432,4,1.84,-0.08,-3.42,4
134.0,-1.3159,33.1969,4,1.90,0.34,-3.77,4
135.0,-1.2930,33.2522,4,1.86,0.89,-3.72,4
136.0,-1.2653,33.3184,3,1.41,1.11,-3.73,3
136.9,-1.2566,33.3377,4,2.02,1.55,-3.86,4
138.0,-1.2474,33.3612,4,2.82,1.65,-3.59,4
139.0,-1.2277,33.4135,4,3.66,0.54,-3.32,4
140.1,-1.2151,33.4528,4,3.64,-0.23,-3.27,4
141.0,-1.1920,33.4993,3,2.92,-0.04,-3.13,3
141.9,-1.1756,33.5253,4,3.44,0.75,-3.16,4
143.0,-1.1493,33.5702,4,2.99,1.06,-3.61,4
144.0,-1.1308,33.6023,4,2.09,1.01,-3.39,4
145.0,-1.1117,33.6348,3,0.93,0.44,-3.43,3
145.9,-1.0924,33.6796,4,-0.14,2.07,-3.54,4
147.0,-1.0735,33.7265,4,0.25,1.75,-3.40,4
148.0,-1.0563,33.7700,4,1.17,1.61,-3.51,4
149.1,-1.0419,33.8155,4,1.28,2.55,-3.89,4
150.0,-1.0315,33.8416,3,1.28,2.84,-3.61,3
151.0,-1.0207,33.8731,4,0.74,2.16,-3.51,4
152.0,-1.0121,33.9067,4,0.90,2.47,-3.86,4
153.1,-1.0041,33.9350,4,1.49,3.66,-4.06,4
154.0,-1.0031,33.9584,3,1.47,3.53,-4.30,3
155.0,-1.0065,33.9805,4,1.58,3.50,-4.00,4
156.0,-1.0085,33.9976,4,1.75,3.85,-3.93,4
157.1,-1.0061,34.0186,4,2.08,3.30,-4.05,4
158.0,-0.9993,34.0341,3,2.15,2.54,-3.53,3
158.9,-0.9995,34.0473,4,1.79,2.36,-4.02,4
160.0,-1.0073,34.0708,4,1.42,2.82,-3.77,4
161.0,-1.0105,34.0903,4,1.49,4.17,-3.77,4
162.1,-1.0315,34.1022,4,2.00,4.44,-3.63,4
163.0,-1.0348,34.1121,3,2.59,4.46,-3.66,3
163.9,-1.0211,34.1222,4,3.12,4.21,-3.74,4
165.0,-1.0166,34.1393,4,2.89,3.91,-3.63,4
166.0,-1.0316,34.1531,4,2.83,3.99,-3.43,4
167.1,-1.0366,34.1664,4,2.10,4.22,-3.65,4
168.0,-1.0435,34.1805,3,1.85,4.20,-3.28,3
168.9,-1.0637,34.1882,4,2.01,4.15,-3.39,4
170.0,-1.0686,34.1948,4,2.28,3.92,-3.22,4
171.0,-1.0458,34.2038,4,2.27,3.77,-3.57,4
172.0,-1.0297,34.2118,3,2.17,3.91,-3.72,3
172.9,-0.9828,34.2275,4,2.54,3.76,-3.60,4
174.0,-0.9746,34.2399,4,2.32,3.24,-3.78,4
175.0,-0.9979,34.2482,4,1.63,2.95,-3.83,4
176.1,-0.9915,34.2613,4,1.81,2.93,-3.46,4
177.0,-0.9745,34.2691,3,2.36,2.93,-3.60,3
177.9,-0.9472,34.2785,4,2.48,2.98,-3.50,4
179.0,-0.9648,34.2836,4,2.83,2.48,-3.22,4
180.1,-0.9587,34.2934,4,2.45,3.10,-3.49,4
181.0,-0.9730,34.2985,3,2.38,3.32,-3.39,3
181.9,-0.9561,34.3066,4,1.77,3.30,-3.49,4
183.0,-0.9334,34.3136,4,1.43,3.27,-3.24,4
184.0,-0.8915,34.3267,4,1.41,3.10,-3.29,4
185.1,-0.8828,34.3377,4,0.94,3.24,-3.60,4
186.0,-0.8607,34.3468,3,1.19,3.47,-3.36,3
186.9,-0.8533,34.3526,4,1.04,3.45,-3.19,4
188.0,-0.8335,34.3595,4,0.84,3.26,-3.42,4
189.0,-0.8222,34.3662,4,0.79,2.99,-3.28,4
190.0,-0.8102,34.3713,3,0.73,2.96,-3.27,3
190.9,-0.7936,34.3767,4,0.59,2.96,-3.28,4
192.0,-0.7830,34.3811,4,0.50,3.24,-3.23,4
193.0,-0.7609,34.3898,4,0.28,2.93,-3.24,4
194.0,-0.7521,34.3938,3,0.24,2.55,-3.38,3
194.9,-0.7278,34.4022,4,0.64,2.86,-3.43,4
196.0,-0.7191,34.4054,4,0.41,2.74,-3.14,4
197.0,-0.6942,34.4143,4,0.80,2.68,-3.52,4
198.1,-0.6946,34.4136,4,0.75,2.65,-3.35,4
199.0,-0.6666,34.4200,3,0.67,2.45,-3.32,3
200.0,-0.6490,34.4254,4,0.78,2.63,-3.54,4
201.0,-0.6312,34.4276,4,0.85,2.50,-3.57,4
202.1,-0.6081,34.4344,4,0.99,2.62,-3.67,4
203.0,-0.5716,34.4403,3,1.19,2.91,-3.34,3
204.0,-0.5573,34.4445,4,0.93,2.74,-3.63,4
205.0,-0.5248,34.4525,4,0.81,2.66,-3.44,4
206.1,-0.4951,34.4569,4,1.01,2.52,-3.66,4
207.0,-0.4589,34.4639,3,0.68,2.86,-3.29,3
208.0,-0.4469,34.4675,4,0.77,2.64,-3.74,4
209.0,-0.4204,34.4728,4,0.63,2.74,-3.36,4
210.1,-0.4068,34.4773,4,0.84,2.76,-3.43,4
211.0,-0.3752,34.4840,3,0.66,2.76,-3.20,3
212.0,-0.3696,34.4867,4,0.37,2.89,-3.39,4
213.0,-0.3576,34.4878,4,0.53,2.98,-3.52,4
214.0,-0.3306,34.4964,3,0.48,3.12,-3.57,3
214.9,-0.3241,34.4972,4,0.48,2.92,-3.43,4
216.0,-0.2884,34.5071,4,0.61,3.02,-3.23,4
217.1,-0.2875,34.5066,4,0.45,3.15,-3.78,4
218.0,-0.2732,34.5090,3,0.25,3.01,-3.57,3
218.9,-0.2365,34.5193,4,0.31,2.99,-3.39,4
220.0,-0.2368,34.5180,4,0.29,3.23,-3.41,4
221.1,-0.1919,34.5301,4,0.50,3.08,-3.39,4
222.0,-0.1759,34.5361,3,0.34,2.55,-3.44,3
223.0,-0.1764,34.5355,4,0.27,2.91,-3.63,4
224.0,-0.1686,34.5374,4,0.24,3.15,-3.63,4
225.0,-0.1402,34.5472,3,0.25,2.90,-3.62,3
225.9,-0.1396,34.5474,4,0.37,3.03,-3.59,4
227.0,-0.1384,34.5472,4,0.39,3.19,-3.29,4
228.1,-0.1383,34.5460,4,0.39,3.22,-3.60,4
229.0,-0.1114,34.5504,3,0.63,3.34,-3.56,3
230.0,-0.0971,34.5537,4,0.53,3.72,-3.57,4
231.0,-0.0605,34.5634,4,0.71,3.49,-3.45,4
232.0,-0.0484,34.5679,3,0.62,3.58,-3.62,3
232.9,-0.0484,34.5667,4,0.43,3.65,-3.54,4
234.0,-0.0283,34.5698,4,0.65,3.33,-3.43,4
235.1,0.0079,34.5822,4,0.76,3.73,-3.56,4
236.0,0.0134,34.5809,3,0.49,4.05,-3.47,3
237.0,0.0483,34.5868,4,0.73,3.82,-3.22,4
238.0,0.1011,34.6031,4,0.75,4.10,-3.44,4
239.0,0.1193,34.6097,3,1.09,4.04,-3.12,3
239.9,0.1193,34.6099,4,1.01,4.25,-3.64,4
241.0,0.1201,34.6103,4,0.89,4.24,-3.69,4
242.0,0.1193,34.6103,3,0.91,4.03,-3.41,3
242.9,0.1203,34.6103,4,0.82,4.14,-3.12,4
244.0,0.1211,34.6097,4,0.78,4.11,-3.52,4
245.1,0.1269,34.6088,4,0.90,4.02,-3.77,4
246.0,0.1391,34.6083,3,0.97,4.17,-3.73,3
246.9,0.1817,34.6186,4,0.88,4.27,-3.45,4
247.9,0.2118,34.6278,4,1.13,4.12,-3.20,4
249.0,0.2392,34.6338,5,1.23,3.91,-3.27,5
250.1,0.2558,34.6385,6,1.42,3.59,2.20,6
250.8,0.2879,34.6464,16,0.79,3.94,-2.21,19
