2010,289.00007,-151.5059,78.9959,756
%pressure(dbar),temperature(C),salinity,nobs
6.4,-1.4785,27.0981,4
6.9,-1.4786,27.1004,6
8.1,-1.4788,27.1062,4
9.0,-1.4790,27.1083,3
9.9,-1.4792,27.1121,4
11.0,-1.4795,27.1207,4
12.0,-1.4806,27.1438,4
13.1,-1.4822,27.1981,4
14.0,-1.4835,27.2394,3
14.9,-1.4835,27.2945,4
15.9,-1.4799,27.3339,4
17.0,-1.4812,27.3645,4
18.0,-1.4730,27.4212,4
19.1,-1.4465,27.5084,4
20.0,-1.4079,27.6189,3
20.9,-1.3217,27.9485,4
21.9,-1.1969,28.5056,4
23.0,-1.1230,28.7319,4
24.0,-0.9486,28.8799,4
25.1,-0.7636,29.0041,4
26.0,-0.7172,29.0743,3
26.9,-0.6482,29.2316,4
28.0,-0.6205,29.3486,4
29.0,-0.6403,29.4825,4
30.1,-0.6762,29.5976,4
31.0,-0.6592,29.7480,3
31.9,-0.5944,29.9271,4
33.0,-0.5503,30.0623,4
34.0,-0.5445,30.1635,4
35.1,-0.4666,30.3075,4
36.0,-0.4774,30.3844,3
36.9,-0.5037,30.4454,4
37.9,-0.5119,30.5030,4
39.0,-0.5485,30.5456,4
40.1,-0.5475,30.6105,4
41.0,-0.5411,30.6624,3
41.9,-0.5516,30.7052,4
42.9,-0.5729,30.7487,4
44.0,-0.5951,30.7955,4
45.0,-0.6085,30.8280,4
46.1,-0.6681,30.8488,4
47.0,-0.6976,30.8818,3
47.9,-0.6832,30.9099,4
49.0,-0.7108,30.9516,4
50.0,-0.7832,30.9884,4
51.1,-0.8000,31.0121,4
52.0,-0.8202,31.0308,3
52.9,-0.8149,31.0554,4
54.0,-0.8115,31.0801,4
55.0,-0.8270,31.1034,4
56.0,-0.8379,31.1406,4
57.1,-0.8048,31.1683,4
58.0,-0.7840,31.1987,3
58.9,-0.7809,31.2169,4
60.0,-0.7870,31.2347,4
61.0,-0.8058,31.2613,4
62.1,-0.8072,31.2873,4
63.0,-0.8173,31.3215,3
63.9,-0.8235,31.3469,4
65.0,-0.8046,31.3741,4
66.0,-0.7847,31.3976,4
67.1,-0.7401,31.4202,4
68.0,-0.7634,31.4481,3
69.0,-0.7530,31.4866,4
70.0,-0.7524,31.5324,4
71.1,-0.7613,31.5859,4
72.0,-0.7510,31.6237,3
72.9,-0.7582,31.6507,4
74.0,-0.7973,31.6817,4
75.1,-0.8207,31.7032,4
76.0,-0.7941,31.7250,3
76.9,-0.7942,31.7455,4
78.0,-0.8072,31.7864,4
79.1,-0.8456,31.8322,4
80.0,-0.8586,31.8584,3
80.9,-0.8768,31.8830,4
82.0,-0.8797,31.9080,4
83.1,-0.8869,31.9279,4
84.0,-0.8922,31.9408,3
84.9,-0.9018,31.9597,4
86.0,-0.9369,31.9896,4
87.1,-0.9645,32.0093,4
88.0,-0.9762,32.0260,3
89.0,-0.9803,32.0414,4
90.0,-1.0096,32.0581,4
91.0,-1.0402,32.0705,3
91.9,-1.0475,32.0846,4
93.0,-1.0558,32.1013,4
94.1,-1.0751,32.1182,4
95.0,-1.0841,32.1389,3
95.9,-1.0989,32.1620,4
97.0,-1.1128,32.1794,4
98.1,-1.1189,32.2041,4
99.0,-1.1276,32.2189,3
100.0,-1.1388,32.2369,4
101.0,-1.1485,32.2585,4
102.0,-1.1543,32.2774,3
102.9,-1.1638,32.2936,4
104.0,-1.1355,32.3093,4
105.1,-1.1291,32.3212,4
106.0,-1.1367,32.3371,3
106.9,-1.1436,32.3531,4
108.0,-1.1527,32.3707,4
109.1,-1.1732,32.3857,4
110.0,-1.1879,32.3969,3
110.9,-1.1964,32.4079,4
112.0,-1.1859,32.4225,4
113.1,-1.1892,32.4365,4
114.0,-1.1974,32.4485,3
114.9,-1.2229,32.4536,4
116.0,-1.1976,32.4645,4
117.1,-1.1966,32.4751,4
118.0,-1.2052,32.4874,3
119.0,-1.2108,32.4956,4
120.0,-1.2121,32.5052,4
121.0,-1.2192,32.5151,3
121.9,-1.2306,32.5263,4
123.0,-1.2341,32.5384,4
124.0,-1.2410,32.5515,4
