2011,104.00008,-141.3247,78.6558,756
%pressure(dbar),temperature(C),salinity,nobs
6.1,-1.5258,27.9673,15
7.0,-1.5257,27.9674,4
8.0,-1.5259,27.9676,4
9.1,-1.5257,27.9676,4
10.0,-1.5258,27.9677,3
10.9,-1.5257,27.9676,4
11.9,-1.5256,27.9675,4
13.0,-1.5255,27.9674,4
14.0,-1.5257,27.9676,4
15.1,-1.5257,27.9676,4
16.0,-1.5256,27.9676,3
16.9,-1.5256,27.9677,4
18.0,-1.5255,27.9679,4
19.0,-1.5257,27.9681,4
20.0,-1.5255,27.9683,4
21.1,-1.5255,27.9687,4
22.0,-1.5256,27.9689,3
22.9,-1.5255,27.9692,4
24.0,-1.5255,27.9694,4
25.0,-1.5254,27.9701,4
26.1,-1.5254,27.9710,4
27.1,-1.5254,27.9724,4
28.0,-1.5254,27.9734,3
28.9,-1.5253,27.9743,4
30.0,-1.5251,27.9767,4
31.0,-1.5249,27.9789,4
32.1,-1.5244,27.9839,4
33.1,-1.5234,27.9946,4
34.0,-1.5212,28.0213,3
34.9,-1.5131,28.0605,4
36.0,-1.5023,28.0932,4
37.0,-1.4910,28.1267,4
38.1,-1.4803,28.1928,4
39.1,-1.3800,29.2559,4
40.0,-1.1077,30.0141,3
40.9,-0.9382,30.1945,4
42.0,-0.8299,30.3335,4
43.1,-0.8129,30.4394,4
44.0,-0.8097,30.5282,3
44.9,-0.7900,30.5904,4
46.0,-0.7898,30.6868,4
47.0,-0.8099,30.7648,4
48.1,-0.8446,30.8380,4
49.0,-0.8876,30.9025,3
49.9,-0.8625,30.9698,4
51.0,-0.8325,31.0402,4
52.0,-0.8259,31.0985,4
53.1,-0.8183,31.1487,4
54.0,-0.8270,31.1860,3
54.9,-0.8624,31.2185,4
56.0,-0.8563,31.2549,4
57.1,-0.8345,31.2945,4
58.0,-0.8744,31.3254,3
58.9,-0.8876,31.3609,4
60.0,-0.8951,31.3966,4
61.0,-0.8776,31.4386,4
62.1,-0.8891,31.4726,4
63.0,-0.9144,31.5144,3
64.0,-0.9215,31.5585,4
65.0,-0.9760,31.5995,4
