2011,289.00008,-135.7733,78.9437,756
%pressure(dbar),temperature(C),salinity,nobs
6.1,-1.4433,26.5530,7
7.0,-1.4433,26.5550,5
8.0,-1.4434,26.5569,3
8.9,-1.4434,26.5585,4
9.9,-1.4433,26.5607,4
11.0,-1.4431,26.5632,4
12.0,-1.4437,26.5670,4
13.0,-1.4431,26.5706,4
14.0,-1.4433,26.5759,4
15.1,-1.4431,26.5829,4
16.1,-1.4432,26.5925,4
17.0,-1.4432,26.6057,3
17.9,-1.4422,26.6240,4
18.9,-1.4407,26.6574,4
20.0,-1.4333,26.7153,4
21.0,-1.3528,27.1982,4
22.0,-1.0979,28.1660,4
23.1,-0.9844,28.2804,4
24.1,-0.9908,28.3375,4
25.0,-1.0057,28.3718,3
25.9,-1.0242,28.4002,4
26.9,-1.0492,28.4296,4
28.0,-1.0625,28.4575,4
29.0,-1.0779,28.4896,4
30.1,-1.1039,28.5188,4
31.1,-1.1194,28.5457,4
32.0,-1.1358,28.5657,3
32.9,-1.1585,28.5844,4
33.9,-1.1872,28.6049,4
35.0,-1.2007,28.6260,4
36.0,-1.2146,28.6478,4
37.0,-1.2267,28.6707,4
38.1,-1.2308,28.6946,4
39.0,-1.2358,28.7197,3
39.9,-1.2411,28.7463,4
40.9,-1.2405,28.7833,4
42.0,-1.2286,28.8243,4
43.0,-1.2224,28.8776,4
44.1,-1.2011,28.9491,4
45.1,-1.1929,29.0311,4
46.0,-1.1938,29.1311,3
46.9,-1.1832,29.2604,4
48.0,-1.1841,29.4581,4
49.0,-1.1619,29.7073,4
50.0,-1.1135,29.9816,4
51.1,-1.0466,30.2274,4
52.0,-1.0046,30.4223,3
52.9,-0.9693,30.5991,4
54.0,-0.9305,30.7708,4
55.0,-0.8997,30.9079,4
56.1,-0.8782,31.0310,4
57.0,-0.8639,31.1139,3
57.9,-0.8635,31.1817,4
59.0,-0.8892,31.2494,4
60.0,-0.8955,31.3085,4
61.1,-0.9053,31.3620,4
62.0,-0.9588,31.4096,3
62.9,-0.9760,31.4598,4
64.0,-0.9750,31.5100,4
65.0,-0.9773,31.5491,4
66.1,-0.9804,31.5839,4
67.0,-0.9973,31.6132,3
67.9,-1.0170,31.6401,4
69.0,-1.0359,31.6677,4
70.0,-1.0386,31.6949,4
71.1,-0.9876,31.7279,4
72.0,-1.0055,31.7417,3
72.9,-1.1421,31.7691,4
74.0,-1.1605,31.8021,4
75.0,-1.1853,31.8306,4
76.0,-1.1918,31.8545,3
76.9,-1.1891,31.8788,4
78.0,-1.1508,31.9029,4
79.0,-1.1216,31.9286,4
80.1,-1.1270,31.9517,4
81.0,-1.1474,31.9732,3
