2011,300.25006,-135.9181,78.4173,749
%pressure(dbar),temperature(C),salinity,nobs
13.1,-1.4404,26.5010,10
14.0,-1.4405,26.5013,4
14.9,-1.4406,26.5012,4
15.9,-1.4396,26.5033,4
16.9,-1.4350,26.5103,4
18.0,-1.4350,26.5123,4
19.1,-1.4313,26.5183,4
20.0,-1.3758,26.6644,3
20.9,-1.1951,27.2476,4
22.0,-1.0229,27.7905,4
23.0,-1.0172,28.0365,4
24.0,-1.0060,28.1703,3
24.9,-1.0137,28.2377,4
26.0,-1.0304,28.2983,4
27.1,-1.0367,28.3433,4
28.0,-1.0451,28.3756,3
28.9,-1.0567,28.4060,4
30.0,-1.0905,28.4398,4
31.1,-1.1277,28.4746,4
32.0,-1.1576,28.5024,3
33.0,-1.1820,28.5277,4
34.1,-1.2033,28.5526,4
35.0,-1.2194,28.5781,3
35.9,-1.2124,28.6000,4
37.0,-1.2043,28.6260,4
38.0,-1.2229,28.6491,3
38.9,-1.2261,28.6684,4
40.0,-1.2205,28.6968,4
41.1,-1.2177,28.7327,4
42.0,-1.2191,28.7666,3
43.0,-1.2237,28.7963,4
44.0,-1.2109,28.8396,4
45.0,-1.2124,28.8791,3
45.9,-1.2212,28.9510,4
47.0,-1.2029,29.1119,4
48.1,-1.1310,29.3745,4
49.0,-1.1185,29.6295,3
50.0,-1.0508,29.9183,4
51.0,-0.9815,30.2520,4
52.0,-0.9119,30.4749,3
52.9,-0.8410,30.6556,4
54.0,-0.8295,30.7809,4
55.1,-0.8046,30.8638,4
56.0,-0.8059,30.9436,3
56.9,-0.8287,31.0151,4
58.0,-0.8429,31.0854,4
59.1,-0.8385,31.1481,4
60.0,-0.8544,31.2076,3
60.9,-0.8697,31.2710,4
62.0,-0.8862,31.3329,4
63.1,-0.9044,31.3965,4
64.0,-0.9017,31.4450,3
65.0,-0.9022,31.4898,4
66.0,-0.9230,31.5467,4
67.0,-0.9491,31.5854,3
67.9,-0.9784,31.6198,4
69.0,-1.0019,31.6605,4
70.1,-1.0299,31.6994,4
71.0,-1.0675,31.7280,3
71.9,-1.1054,31.7556,4
73.0,-1.1334,31.7837,4
74.1,-1.1354,31.8089,4
75.0,-1.1291,31.8331,3
76.0,-1.1392,31.8533,4
77.0,-1.1374,31.8768,4
78.0,-1.1392,31.8996,3
78.9,-1.1690,31.9232,4
80.0,-1.2011,31.9488,4
81.0,-1.2228,31.9711,4
82.0,-1.2226,31.9892,3
82.9,-1.2221,32.0074,4
84.0,-1.2276,32.0278,4
85.1,-1.2168,32.0501,4
86.0,-1.2128,32.0701,3
86.9,-1.2233,32.0864,4
88.0,-1.2325,32.1085,4
89.1,-1.2277,32.1274,4
90.0,-1.2602,32.1444,3
90.9,-1.3059,32.1580,4
92.0,-1.3108,32.1766,4
93.1,-1.3117,32.1920,4
94.0,-1.3133,32.2066,3
94.9,-1.3130,32.2206,4
96.0,-1.2985,32.2415,4
97.1,-1.2854,32.2593,4
98.0,-1.2748,32.2755,3
98.9,-1.2671,32.2894,4
100.0,-1.2608,32.3057,4
101.1,-1.2600,32.3253,4
102.0,-1.2665,32.3408,3
102.9,-1.2741,32.3601,4
104.0,-1.2728,32.3777,4
105.1,-1.2616,32.3938,4
106.0,-1.2540,32.4043,3
107.0,-1.2499,32.4160,4
108.0,-1.2488,32.4289,4
109.1,-1.2535,32.4465,4
110.0,-1.2762,32.4636,3
111.0,-1.2866,32.4795,4
112.0,-1.2892,32.4960,4
113.1,-1.2905,32.5079,4
114.0,-1.2927,32.5197,3
114.9,-1.2941,32.5308,4
116.0,-1.2940,32.5452,4
117.1,-1.2990,32.5575,4
118.0,-1.3058,32.5688,3
118.9,-1.3121,32.5786,4
120.0,-1.3180,32.5895,4
121.1,-1.3229,32.5993,4
122.0,-1.3268,32.6084,3
122.9,-1.3314,32.6202,4
124.0,-1.3402,32.6355,4
125.1,-1.3486,32.6484,4
126.0,-1.3551,32.6596,3
126.9,-1.3616,32.6704,4
128.0,-1.3671,32.6819,4
129.0,-1.3679,32.6945,4
130.1,-1.3732,32.7082,4
131.0,-1.3772,32.7192,3
132.0,-1.3817,32.7295,4
133.0,-1.3891,32.7412,4
134.1,-1.4020,32.7535,4
135.0,-1.4106,32.7641,3
135.9,-1.4148,32.7746,4
137.0,-1.4237,32.7892,4
138.0,-1.4321,32.8021,4
139.1,-1.4402,32.8136,4
140.0,-1.4463,32.8219,3
140.9,-1.4517,32.8302,4
142.0,-1.4589,32.8399,4
143.1,-1.4660,32.8490,4
144.0,-1.4725,32.8579,3
144.9,-1.4808,32.8689,4
146.0,-1.4904,32.8821,4
147.0,-1.4971,32.8952,4
148.1,-1.5034,32.9086,4
149.0,-1.5084,32.9197,3
149.9,-1.5095,32.9285,4
151.0,-1.5171,32.9384,4
152.0,-1.5309,32.9485,4
153.0,-1.5364,32.9583,3
153.9,-1.5375,32.9680,4
155.0,-1.5351,32.9794,4
156.0,-1.5384,32.9943,4
157.1,-1.5443,33.0082,4
158.0,-1.5463,33.0195,3
158.9,-1.5464,33.0317,4
160.0,-1.5456,33.0441,4
161.0,-1.5413,33.0579,4
162.1,-1.5416,33.0733,4
163.0,-1.5476,33.0856,3
163.9,-1.5479,33.0959,4
165.0,-1.5423,33.1094,4
166.0,-1.5302,33.1229,4
167.1,-1.5317,33.1357,4
168.0,-1.5338,33.1468,3
168.9,-1.5346,33.1577,4
170.0,-1.5338,33.1707,4
171.1,-1.5313,33.1846,4
172.0,-1.5265,33.1967,3
172.9,-1.5225,33.2091,4
174.0,-1.5189,33.2246,4
175.0,-1.5158,33.2426,4
176.1,-1.5097,33.2603,4
177.0,-1.5045,33.2747,3
177.9,-1.4996,33.2889,4
179.0,-1.4912,33.3033,4
180.0,-1.4795,33.3187,4
181.1,-1.4662,33.3359,4
182.0,-1.4511,33.3548,3
182.9,-1.4405,33.3735,4
184.0,-1.4309,33.3929,4
185.0,-1.4209,33.4106,4
186.1,-1.4021,33.4304,4
187.0,-1.3753,33.4526,3
187.9,-1.3581,33.4769,4
189.0,-1.3441,33.5030,4
190.0,-1.3214,33.5303,4
191.1,-1.3004,33.5631,4
192.0,-1.2834,33.5917,3
192.9,-1.2656,33.6228,4
194.0,-1.2452,33.6586,4
195.0,-1.2254,33.6898,4
196.1,-1.2083,33.7180,4
197.1,-1.1936,33.7468,4
198.0,-1.1823,33.7733,3
198.9,-1.1800,33.8023,4
200.0,-1.1780,33.8294,4
201.0,-1.1765,33.8517,4
202.1,-1.1724,33.8723,4
203.0,-1.1725,33.8903,3
203.9,-1.1736,33.9061,4
205.0,-1.1698,33.9238,4
206.0,-1.1647,33.9419,4
207.1,-1.1589,33.9592,4
208.0,-1.1554,33.9733,3
208.9,-1.1521,33.9863,4
210.0,-1.1400,34.0026,4
211.0,-1.1253,34.0201,4
212.1,-1.1081,34.0350,4
213.0,-1.0889,34.0492,3
213.9,-1.0681,34.0646,4
214.9,-1.0414,34.0828,4
216.0,-1.0169,34.0977,4
217.0,-0.9951,34.1127,4
218.1,-0.9743,34.1253,4
219.0,-0.9553,34.1359,3
219.9,-0.9339,34.1466,4
221.0,-0.9137,34.1607,4
222.0,-0.8935,34.1721,4
223.1,-0.8745,34.1827,4
224.1,-0.8497,34.1964,4
225.0,-0.8392,34.2008,3
225.9,-0.8189,34.2125,4
227.0,-0.7999,34.2215,4
228.0,-0.7851,34.2292,4
229.1,-0.7669,34.2386,4
230.0,-0.7482,34.2485,3
230.9,-0.7357,34.2563,4
231.9,-0.7376,34.2581,4
233.0,-0.7173,34.2693,4
234.0,-0.7095,34.2751,4
235.1,-0.6917,34.2835,4
236.0,-0.6851,34.2870,3
236.9,-0.6606,34.2959,4
237.9,-0.6499,34.3011,4
239.0,-0.6207,34.3120,4
240.0,-0.6115,34.3177,4
