2012,76.00007,-133.2171,75.2705,756
%pressure(dbar),temperature(C),salinity,nobs
6.4,-1.5177,27.7964,5
6.9,-1.5176,27.7964,7
8.1,-1.5177,27.7969,4
9.0,-1.5179,27.7971,3
9.9,-1.5178,27.7972,4
10.9,-1.5180,27.7978,4
11.9,-1.5178,27.7979,4
13.0,-1.5179,27.7983,4
14.0,-1.5177,27.7985,4
15.0,-1.5177,27.7990,4
16.0,-1.5177,27.7996,4
17.1,-1.5178,27.8003,4
18.1,-1.5173,27.8004,4
19.1,-1.5179,27.8014,4
20.0,-1.5177,27.8021,3
20.9,-1.5176,27.8028,4
21.9,-1.5177,27.8038,4
22.9,-1.5175,27.8045,4
23.9,-1.5173,27.8051,4
25.0,-1.5173,27.8059,4
26.0,-1.5175,27.8066,4
27.0,-1.5183,27.8083,4
28.0,-1.5192,27.8136,4
29.0,-1.5234,27.8307,4
30.1,-1.4972,28.0507,4
31.1,-1.2424,28.6150,4
32.1,-1.1026,28.7580,4
33.0,-1.0827,28.8514,3
33.9,-1.0866,28.9533,4
34.9,-1.0788,29.0396,4
36.0,-1.0789,29.1159,4
37.0,-1.0824,29.2028,4
38.0,-1.0879,29.2886,4
39.0,-1.0941,29.3609,4
40.1,-1.0965,29.4405,4
41.1,-1.0838,29.5304,4
42.1,-1.0583,29.6365,4
43.0,-1.0248,29.7394,3
43.9,-0.9753,29.8534,4
44.9,-0.9319,29.9670,4
45.9,-0.8911,30.0814,4
47.0,-0.8430,30.2126,4
48.0,-0.7959,30.3649,4
49.0,-0.6919,30.5228,4
50.1,-0.6298,30.6613,4
51.1,-0.6017,30.7633,4
52.0,-0.6022,30.8395,3
52.9,-0.5906,30.9087,4
53.9,-0.5893,30.9757,4
55.0,-0.6119,31.0351,4
56.0,-0.6318,31.0804,4
57.0,-0.6528,31.1266,4
58.1,-0.6776,31.1740,4
59.1,-0.6980,31.2177,4
60.0,-0.7147,31.2548,3
60.9,-0.7290,31.2867,4
61.9,-0.7420,31.3222,4
63.0,-0.7600,31.3653,4
64.0,-0.7841,31.4084,4
65.1,-0.8110,31.4525,4
66.1,-0.8578,31.5017,4
67.0,-0.8758,31.5440,3
67.9,-0.8932,31.5813,4
68.9,-0.9168,31.6230,4
70.0,-0.9353,31.6633,4
71.0,-0.9549,31.7041,4
72.0,-0.9592,31.7425,4
73.1,-0.9826,31.7764,4
74.1,-1.0060,31.8106,4
75.0,-1.0215,31.8411,3
75.9,-1.0360,31.8677,4
76.9,-1.0510,31.8938,4
78.0,-1.0704,31.9189,4
79.0,-1.0820,31.9445,4
80.1,-1.0903,31.9672,4
81.1,-1.1053,31.9891,4
82.0,-1.1160,32.0090,3
82.9,-1.1190,32.0266,4
83.9,-1.1264,32.0474,4
85.0,-1.1346,32.0676,4
86.0,-1.1391,32.0889,4
87.1,-1.1500,32.1089,4
88.1,-1.1670,32.1310,4
89.0,-1.1757,32.1491,3
89.9,-1.1846,32.1657,4
90.9,-1.1916,32.1833,4
92.0,-1.1988,32.2008,4
93.0,-1.2069,32.2187,4
94.1,-1.2208,32.2356,4
95.1,-1.2583,32.2522,4
96.0,-1.2611,32.2691,3
96.9,-1.2429,32.2823,4
98.0,-1.2842,32.2960,4
99.0,-1.3183,32.3147,4
100.0,-1.3278,32.3331,4
101.1,-1.3229,32.3486,4
102.1,-1.3350,32.3650,4
103.0,-1.3525,32.3773,3
103.9,-1.3608,32.3903,4
105.0,-1.3709,32.4071,4
106.0,-1.3816,32.4227,4
107.0,-1.3593,32.4387,4
108.1,-1.3402,32.4524,4
109.0,-1.3467,32.4641,3
109.9,-1.3488,32.4762,4
111.0,-1.3456,32.4900,4
112.0,-1.3474,32.5016,4
113.0,-1.3537,32.5135,4
114.1,-1.3514,32.5259,4
115.0,-1.3378,32.5359,3
115.9,-1.3358,32.5457,4
116.9,-1.3395,32.5572,4
118.0,-1.3448,32.5697,4
119.0,-1.3486,32.5809,4
120.1,-1.3428,32.5932,4
121.1,-1.3384,32.6056,4
122.0,-1.3451,32.6157,3
122.9,-1.3454,32.6255,4
124.0,-1.3447,32.6363,4
125.0,-1.3548,32.6463,4
126.1,-1.3644,32.6581,4
127.1,-1.3680,32.6688,4
128.0,-1.3677,32.6780,3
128.9,-1.3689,32.6870,4
130.0,-1.3720,32.6975,4
131.0,-1.3733,32.7084,4
132.1,-1.3774,32.7194,4
133.1,-1.3826,32.7301,4
134.0,-1.3867,32.7391,3
134.9,-1.3928,32.7480,4
136.0,-1.4002,32.7561,4
137.0,-1.4243,32.7638,4
138.0,-1.4400,32.7733,4
139.1,-1.4536,32.7845,4
140.0,-1.4583,32.7937,3
140.9,-1.4668,32.8038,4
142.0,-1.4695,32.8135,4
143.0,-1.4729,32.8227,4
144.0,-1.4729,32.8330,4
145.1,-1.4752,32.8432,4
146.0,-1.4781,32.8521,3
146.9,-1.4821,32.8630,4
148.0,-1.4851,32.8761,4
149.0,-1.4864,32.8882,4
150.1,-1.4904,32.8986,4
151.1,-1.4970,32.9098,4
152.0,-1.5037,32.9200,3
152.9,-1.5092,32.9307,4
154.0,-1.5110,32.9429,4
155.0,-1.5112,32.9560,4
156.1,-1.5115,32.9691,4
157.1,-1.5093,32.9817,4
158.0,-1.5132,32.9922,3
158.9,-1.5129,33.0032,4
160.0,-1.5132,33.0176,4
161.0,-1.5080,33.0335,4
162.1,-1.4970,33.0488,4
163.1,-1.4924,33.0646,4
164.0,-1.4908,33.0796,3
164.9,-1.4910,33.0941,4
166.0,-1.4918,33.1101,4
167.0,-1.4910,33.1263,4
168.1,-1.4894,33.1433,4
169.0,-1.4876,33.1598,3
169.9,-1.4802,33.1774,4
170.9,-1.4738,33.1975,4
172.0,-1.4615,33.2198,4
173.0,-1.4525,33.2417,4
174.1,-1.4427,33.2655,4
175.0,-1.4351,33.2841,3
175.9,-1.4303,33.3050,4
177.0,-1.4230,33.3268,4
178.0,-1.4132,33.3485,4
179.1,-1.4046,33.3719,4
180.0,-1.3964,33.3940,3
180.9,-1.3886,33.4175,4
182.0,-1.3802,33.4462,4
183.0,-1.3722,33.4709,4
184.1,-1.3631,33.4946,4
185.1,-1.3539,33.5187,4
186.0,-1.3461,33.5439,3
186.9,-1.3373,33.5744,4
188.0,-1.3263,33.6060,4
189.0,-1.3191,33.6323,4
190.1,-1.3120,33.6603,4
191.0,-1.3058,33.6840,3
191.9,-1.2974,33.7074,4
193.0,-1.2887,33.7346,4
194.0,-1.2813,33.7624,4
195.1,-1.2753,33.7864,4
196.0,-1.2693,33.8128,3
196.9,-1.2615,33.8345,4
198.0,-1.2531,33.8556,4
199.0,-1.2436,33.8787,4
200.1,-1.2271,33.9057,4
201.0,-1.2066,33.9329,3
201.9,-1.1879,33.9551,4
203.0,-1.1720,33.9777,4
204.0,-1.1576,33.9985,4
205.1,-1.1384,34.0146,4
206.0,-1.1195,34.0289,3
206.9,-1.0998,34.0414,4
208.0,-1.0798,34.0566,4
209.1,-1.0571,34.0700,4
210.0,-1.0399,34.0805,3
210.9,-1.0246,34.0909,4
212.0,-0.9963,34.1053,4
213.0,-0.9674,34.1175,4
214.1,-0.9342,34.1289,4
215.0,-0.9083,34.1412,3
215.9,-0.8958,34.1480,4
217.0,-0.8794,34.1609,4
218.0,-0.8575,34.1736,4
219.1,-0.8293,34.1861,4
220.0,-0.8094,34.1978,3
220.9,-0.7917,34.2061,4
222.0,-0.7691,34.2192,4
223.0,-0.7482,34.2282,4
224.1,-0.7318,34.2351,4
225.0,-0.7054,34.2470,3
225.9,-0.6937,34.2516,4
227.0,-0.6703,34.2636,4
228.1,-0.6541,34.2724,4
229.0,-0.6455,34.2761,3
229.9,-0.6316,34.2849,4
231.0,-0.6149,34.2913,4
232.0,-0.6028,34.2974,4
233.1,-0.5821,34.3054,4
234.0,-0.5814,34.3067,3
234.9,-0.5582,34.3183,4
236.0,-0.5497,34.3202,4
237.0,-0.5406,34.3271,4
238.1,-0.5183,34.3359,4
239.0,-0.5182,34.3364,3
239.9,-0.5174,34.3391,4
241.0,-0.4857,34.3507,4
242.1,-0.4748,34.3547,4
243.0,-0.4746,34.3566,3
243.9,-0.4435,34.3689,4
245.0,-0.4307,34.3722,4
246.0,-0.4244,34.3780,4
247.1,-0.3971,34.3897,4
248.0,-0.3946,34.3911,3
248.9,-0.3737,34.4020,4
250.0,-0.3648,34.4047,4
251.0,-0.3481,34.4144,4
252.1,-0.3312,34.4193,4
253.0,-0.3317,34.4208,3
253.9,-0.3087,34.4306,4
255.0,-0.2925,34.4351,4
256.1,-0.2929,34.4368,4
257.0,-0.2698,34.4479,3
257.9,-0.2496,34.4542,4
259.0,-0.2496,34.4550,4
260.0,-0.2353,34.4631,4
261.1,-0.2063,34.4725,4
262.0,-0.2067,34.4733,3
262.9,-0.2001,34.4780,4
264.0,-0.1785,34.4899,4
265.1,-0.1570,34.4973,4
266.0,-0.1571,34.4984,3
266.9,-0.1574,34.4988,4
268.0,-0.1524,34.5035,4
269.0,-0.1160,34.5153,4
270.1,-0.1114,34.5165,4
271.0,-0.1116,34.5165,3
271.9,-0.1123,34.5180,4
