2011,351.00008,-132.8292,77.1858,756
%pressure(dbar),temperature(C),salinity,nobs
6.2,-1.4801,27.1218,6
7.0,-1.4802,27.1262,5
8.1,-1.4801,27.1290,4
9.1,-1.4800,27.1327,4
10.0,-1.4799,27.1404,3
10.9,-1.4773,27.1488,4
11.9,-1.4766,27.1522,4
12.9,-1.4761,27.1541,4
14.0,-1.4757,27.1593,4
15.0,-1.4761,27.1644,4
16.0,-1.4767,27.1676,4
17.1,-1.4768,27.1731,4
18.1,-1.4754,27.1759,4
19.1,-1.4750,27.1785,4
20.0,-1.4757,27.1880,3
20.9,-1.4755,27.1939,4
21.9,-1.4754,27.2026,4
23.0,-1.4721,27.2169,4
24.0,-1.4435,27.2665,4
25.0,-1.1882,27.7665,4
26.0,-1.0535,28.0469,4
27.1,-1.0348,28.1440,4
28.1,-1.0496,28.2053,4
29.0,-1.0861,28.2465,3
29.9,-1.1014,28.2986,4
30.9,-1.1067,28.3528,4
32.0,-1.1042,28.3995,4
33.0,-1.1116,28.4398,4
34.0,-1.1255,28.4885,4
35.1,-1.1365,28.5325,4
36.1,-1.1569,28.5788,4
37.0,-1.1729,28.6257,3
37.9,-1.1750,28.6599,4
39.0,-1.1769,28.7087,4
40.0,-1.1743,28.7854,4
41.0,-1.1607,28.8957,4
42.1,-1.1155,29.0199,4
43.1,-1.0972,29.1713,4
44.0,-1.0319,29.3905,3
44.9,-0.9995,29.6029,4
45.9,-0.9735,29.8986,4
47.0,-0.9285,30.1660,4
48.0,-0.9368,30.4406,4
49.1,-0.9266,30.5779,4
50.1,-0.8815,30.6874,4
51.0,-0.8129,30.7791,3
51.9,-0.8841,30.8283,4
53.0,-0.9220,30.8983,4
54.0,-0.9213,30.9777,4
55.0,-0.9027,31.0615,4
56.1,-0.7704,31.1384,4
57.1,-0.7691,31.1942,4
58.0,-0.7915,31.2355,3
58.9,-0.8216,31.2881,4
60.0,-0.8169,31.3398,4
61.0,-0.8342,31.3786,4
62.0,-0.8695,31.4243,4
63.1,-0.9052,31.4772,4
64.0,-0.9293,31.5183,3
64.9,-0.9304,31.5533,4
66.0,-0.9367,31.5847,4
67.0,-0.9576,31.6156,4
68.0,-1.0097,31.6528,4
69.1,-1.0549,31.6978,4
70.0,-1.0712,31.7270,3
70.9,-1.0753,31.7589,4
71.9,-1.0788,31.7967,4
73.0,-1.1131,31.8261,4
74.0,-1.1241,31.8579,4
75.1,-1.1321,31.8930,4
76.0,-1.1088,31.9190,3
76.9,-1.0824,31.9457,4
77.9,-1.0998,31.9690,4
79.0,-1.1351,31.9897,4
80.0,-1.1502,32.0124,4
81.1,-1.1455,32.0349,4
82.1,-1.1483,32.0605,4
83.0,-1.1540,32.0816,3
83.9,-1.1635,32.0996,4
85.0,-1.1634,32.1201,4
86.0,-1.1771,32.1386,4
87.1,-1.1833,32.1585,4
88.0,-1.1896,32.1742,3
88.9,-1.2094,32.1898,4
89.9,-1.2553,32.2048,4
91.0,-1.2513,32.2234,4
92.0,-1.2442,32.2426,4
93.1,-1.2384,32.2608,4
94.0,-1.2389,32.2738,3
94.9,-1.2424,32.2868,4
96.0,-1.2494,32.3029,4
97.0,-1.2652,32.3157,4
98.1,-1.2870,32.3276,4
99.1,-1.2892,32.3422,4
100.0,-1.2949,32.3552,3
