ITP,Long,Lat,Time
1,-150.10344,78.80593,2005-08-17
1,-150.04799999999997,78.74098333333333,2005-08-18
1,-149.7946545454545,78.7264,2005-08-19
1,-149.50756363636359,78.7193181818182,2005-08-20
1,-149.42901666666668,78.73965833333334,2005-08-21
1,-149.46652,78.76321000000002,2005-08-22
1,-149.64572499999997,78.75860833333334,2005-08-23
1,-149.829525,78.78043333333333,2005-08-24
1,-149.78656666666666,78.84717500000001,2005-08-25
1,-149.48863333333333,78.88816666666666,2005-08-26
1,-149.41475000000003,78.89474166666666,2005-08-27
1,-149.06945833333333,78.90851666666667,2005-08-28
1,-148.81798333333336,78.8994,2005-08-29
1,-148.45221666666666,78.95453333333334,2005-08-30
1,-147.5871333333333,78.99813333333333,2005-08-31
1,-146.86143333333334,78.93548333333332,2005-09-01
1,-146.14114545454547,78.90651818181819,2005-09-02
1,-145.53375833333334,78.90358333333334,2005-09-03
1,-145.09183333333334,78.93685833333332,2005-09-04
1,-144.83994166666668,78.96053333333333,2005-09-05
1,-144.75646,78.99735,2005-09-06
1,-144.22926363636364,78.98326363636363,2005-09-07
1,-143.60895833333336,79.01564166666665,2005-09-08
1,-143.25472727272728,79.0065909090909,2005-09-09
1,-142.97679166666663,78.97438333333334,2005-09-10
1,-142.546175,78.91726666666666,2005-09-11
1,-142.37868999999998,78.87316,2005-09-12
1,-142.35426666666666,78.83120833333334,2005-09-13
1,-142.50603333333333,78.81464166666667,2005-09-14
1,-142.80303333333333,78.81545000000001,2005-09-15
1,-143.17390999999998,78.82501,2005-09-16
1,-143.47853636363635,78.83281818181818,2005-09-17
1,-143.70985833333333,78.84989166666666,2005-09-18
1,-143.9065,78.8779,2005-09-19
1,-144.0588818181818,78.90096363636364,2005-09-20
1,-144.21159090909092,78.91350909090907,2005-09-21
1,-144.32385454545457,78.93028181818181,2005-09-22
1,-144.33406666666664,78.96144166666666,2005-09-23
1,-144.39499166666667,78.998025,2005-09-24
1,-144.57473333333334,79.03228333333333,2005-09-25
1,-144.667,79.06129166666666,2005-09-26
1,-144.51940833333336,79.06113333333333,2005-09-27
1,-144.2937666666667,79.02767499999999,2005-09-28
1,-143.98683333333332,79.016475,2005-09-29
1,-143.63645,79.00953333333335,2005-09-30
1,-143.53155833333332,78.99664166666666,2005-10-01
1,-143.16746666666668,78.97948333333335,2005-10-02
1,-142.5386,78.89866666666667,2005-10-03
1,-142.30707499999997,78.85915833333334,2005-10-04
1,-142.10036666666664,78.90207499999998,2005-10-05
1,-142.11585833333334,78.92741666666667,2005-10-06
1,-142.15886666666665,78.94692500000001,2005-10-07
1,-142.130725,78.86419166666667,2005-10-08
1,-142.28187000000003,78.79748,2005-10-09
1,-142.21108333333333,78.7727,2005-10-10
1,-141.78310833333333,78.74908333333335,2005-10-11
1,-141.31269999999998,78.73147499999999,2005-10-12
1,-140.97268333333332,78.73305,2005-10-13
1,-140.9401,78.77218181818182,2005-10-14
1,-140.9716,78.81960833333333,2005-10-15
1,-141.02675454545457,78.87380909090909,2005-10-16
1,-141.11870000000002,78.91376999999999,2005-10-17
1,-141.23869000000002,78.93185000000003,2005-10-18
1,-141.3544,78.90880909090909,2005-10-19
1,-141.56767272727276,78.92316363636364,2005-10-20
1,-141.89574166666665,78.92392500000001,2005-10-21
1,-141.85241666666667,78.87304166666668,2005-10-22
1,-142.204175,78.96225,2005-10-23
1,-142.688,79.19519166666667,2005-10-24
1,-142.33688333333333,79.27821666666667,2005-10-25
1,-141.9542,79.26710833333334,2005-10-26
1,-141.89379166666666,79.25718333333332,2005-10-27
1,-142.08675000000002,79.265025,2005-10-28
1,-142.236525,79.21797500000001,2005-10-29
1,-142.06246666666667,79.13254166666665,2005-10-30
1,-141.57856666666666,79.09731666666666,2005-10-31
1,-140.81530833333332,79.10329999999998,2005-11-01
1,-140.28301666666667,79.10715,2005-11-02
1,-140.23080833333333,79.08864166666666,2005-11-03
1,-140.17983636363635,79.03595454545456,2005-11-04
1,-140.1928090909091,78.97707272727273,2005-11-05
1,-140.20495454545457,78.93184545454545,2005-11-06
1,-140.17376666666667,78.89332499999999,2005-11-07
1,-140.08265833333334,78.86255833333335,2005-11-08
1,-139.9891090909091,78.82285454545455,2005-11-09
1,-139.83490833333335,78.78375833333332,2005-11-10
1,-139.6684818181818,78.76316363636364,2005-11-11
1,-139.5502,78.68780000000001,2005-11-12
1,-139.63033636363636,78.58828181818183,2005-11-13
1,-139.50696666666667,78.56631666666665,2005-11-14
1,-139.19435833333333,78.5683,2005-11-15
1,-139.00877272727274,78.58689090909091,2005-11-16
1,-138.9372363636364,78.57489090909091,2005-11-17
1,-138.92055833333333,78.561775,2005-11-18
1,-138.96324166666668,78.539825,2005-11-19
1,-138.97756666666666,78.49353333333333,2005-11-20
1,-138.91344545454547,78.37667272727273,2005-11-21
1,-138.77234166666665,78.27210833333334,2005-11-22
1,-138.68704166666666,78.23145000000001,2005-11-23
1,-138.682175,78.23188333333333,2005-11-24
1,-138.77604999999997,78.2658,2005-11-25
1,-139.1619090909091,78.3108909090909,2005-11-26
1,-139.531575,78.31366666666666,2005-11-27
1,-139.91449999999998,78.32631666666667,2005-11-28
1,-139.9733666666667,78.34601666666667,2005-11-29
1,-140.09409999999997,78.33448333333332,2005-11-30
1,-140.32755833333331,78.26753333333333,2005-12-01
1,-140.42297272727274,78.17303636363636,2005-12-02
1,-140.54488333333336,78.05335833333334,2005-12-03
1,-140.80998181818183,77.96977272727274,2005-12-04
1,-140.77270909090907,77.94486363636362,2005-12-05
