ITP,Long,Lat,Time
2,-141.2376,77.1738,2004-08-20
2,-141.02073333333334,77.1628,2004-08-21
2,-140.93285,77.127975,2004-08-22
2,-141.003,77.07220000000001,2004-08-23
2,-141.12865,77.0418,2004-08-24
2,-141.27313333333333,77.00150000000001,2004-08-25
2,-141.327175,76.9962,2004-08-26
2,-141.2748,76.992875,2004-08-27
2,-140.6925,76.9425,2004-08-28
2,-140.11917499999998,76.937175,2004-08-29
2,-139.41172500000002,77.0215,2004-08-30
2,-138.75986666666668,76.96553333333333,2004-08-31
2,-138.24745000000001,76.91515,2004-09-01
2,-137.9879,77.00826666666666,2004-09-02
2,-137.57845,77.00415,2004-09-03
2,-137.32696666666666,77.08986666666665,2004-09-04
2,-137.00475,77.06742499999999,2004-09-05
2,-136.64746666666667,76.99043333333334,2004-09-06
2,-136.50639999999999,76.94125,2004-09-07
2,-136.0972,76.99249999999999,2004-09-08
2,-135.819725,76.94525,2004-09-09
2,-135.7995,76.9746,2004-09-10
2,-135.79902500000003,76.96745,2004-09-11
2,-135.8501,76.936725,2004-09-12
2,-135.74845,76.87759999999999,2004-09-13
2,-135.638875,76.84609999999999,2004-09-14
2,-135.63954999999999,76.80165,2004-09-15
2,-135.489825,76.75927499999999,2004-09-16
2,-135.15210000000002,76.68675,2004-09-17
2,-134.8238,76.62345,2004-09-18
2,-134.291625,76.57935,2004-09-19
2,-134.12646666666666,76.58466666666668,2004-09-20
2,-134.1976,76.61453333333333,2004-09-21
2,-134.48940000000002,76.65476666666667,2004-09-22
2,-134.8408,76.70475,2004-09-23
2,-135.1715,76.76242500000001,2004-09-24
2,-135.562275,76.77480000000001,2004-09-25
2,-136.0597,76.76836666666667,2004-09-26
2,-136.54343333333333,76.7699,2004-09-27
2,-136.89204999999998,76.76644999999999,2004-09-28
2,-137.28060000000002,76.7527,2004-09-29
1,-150.10344,78.80593,2005-08-17
1,-150.04799999999997,78.74098333333333,2005-08-18
1,-149.7946545454545,78.7264,2005-08-19
1,-149.50756363636359,78.7193181818182,2005-08-20
1,-149.42901666666668,78.73965833333334,2005-08-21
1,-149.46652,78.76321000000002,2005-08-22
1,-149.64572499999997,78.75860833333334,2005-08-23
1,-149.829525,78.78043333333333,2005-08-24
1,-146.47302380952382,78.32882380952381,2005-08-25
1,-145.72651666666664,78.27991666666667,2005-08-26
1,-145.70886666666667,78.27932916666667,2005-08-27
1,-145.47509166666666,78.27729166666667,2005-08-28
3,-145.27735,78.26085,2005-08-29
3,-145.0304583333333,78.294575,2005-08-30
1,-144.30229166666663,78.33978749999999,2005-08-31
1,-143.72229583333336,78.29039166666666,2005-09-01
1,-142.88652173913044,78.23544782608695,2005-09-02
3,-142.472525,78.25287916666666,2005-09-03
3,-142.00759583333328,78.2938875,2005-09-04
3,-141.75952916666665,78.30264166666667,2005-09-05
3,-141.19159090909093,78.27863181818181,2005-09-06
3,-140.7454782608695,78.29740869565218,2005-09-07
3,-140.22785,78.35504166666665,2005-09-08
3,-139.61743478260868,78.329,2005-09-09
3,-139.56079999999994,78.32704583333334,2005-09-10
3,-139.15687916666667,78.26762916666667,2005-09-11
3,-138.7037681818182,78.16463636363636,2005-09-12
3,-138.9704,78.18442083333333,2005-09-13
3,-139.080725,78.16608750000002,2005-09-14
3,-139.4766652173913,78.19167391304347,2005-09-15
1,-139.32417272727272,78.10471818181817,2005-09-16
1,-139.77996086956523,78.13392173913043,2005-09-17
3,-140.14995000000002,78.17392083333334,2005-09-18
3,-140.17172608695654,78.15726521739131,2005-09-19
1,-140.3692652173913,78.16290869565216,2005-09-20
3,-140.57226956521743,78.16505217391305,2005-09-21
3,-140.69470434782608,78.1715652173913,2005-09-22
3,-140.86315416666665,78.22464583333334,2005-09-23
3,-140.9213208333333,78.24487083333335,2005-09-24
3,-141.11831666666666,78.27559166666666,2005-09-25
1,-141.28236666666666,78.30137916666668,2005-09-26
3,-141.22145000000003,78.29410833333331,2005-09-27
3,-141.03996666666666,78.25899166666666,2005-09-28
1,-140.82820416666667,78.24020833333333,2005-09-29
3,-140.57829166666667,78.22560833333331,2005-09-30
3,-140.48526250000003,78.20134583333333,2005-10-01
3,-140.23022083333333,78.17721250000001,2005-10-02
3,-139.66154999999995,78.095925,2005-10-03
3,-139.41823333333335,78.04110000000001,2005-10-04
3,-139.28657826086956,78.10185652173912,2005-10-05
3,-139.05337916666667,78.0907125,2005-10-06
3,-139.12790434782607,78.16348260869566,2005-10-07
3,-138.88089166666668,78.05867083333332,2005-10-08
3,-138.71957727272726,77.90738636363636,2005-10-09
1,-139.18456086956522,77.9813347826087,2005-10-10
3,-138.76070833333333,77.9073625,2005-10-11
3,-138.40314583333333,77.8746875,2005-10-12
1,-138.2831913043478,77.90266086956521,2005-10-13
1,-138.12424545454547,77.89271363636364,2005-10-14
3,-138.17894999999996,77.93025833333333,2005-10-15
3,-138.26761363636362,77.97594090909091,2005-10-16
3,-138.1250590909091,77.92139545454546,2005-10-17
3,-138.27375909090907,77.93546818181818,2005-10-18
1,-138.50229130434784,77.96470434782609,2005-10-19
1,-138.6958956521739,77.98864782608696,2005-10-20
3,-139.14945833333334,78.03109583333334,2005-10-21
1,-139.18781739130435,78.0211043478261,2005-10-22
3,-139.3709916666667,78.07463333333331,2005-10-23
3,-139.7250541666667,78.31062499999999,2005-10-24
3,-139.3806083333333,78.37246666666665,2005-10-25
3,-139.12587083333335,78.3386875,2005-10-26
3,-139.14732499999997,78.31878333333334,2005-10-27
1,-139.37272499999997,78.31259583333332,2005-10-28
