2006,20.25002,-139.5713,77.3686,753
%pressure(dbar),temperature(C),salinity,nobs
9.1,-1.5670,28.6815,31
9.9,-1.5671,28.6815,5
10.9,-1.5671,28.6814,4
11.9,-1.5669,28.6815,4
12.9,-1.5670,28.6816,4
13.9,-1.5669,28.6817,4
15.0,-1.5669,28.6822,5
16.1,-1.5670,28.6824,4
17.1,-1.5668,28.6826,4
18.1,-1.5671,28.6828,4
19.1,-1.5669,28.6831,4
20.0,-1.5669,28.6835,4
21.0,-1.5667,28.6839,4
22.0,-1.5667,28.6850,4
23.0,-1.5663,28.6851,4
24.0,-1.5663,28.6857,4
25.0,-1.5661,28.6863,4
26.0,-1.5637,28.6931,4
26.9,-1.5199,28.9103,4
27.9,-1.4023,29.5906,4
29.0,-1.3563,29.7848,5
30.1,-1.3691,29.8447,4
31.1,-1.3709,29.8931,4
32.1,-1.3814,29.9540,4
33.0,-1.3872,29.9990,4
34.0,-1.4098,30.0415,4
35.0,-1.4201,30.0817,4
36.0,-1.4353,30.1183,4
37.0,-1.4461,30.1489,4
37.9,-1.4585,30.1706,4
38.9,-1.4662,30.1927,4
40.0,-1.4722,30.2067,5
41.1,-1.4821,30.2241,4
42.1,-1.4856,30.2348,4
43.0,-1.4899,30.2470,4
44.0,-1.4949,30.2585,4
45.0,-1.5012,30.2715,4
46.0,-1.5065,30.2813,4
46.9,-1.5103,30.2909,4
47.9,-1.5154,30.3004,4
49.0,-1.5220,30.3150,5
50.1,-1.5296,30.3360,4
51.1,-1.5326,30.3471,4
52.1,-1.5327,30.3628,4
53.0,-1.5271,30.3797,4
54.0,-1.5126,30.4086,4
55.0,-1.4991,30.4475,4
56.0,-1.4869,30.4769,4
57.0,-1.4703,30.5259,4
58.0,-1.4331,30.6018,4
59.0,-1.4082,30.6843,4
59.9,-1.4146,30.7535,4
60.9,-1.3794,30.8234,4
61.9,-1.3668,30.8846,4
62.9,-1.3533,30.9411,4
63.9,-1.3314,31.0041,4
64.9,-1.3045,31.0679,4
65.9,-1.2534,31.1464,4
66.9,-1.1560,31.2352,4
67.9,-1.1561,31.2911,4
68.9,-1.1588,31.3424,4
69.9,-1.1363,31.4096,4
70.9,-1.1043,31.4638,4
71.9,-1.0631,31.5154,4
72.9,-1.0736,31.5652,4
73.9,-1.0720,31.6100,4
74.9,-1.0624,31.6556,4
75.9,-0.9832,31.7126,4
77.0,-0.9589,31.7668,5
78.1,-1.1372,31.8028,4
79.1,-1.1897,31.8394,4
80.1,-1.2128,31.8787,4
81.1,-1.2307,31.9179,4
82.1,-1.2601,31.9551,4
83.0,-1.2867,31.9910,3
83.9,-1.3014,32.0211,4
84.9,-1.3161,32.0465,4
85.9,-1.3245,32.0714,4
86.9,-1.3259,32.0937,4
87.9,-1.3342,32.1147,4
88.9,-1.3414,32.1372,4
89.9,-1.3428,32.1571,4
90.9,-1.3489,32.1749,4
91.9,-1.3552,32.1931,4
92.9,-1.3574,32.2098,4
93.9,-1.3557,32.2254,4
94.9,-1.3504,32.2402,4
95.9,-1.3387,32.2554,4
96.9,-1.3312,32.2677,4
97.9,-1.3276,32.2790,4
98.9,-1.3157,32.2925,4
99.9,-1.3019,32.3063,4
100.9,-1.2927,32.3182,4
101.9,-1.2822,32.3315,4
102.9,-1.2683,32.3496,4
103.9,-1.2556,32.3671,4
104.9,-1.2418,32.3864,4
105.9,-1.2276,32.4077,4
106.9,-1.2120,32.4313,4
107.9,-1.1979,32.4524,4
108.9,-1.1858,32.4712,4
109.9,-1.1773,32.4894,4
110.9,-1.1702,32.5081,4
111.9,-1.1668,32.5254,4
112.9,-1.1695,32.5406,4
113.9,-1.1686,32.5556,4
114.9,-1.1657,32.5712,4
115.9,-1.1581,32.5900,4
116.9,-1.1555,32.6086,4
117.9,-1.1536,32.6279,4
118.9,-1.1598,32.6488,4
119.9,-1.1707,32.6691,4
120.9,-1.1631,32.6878,4
121.9,-1.1653,32.7106,4
123.0,-1.1700,32.7320,4
124.0,-1.1797,32.7525,4
125.0,-1.1922,32.7740,4
126.0,-1.2112,32.7952,4
127.0,-1.2415,32.8193,4
128.0,-1.2687,32.8434,4
129.0,-1.2876,32.8650,4
130.0,-1.3047,32.8902,4
131.0,-1.3247,32.9179,4
132.0,-1.3485,32.9435,4
133.0,-1.3648,32.9699,4
134.0,-1.3819,32.9959,4
135.0,-1.3962,33.0133,4
136.0,-1.4043,33.0309,4
137.0,-1.4142,33.0523,4
138.0,-1.4236,33.0808,4
139.0,-1.4373,33.1099,4
140.0,-1.4457,33.1318,4
141.0,-1.4490,33.1520,4
142.1,-1.4541,33.1715,4
143.1,-1.4505,33.1955,4
144.1,-1.4470,33.2230,4
145.1,-1.4460,33.2485,4
146.1,-1.4459,33.2674,4
147.1,-1.4513,33.2890,4
148.1,-1.4422,33.3232,4
149.1,-1.4341,33.3537,4
150.1,-1.4277,33.3865,4
151.1,-1.4219,33.4218,4
152.1,-1.4175,33.4563,4
153.1,-1.4134,33.4865,4
154.0,-1.4088,33.5135,3
154.9,-1.4032,33.5444,4
155.9,-1.3952,33.5780,4
156.9,-1.3866,33.6069,4
157.9,-1.3737,33.6306,4
158.9,-1.3677,33.6539,4
159.9,-1.3633,33.6800,4
160.9,-1.3563,33.7077,4
161.9,-1.3504,33.7335,4
162.9,-1.3469,33.7557,4
164.0,-1.3424,33.7752,4
165.0,-1.3376,33.7954,4
166.0,-1.3357,33.8162,4
167.0,-1.3373,33.8369,4
168.0,-1.3418,33.8547,4
169.0,-1.3636,33.8710,4
170.0,-1.3342,33.8937,4
171.0,-1.3221,33.9116,4
172.0,-1.3066,33.9307,4
173.0,-1.2982,33.9509,4
174.0,-1.2942,33.9708,4
175.1,-1.2865,33.9880,4
176.1,-1.2811,34.0038,4
177.1,-1.2752,34.0210,4
178.1,-1.2712,34.0364,4
179.1,-1.2654,34.0519,4
180.1,-1.2571,34.0656,4
181.0,-1.2472,34.0755,3
181.9,-1.2408,34.0863,4
182.9,-1.2285,34.0979,4
