2006,53.00003,-142.1059,77.7558,751
%pressure(dbar),temperature(C),salinity,nobs
11.4,-1.5874,29.0320,26
11.9,-1.5873,29.0322,8
13.0,-1.5874,29.0325,5
14.0,-1.5874,29.0326,5
15.1,-1.5871,29.0327,4
16.0,-1.5872,29.0334,4
17.0,-1.5873,29.0336,4
18.0,-1.5874,29.0339,4
19.0,-1.5873,29.0340,4
20.0,-1.5872,29.0349,4
21.0,-1.5872,29.0364,4
22.0,-1.5874,29.0362,4
23.0,-1.5872,29.0355,4
24.0,-1.5872,29.0354,4
25.0,-1.5871,29.0361,4
26.0,-1.5872,29.0378,4
27.0,-1.5873,29.0398,4
28.0,-1.5873,29.0418,4
29.0,-1.5873,29.0466,4
30.0,-1.5874,29.0530,4
31.0,-1.5868,29.0882,4
32.0,-1.5853,29.1426,4
33.0,-1.5863,29.2018,4
34.0,-1.5864,29.2403,4
35.0,-1.5850,29.3050,4
36.0,-1.5743,29.4744,4
37.0,-1.5663,29.5776,4
38.0,-1.5529,29.6861,4
39.0,-1.5233,29.7814,4
40.0,-1.4635,29.9325,4
41.0,-1.4132,30.0734,4
42.0,-1.3855,30.1975,4
43.0,-1.3814,30.2478,4
44.0,-1.3813,30.2787,4
45.0,-1.3823,30.2972,4
46.0,-1.3832,30.3255,4
47.0,-1.3819,30.3635,4
48.0,-1.3804,30.3784,4
49.0,-1.3866,30.4268,4
50.0,-1.4000,30.4853,4
51.1,-1.4001,30.5184,4
52.1,-1.4003,30.5890,4
53.1,-1.4001,30.6318,4
54.1,-1.3980,30.6727,4
55.1,-1.3970,30.7489,4
56.1,-1.4007,30.8309,4
57.1,-1.3993,30.8700,4
58.1,-1.3747,30.9779,4
59.1,-1.3575,31.0369,4
60.1,-1.3458,31.0984,4
61.1,-1.3312,31.1499,4
62.1,-1.3226,31.1904,4
63.1,-1.3122,31.2345,4
64.1,-1.2977,31.2867,4
65.1,-1.2795,31.3744,4
66.1,-1.2908,31.4183,4
67.1,-1.2934,31.4597,4
68.1,-1.2673,31.5168,4
69.1,-1.2723,31.5629,4
70.1,-1.2692,31.6173,4
71.1,-1.2576,31.6488,4
72.1,-1.2401,31.6870,4
73.1,-1.2284,31.7166,4
74.1,-1.2169,31.7642,4
75.1,-1.2170,31.8090,4
76.1,-1.2335,31.8532,4
77.1,-1.2811,31.9205,4
78.1,-1.3249,31.9667,4
79.1,-1.3469,31.9928,4
80.1,-1.3617,32.0273,4
81.1,-1.3672,32.0533,4
82.1,-1.3696,32.0755,4
83.1,-1.3695,32.1163,4
84.0,-1.3552,32.1393,4
85.0,-1.3407,32.1647,4
86.0,-1.3416,32.1913,4
87.0,-1.3459,32.2197,4
88.0,-1.3446,32.2394,4
89.0,-1.3418,32.2503,4
90.0,-1.3390,32.2625,4
91.0,-1.3334,32.2743,4
92.0,-1.3307,32.2819,4
93.0,-1.3266,32.2959,4
94.0,-1.3196,32.3088,4
95.0,-1.3125,32.3174,4
96.0,-1.2989,32.3333,4
97.0,-1.2844,32.3535,4
98.0,-1.2723,32.3696,4
99.0,-1.2630,32.3853,4
99.9,-1.2568,32.3979,4
100.9,-1.2554,32.4159,4
101.9,-1.2516,32.4375,4
102.9,-1.2489,32.4477,4
103.9,-1.2454,32.4665,4
104.9,-1.2441,32.4812,4
105.9,-1.2401,32.5015,4
106.9,-1.2376,32.5179,4
107.9,-1.2366,32.5324,4
108.9,-1.2379,32.5473,4
109.9,-1.2346,32.5654,4
110.9,-1.2314,32.5863,4
112.0,-1.2316,32.6134,5
113.1,-1.2297,32.6213,4
114.1,-1.2268,32.6333,4
115.1,-1.2293,32.6515,4
116.1,-1.2280,32.6683,4
117.1,-1.2362,32.6816,4
118.1,-1.2397,32.6954,4
119.1,-1.2451,32.7107,4
120.1,-1.2725,32.7292,4
121.1,-1.2865,32.7496,4
122.1,-1.2902,32.7647,4
123.1,-1.2837,32.7776,4
124.1,-1.2915,32.7915,4
125.0,-1.3136,32.8154,4
126.0,-1.3186,32.8335,4
127.0,-1.3209,32.8510,4
128.0,-1.3289,32.8702,4
129.0,-1.3372,32.8915,4
130.0,-1.3393,32.9205,4
131.0,-1.3668,32.9528,4
132.0,-1.3798,32.9907,4
133.0,-1.3886,33.0137,4
134.0,-1.4031,33.0350,4
135.0,-1.4079,33.0567,4
135.9,-1.4137,33.0850,4
136.9,-1.4204,33.1083,4
137.9,-1.4264,33.1413,4
138.9,-1.4280,33.1653,4
139.9,-1.4275,33.1796,4
140.9,-1.4211,33.2021,4
141.9,-1.4127,33.2249,4
142.9,-1.4056,33.2459,4
143.9,-1.4010,33.2736,4
145.0,-1.3962,33.3168,5
146.1,-1.3930,33.3442,4
147.1,-1.3831,33.3847,4
148.1,-1.3796,33.4130,4
149.1,-1.3747,33.4486,4
150.1,-1.3645,33.4902,4
151.1,-1.3602,33.5145,4
152.1,-1.3608,33.5196,4
153.0,-1.3674,33.5347,4
154.0,-1.3655,33.5659,4
155.0,-1.3665,33.5916,4
156.0,-1.3613,33.6301,4
157.0,-1.3572,33.6531,4
158.0,-1.3530,33.6735,4
159.0,-1.3486,33.6941,4
160.0,-1.3435,33.7167,4
160.9,-1.3394,33.7379,4
161.9,-1.3349,33.7630,4
162.9,-1.3307,33.7959,4
163.9,-1.3261,33.8301,4
164.9,-1.3185,33.8619,4
165.9,-1.3114,33.8960,4
166.9,-1.3085,33.9307,4
168.0,-1.3030,33.9613,5
169.1,-1.2939,33.9887,4
170.1,-1.2878,34.0022,4
171.1,-1.2821,34.0141,4
172.1,-1.2720,34.0276,4
173.1,-1.2609,34.0460,4
174.1,-1.2503,34.0601,4
175.1,-1.2458,34.0707,4
176.1,-1.2373,34.0808,4
177.0,-1.2197,34.0945,4
178.0,-1.2049,34.1048,4
179.0,-1.1912,34.1124,4
180.0,-1.1701,34.1237,4
181.0,-1.1416,34.1361,4
182.0,-1.1168,34.1447,4
183.0,-1.0860,34.1561,4
184.0,-1.0535,34.1697,4
185.0,-1.0383,34.1771,4
186.0,-1.0190,34.1836,4
187.0,-1.0029,34.1877,4
187.9,-0.9762,34.1977,4
