2006,32.75002,-139.0459,77.3353,752
%pressure(dbar),temperature(C),salinity,nobs
9.4,-1.5599,28.5090,28
9.9,-1.5598,28.5089,7
11.0,-1.5598,28.5091,4
12.0,-1.5598,28.5091,4
13.0,-1.5598,28.5094,4
13.9,-1.5598,28.5091,4
14.9,-1.5599,28.5093,4
16.0,-1.5598,28.5093,5
17.1,-1.5597,28.5095,4
18.1,-1.5598,28.5095,4
19.1,-1.5598,28.5099,4
20.0,-1.5597,28.5112,4
21.0,-1.5599,28.5129,4
22.0,-1.5598,28.5165,4
22.9,-1.5610,28.5438,4
23.9,-1.5611,28.5572,4
24.9,-1.5600,28.5663,4
26.0,-1.5601,28.5761,5
27.1,-1.5635,28.5895,4
28.1,-1.5642,28.5974,4
29.1,-1.5649,28.6062,4
30.0,-1.5643,28.6159,4
31.0,-1.5628,28.6466,4
32.0,-1.5190,28.7953,4
33.0,-1.4485,29.1455,4
34.0,-1.4186,29.3397,4
34.9,-1.3401,29.6055,4
35.9,-1.2965,29.7580,4
36.9,-1.2857,29.8790,4
37.9,-1.2808,29.9560,4
39.0,-1.2837,30.0083,5
40.1,-1.2868,30.0440,4
41.1,-1.2812,30.0858,4
42.1,-1.2966,30.1318,4
43.1,-1.2955,30.1614,4
44.0,-1.2945,30.1901,4
45.0,-1.2870,30.2209,4
46.0,-1.2842,30.2617,4
47.0,-1.2912,30.2878,4
48.0,-1.2900,30.3064,4
49.0,-1.2887,30.3466,4
49.9,-1.2905,30.4054,4
50.9,-1.2813,30.4825,4
51.9,-1.2848,30.5437,4
52.9,-1.2908,30.5839,4
54.0,-1.3112,30.6347,5
55.1,-1.3365,30.6964,4
56.1,-1.3388,30.7513,4
57.1,-1.3374,30.8122,4
58.1,-1.3367,30.8930,4
59.0,-1.3331,30.9614,4
60.0,-1.3201,31.0234,4
61.0,-1.2903,31.0980,4
62.0,-1.2372,31.1809,4
63.0,-1.2044,31.2587,4
64.0,-1.1698,31.3398,4
65.0,-1.1535,31.3882,4
66.0,-1.1088,31.4283,4
66.9,-1.0844,31.4647,4
67.9,-1.0003,31.5141,4
68.9,-0.9875,31.5636,4
69.9,-0.9789,31.6033,4
70.9,-0.9335,31.6456,4
71.9,-0.9863,31.6746,4
72.9,-1.0628,31.7039,4
74.0,-1.0724,31.7490,5
75.1,-1.0734,31.7964,4
76.1,-1.1715,31.8286,4
77.1,-1.2300,31.8609,4
78.1,-1.2343,31.8945,4
79.0,-1.2443,31.9282,4
80.0,-1.2593,31.9560,4
81.0,-1.3031,31.9834,4
82.0,-1.3254,32.0133,4
83.0,-1.3395,32.0416,4
84.0,-1.3490,32.0700,4
85.0,-1.3538,32.0881,4
86.0,-1.3561,32.1099,4
86.9,-1.3564,32.1325,4
87.9,-1.3554,32.1466,4
88.9,-1.3460,32.1664,4
89.9,-1.3490,32.1876,4
90.9,-1.3437,32.2067,4
91.9,-1.3439,32.2227,4
92.9,-1.3438,32.2383,4
94.0,-1.3361,32.2528,5
95.1,-1.3285,32.2651,4
96.1,-1.3233,32.2764,4
97.1,-1.3141,32.2899,4
98.1,-1.2977,32.3100,4
99.1,-1.2827,32.3319,4
100.1,-1.2696,32.3506,4
101.1,-1.2632,32.3678,4
102.1,-1.2519,32.3857,4
103.1,-1.2393,32.4045,4
104.0,-1.2295,32.4219,4
105.0,-1.2194,32.4394,4
106.0,-1.2112,32.4548,4
107.0,-1.2020,32.4712,4
108.0,-1.1906,32.4885,4
109.0,-1.1824,32.5023,4
110.0,-1.1796,32.5144,4
111.0,-1.1741,32.5291,4
112.0,-1.1716,32.5484,4
113.0,-1.1684,32.5678,4
114.0,-1.1701,32.5849,4
115.0,-1.1846,32.5980,4
115.9,-1.1824,32.6110,4
116.9,-1.1787,32.6261,4
117.9,-1.1775,32.6462,4
118.9,-1.1766,32.6660,4
119.9,-1.1782,32.6834,4
120.9,-1.1830,32.7013,4
121.9,-1.1879,32.7202,4
122.9,-1.1963,32.7392,4
123.9,-1.2061,32.7558,4
124.9,-1.2111,32.7729,4
125.9,-1.2264,32.7922,4
126.9,-1.2439,32.8121,4
127.9,-1.2601,32.8327,4
129.0,-1.2804,32.8564,5
130.1,-1.2995,32.8827,4
131.1,-1.3204,32.9051,4
132.1,-1.3458,32.9304,4
133.1,-1.3702,32.9561,4
134.1,-1.3819,32.9811,4
135.1,-1.3933,33.0101,4
136.1,-1.4028,33.0392,4
137.1,-1.4182,33.0655,4
138.1,-1.4280,33.0901,4
139.1,-1.4353,33.1180,4
140.1,-1.4435,33.1464,4
141.1,-1.4477,33.1717,4
142.1,-1.4509,33.1970,4
143.1,-1.4498,33.2211,4
144.0,-1.4465,33.2410,4
145.0,-1.4440,33.2618,4
146.0,-1.4412,33.2840,4
147.0,-1.4393,33.3106,4
148.0,-1.4379,33.3358,4
149.0,-1.4390,33.3629,4
150.0,-1.4345,33.3916,4
151.0,-1.4334,33.4194,4
152.0,-1.4317,33.4508,4
153.0,-1.4296,33.4893,4
154.0,-1.4154,33.5265,4
155.0,-1.4074,33.5567,4
156.0,-1.4056,33.5846,4
157.0,-1.4004,33.6158,4
158.0,-1.3981,33.6485,4
159.0,-1.3996,33.6737,4
160.0,-1.4007,33.6976,4
161.0,-1.4145,33.7230,4
162.0,-1.4163,33.7449,4
163.0,-1.4111,33.7668,4
164.0,-1.4054,33.7931,4
165.0,-1.4039,33.8168,4
166.0,-1.4029,33.8416,4
167.0,-1.3994,33.8619,4
168.0,-1.3882,33.8852,4
169.0,-1.3579,33.9086,4
170.0,-1.3525,33.9267,4
171.0,-1.3635,33.9421,4
172.0,-1.3704,33.9570,4
173.0,-1.3742,33.9719,4
174.0,-1.3638,33.9872,4
175.0,-1.3541,34.0031,4
176.0,-1.3381,34.0189,4
177.0,-1.3246,34.0323,4
178.0,-1.3256,34.0441,4
179.0,-1.2989,34.0578,4
180.0,-1.2832,34.0692,4
181.0,-1.2680,34.0806,4
182.0,-1.2403,34.0931,4
183.0,-1.2144,34.1053,4
184.0,-1.1837,34.1182,4
185.0,-1.1619,34.1293,4
186.0,-1.1461,34.1393,4
187.0,-1.1145,34.1493,4
188.0,-1.0721,34.1610,4
189.0,-1.0286,34.1722,4
190.0,-0.9965,34.1838,4
191.0,-0.9686,34.1915,4
192.0,-0.9412,34.2012,4
193.0,-0.9084,34.2107,4
194.0,-0.9019,34.2120,4
195.0,-0.8738,34.2263,4
196.0,-0.8701,34.2299,4
197.0,-0.8561,34.2381,4
198.0,-0.8636,34.2443,4
199.0,-0.8556,34.2511,4
200.0,-0.8347,34.2570,4
201.0,-0.7982,34.2660,4
202.0,-0.7927,34.2694,4
203.0,-0.7602,34.2799,4
204.0,-0.7459,34.2841,4
205.0,-0.7192,34.2937,4
206.0,-0.7035,34.2979,4
207.0,-0.6731,34.3075,4
208.0,-0.6587,34.3101,4
209.0,-0.6122,34.3251,4
210.0,-0.6041,34.3268,4
211.0,-0.6003,34.3279,4
212.0,-0.5551,34.3409,4
213.0,-0.5471,34.3444,4
214.0,-0.5238,34.3513,4
215.0,-0.5083,34.3575,4
216.0,-0.4794,34.3649,4
217.0,-0.4715,34.3680,4
218.0,-0.4456,34.3756,4
219.0,-0.4288,34.3828,4
220.0,-0.4191,34.3851,4
221.0,-0.3912,34.3962,4
