2006,253.75003,-131.1965,76.9725,754
%pressure(dbar),temperature(C),salinity,nobs
9.4,-1.4322,26.7979,29
9.9,-1.4325,26.7968,8
11.0,-1.4321,26.7993,5
12.0,-1.4320,26.7997,5
13.0,-1.4307,26.8177,5
14.0,-1.4282,26.8585,4
15.0,-1.4257,26.9253,6
16.0,-1.4235,26.9815,5
17.0,-1.4225,27.0574,6
18.0,-1.4228,27.1807,5
19.0,-1.4256,27.2255,5
20.0,-1.4234,27.2512,5
21.0,-1.4180,27.2796,5
22.0,-1.4129,27.3015,5
23.0,-1.4084,27.3187,7
24.0,-1.3543,27.4200,6
25.0,-1.2609,27.8054,5
25.9,-1.2190,28.0763,5
27.0,-1.2037,28.2456,5
28.0,-1.2072,28.3510,5
29.0,-1.2048,28.3770,4
30.0,-1.1980,28.4311,5
31.0,-1.2105,28.5677,4
31.9,-1.2239,28.6111,4
33.0,-1.2317,28.6378,5
34.0,-1.2464,28.6796,4
35.0,-1.2600,28.7174,4
35.9,-1.2672,28.7372,4
37.0,-1.2693,28.7530,5
38.0,-1.2763,28.7944,4
39.0,-1.2850,28.8439,4
40.0,-1.2940,28.9314,5
41.0,-1.2997,29.0319,4
41.9,-1.2781,29.1580,4
43.0,-1.2025,29.4345,5
44.0,-1.1689,29.6450,4
44.9,-1.0532,29.8165,4
46.0,-1.0043,29.9822,5
47.0,-0.9889,30.1206,4
48.0,-1.1708,30.2190,5
49.0,-1.2453,30.3106,4
50.0,-1.2499,30.3858,4
51.0,-1.2631,30.4620,5
52.0,-1.2083,30.5488,4
52.9,-1.2170,30.5903,4
54.0,-1.2294,30.6490,5
55.1,-1.2352,30.7176,4
56.0,-1.2449,30.7837,4
57.0,-1.2750,30.8390,4
58.0,-1.2519,30.8932,5
59.1,-1.2424,30.9603,4
60.0,-1.2456,31.0279,4
61.0,-1.2575,31.0869,4
61.9,-1.2271,31.1435,4
63.0,-1.2190,31.2167,5
64.1,-1.2008,31.2858,4
65.0,-1.1953,31.3286,4
66.0,-1.1922,31.3691,4
66.9,-1.1415,31.4217,4
68.0,-1.1346,31.4599,5
69.1,-1.1255,31.4955,4
70.0,-1.1268,31.5341,4
71.0,-1.1209,31.5763,4
71.9,-1.1101,31.6125,4
73.0,-1.1175,31.6505,5
74.1,-1.1242,31.6967,4
75.0,-1.1298,31.7387,4
76.0,-1.1347,31.7828,4
77.0,-1.1262,31.8122,4
77.9,-1.1112,31.8429,4
79.0,-1.0993,31.8753,5
80.1,-1.0933,31.8999,4
81.0,-1.1382,31.9183,4
82.0,-1.1898,31.9412,4
82.9,-1.2129,31.9806,4
83.9,-1.2686,32.0143,4
85.0,-1.2660,32.0373,5
86.1,-1.2457,32.0751,4
87.1,-1.2594,32.0999,4
88.0,-1.2640,32.1157,4
89.0,-1.2730,32.1343,4
90.0,-1.2844,32.1551,4
90.9,-1.2839,32.1749,4
92.0,-1.2932,32.1963,5
93.1,-1.3153,32.2195,4
94.1,-1.3176,32.2367,4
95.0,-1.3109,32.2523,4
96.0,-1.3033,32.2703,4
97.0,-1.2973,32.2828,4
97.9,-1.2899,32.2956,4
99.0,-1.2787,32.3113,5
100.1,-1.2668,32.3280,4
101.1,-1.2582,32.3401,4
102.0,-1.2507,32.3529,4
103.0,-1.2569,32.3632,4
104.0,-1.2527,32.3741,4
104.9,-1.2466,32.3906,4
105.9,-1.2378,32.4111,4
107.0,-1.2263,32.4409,5
108.1,-1.2161,32.4671,4
109.1,-1.2112,32.4860,4
110.0,-1.2136,32.5035,4
111.0,-1.2083,32.5219,4
112.0,-1.2044,32.5410,4
112.9,-1.2010,32.5574,4
114.0,-1.2001,32.5710,5
115.1,-1.2061,32.5827,4
116.1,-1.2194,32.5953,4
117.0,-1.2214,32.6107,4
118.0,-1.2183,32.6246,4
119.0,-1.2189,32.6362,4
119.9,-1.2171,32.6486,4
121.0,-1.2074,32.6686,5
122.1,-1.2474,32.6881,4
123.0,-1.2646,32.7003,4
124.0,-1.2672,32.7139,4
125.0,-1.2707,32.7284,4
125.9,-1.2746,32.7412,4
127.0,-1.2756,32.7564,5
128.1,-1.2827,32.7715,4
129.1,-1.2977,32.7813,4
130.0,-1.3246,32.7925,4
131.0,-1.3279,32.8046,4
132.0,-1.3280,32.8197,4
132.9,-1.3316,32.8416,4
134.0,-1.3416,32.8656,5
135.1,-1.3656,32.8876,4
136.0,-1.3726,32.9110,4
137.0,-1.3821,32.9286,4
137.9,-1.3976,32.9458,4
139.0,-1.4178,32.9661,5
140.1,-1.4283,32.9864,4
141.1,-1.4372,33.0092,4
142.0,-1.4413,33.0282,4
143.0,-1.4406,33.0452,4
143.9,-1.4225,33.0671,4
145.0,-1.4208,33.0903,5
146.1,-1.4237,33.1108,4
147.0,-1.4616,33.1257,4
148.0,-1.4681,33.1463,4
148.9,-1.4558,33.1823,4
150.0,-1.4546,33.2246,5
151.1,-1.4462,33.2568,4
152.0,-1.4371,33.2878,4
153.0,-1.4350,33.3218,4
153.9,-1.4223,33.3610,4
155.0,-1.4202,33.3857,5
156.1,-1.4220,33.4165,4
157.0,-1.4169,33.4414,4
158.0,-1.4138,33.4535,4
158.9,-1.4101,33.4700,4
160.0,-1.4025,33.4986,5
161.1,-1.3976,33.5179,4
162.0,-1.3913,33.5335,4
163.0,-1.3880,33.5505,4
164.0,-1.3737,33.5754,4
164.9,-1.3737,33.5934,4
166.0,-1.3728,33.6117,5
167.1,-1.3692,33.6297,4
168.1,-1.3663,33.6440,4
169.0,-1.3644,33.6614,4
170.0,-1.3641,33.6837,4
171.0,-1.3601,33.7137,4
172.0,-1.3565,33.7401,4
172.9,-1.3506,33.7633,4
173.9,-1.3484,33.7727,4
175.0,-1.3451,33.7923,5
176.1,-1.3420,33.8126,4
177.0,-1.3388,33.8334,4
178.0,-1.3359,33.8503,4
179.0,-1.3332,33.8647,4
179.9,-1.3276,33.8845,4
181.0,-1.3201,33.9102,5
182.1,-1.3087,33.9342,4
183.0,-1.3000,33.9518,4
184.0,-1.2787,33.9810,4
184.9,-1.2621,33.9987,4
185.9,-1.2480,34.0132,4
187.0,-1.2214,34.0324,5
188.1,-1.1989,34.0459,4
189.0,-1.1700,34.0624,4
190.0,-1.1561,34.0690,4
190.9,-1.1284,34.0849,4
191.9,-1.1047,34.0973,4
193.0,-1.0838,34.1098,5
194.1,-1.0678,34.1199,4
195.1,-1.0463,34.1352,4
196.0,-1.0256,34.1417,4
197.0,-0.9857,34.1597,4
198.0,-0.9660,34.1686,4
199.0,-0.9452,34.1796,4
199.9,-0.9447,34.1811,4
200.9,-0.9174,34.1981,4
202.0,-0.8909,34.2046,5
203.1,-0.8703,34.2127,4
204.1,-0.8474,34.2265,4
205.1,-0.8341,34.2330,4
206.0,-0.8109,34.2449,4
207.0,-0.7807,34.2579,4
208.0,-0.7608,34.2626,4
208.9,-0.7061,34.2800,4
209.9,-0.6858,34.2875,4
211.0,-0.6637,34.2971,5
212.1,-0.6372,34.3073,4
213.1,-0.6197,34.3153,4
214.0,-0.6018,34.3216,4
215.0,-0.5847,34.3292,4
216.0,-0.5635,34.3383,4
217.0,-0.5607,34.3393,4
218.0,-0.5518,34.3423,4
218.9,-0.5187,34.3581,4
219.9,-0.5172,34.3582,4
220.9,-0.4795,34.3713,4
222.0,-0.4565,34.3787,5
223.1,-0.4423,34.3828,4
224.1,-0.4099,34.3931,4
225.0,-0.4018,34.3961,4
226.0,-0.3808,34.4029,4
227.0,-0.3642,34.4096,4
228.0,-0.3513,34.4128,4
229.0,-0.3211,34.4246,4
229.9,-0.3212,34.4238,4
230.9,-0.2912,34.4325,4
232.0,-0.2700,34.4417,5
233.1,-0.2582,34.4444,4
234.1,-0.2164,34.4641,4
235.1,-0.2156,34.4638,4
236.0,-0.2070,34.4640,4
237.0,-0.1669,34.4847,4
238.0,-0.1659,34.4851,4
239.0,-0.1654,34.4852,4
239.9,-0.1502,34.4881,4
240.9,-0.1198,34.5018,4
242.0,-0.1198,34.5019,5
243.1,-0.1052,34.5052,4
244.1,-0.0785,34.5166,4
245.1,-0.0787,34.5174,4
246.0,-0.0783,34.5170,4
247.0,-0.0570,34.5234,4
248.0,-0.0402,34.5315,4
249.0,-0.0398,34.5320,4
249.9,-0.0399,34.5320,4
250.9,-0.0118,34.5403,4
252.0,0.0003,34.5448,5
253.1,0.0256,34.5559,4
254.1,0.0261,34.5564,4
255.0,0.0263,34.5566,4
256.0,0.0268,34.5561,4
257.0,0.0602,34.5678,4
258.0,0.0627,34.5714,4
258.9,0.0636,34.5719,4
259.9,0.0637,34.5726,4
260.9,0.0637,34.5725,4
262.0,0.0903,34.5824,5
263.1,0.1066,34.5885,4
264.1,0.1321,34.5963,4
265.1,0.1426,34.6020,4
266.0,0.1428,34.6025,4
267.0,0.1428,34.6029,4
268.0,0.1428,34.6039,4
269.0,0.1428,34.6032,4
270.0,0.1692,34.6132,4
270.9,0.2039,34.6276,4
271.9,0.2095,34.6314,4
273.0,0.2098,34.6319,5
274.1,0.2112,34.6330,4
275.1,0.2108,34.6337,4
276.1,0.2095,34.6345,4
277.0,0.2397,34.6445,4
278.0,0.2520,34.6497,4
279.0,0.2823,34.6599,4
280.0,0.3092,34.6740,4
280.9,0.3104,34.6735,4
281.9,0.3105,34.6737,4
282.9,0.3103,34.6741,4
284.0,0.3106,34.6743,5
285.1,0.3107,34.6745,4
286.1,0.3094,34.6753,4
287.0,0.3094,34.6754,4
288.0,0.3093,34.6762,4
289.0,0.3083,34.6767,4
290.0,0.3075,34.6775,4
