2007,316.25002,-151.2446,77.6878,4
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs
679.0,0.4503,34.8585,298.2701,42
680.0,0.4493,34.8586,298.3712,44
681.0,0.4478,34.8587,298.3414,47
682.0,0.4458,34.8588,298.4279,56
