2008,21.00002,-154.1380,80.0923,8
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs
681.5,0.4313,34.8622,NaN,5
682.4,0.4247,34.8621,NaN,9
683.4,0.4193,34.8627,NaN,20
684.0,0.4198,34.8628,NaN,60
685.3,0.4166,34.8628,NaN,28
686.0,0.4167,34.8629,NaN,55
687.0,0.4146,34.8628,NaN,59
687.9,0.4127,34.8628,NaN,40
