2008,24.00002,-154.5100,80.2267,731
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs
28.9,-1.5684,28.7793,NaN,25
30.2,-1.5686,28.7877,NaN,15
31.0,-1.5686,28.7911,NaN,32
32.1,-1.5688,28.7945,NaN,23
33.0,-1.5688,28.7965,NaN,21
34.0,-1.5687,28.7975,NaN,15
35.0,-1.5669,28.8014,NaN,18
36.0,-1.5592,28.8119,NaN,15
37.0,-1.5494,28.8160,NaN,13
38.0,-1.5344,28.8237,NaN,14
39.0,-1.5024,28.8614,NaN,19
40.3,-1.4003,29.0715,NaN,12
41.0,-1.3523,29.2193,NaN,54
42.0,-1.4091,29.2787,NaN,20
43.0,-1.3987,29.3219,NaN,15
43.9,-1.3478,29.3715,NaN,29
45.0,-1.2846,29.4350,NaN,9
46.0,-1.2490,29.4947,NaN,7
47.0,-1.1363,29.6894,NaN,6
48.0,-1.0621,29.8312,NaN,5
49.0,-1.0325,29.9609,NaN,5
50.0,-1.0227,30.1053,NaN,5
51.0,-1.0300,30.1903,NaN,5
52.0,-1.0429,30.2854,NaN,4
53.0,-1.0432,30.3585,NaN,5
54.0,-1.0676,30.4522,NaN,4
55.0,-1.0933,30.5528,NaN,5
56.0,-1.0839,30.6371,NaN,5
57.0,-1.0668,30.6935,NaN,4
58.0,-1.0584,30.7351,NaN,5
59.0,-1.0461,30.7752,NaN,6
60.0,-1.0412,30.8063,NaN,6
61.0,-1.0512,30.8459,NaN,7
62.0,-1.0531,30.9045,NaN,8
63.0,-1.0322,30.9709,NaN,7
64.1,-0.9642,31.0358,NaN,6
65.0,-0.9460,31.1005,NaN,5
66.0,-0.9219,31.1582,NaN,5
67.0,-0.8947,31.2010,NaN,5
67.9,-0.8849,31.2488,NaN,5
68.9,-0.8785,31.3126,NaN,5
70.0,-0.8862,31.3783,NaN,5
71.0,-0.8918,31.4170,NaN,4
72.0,-0.8708,31.4643,NaN,5
73.0,-0.8544,31.5062,NaN,4
74.0,-0.8395,31.5604,NaN,5
75.0,-0.8385,31.5986,NaN,4
75.9,-0.8596,31.6333,NaN,5
76.9,-0.8363,31.6797,NaN,5
77.9,-0.8573,31.7172,NaN,5
79.0,-0.8103,31.7729,NaN,5
80.0,-0.8002,31.8191,NaN,4
81.0,-0.8078,31.8634,NaN,5
82.1,-0.9368,31.8946,NaN,4
83.0,-1.0305,31.9139,NaN,4
84.0,-0.9846,31.9362,NaN,4
85.0,-0.9612,31.9641,NaN,5
86.1,-1.0372,31.9883,NaN,4
87.0,-1.0292,32.0129,NaN,4
88.0,-1.0312,32.0365,NaN,5
89.0,-1.0451,32.0637,NaN,4
90.0,-1.0599,32.0829,NaN,4
91.0,-1.0762,32.0997,NaN,4
91.9,-1.1097,32.1173,NaN,4
92.9,-1.1546,32.1322,NaN,4
93.9,-1.1606,32.1489,NaN,4
95.0,-1.1960,32.1691,NaN,5
96.1,-1.2282,32.1951,NaN,4
97.0,-1.2465,32.2149,NaN,3
97.9,-1.2580,32.2275,NaN,4
99.0,-1.2732,32.2442,NaN,4
100.0,-1.2848,32.2575,NaN,4
101.0,-1.2999,32.2743,NaN,4
102.0,-1.3123,32.2868,NaN,4
103.0,-1.3260,32.3017,NaN,4
104.0,-1.3393,32.3170,NaN,4
105.0,-1.3487,32.3314,NaN,4
106.0,-1.3332,32.3455,NaN,3
106.9,-1.3296,32.3573,NaN,4
108.0,-1.3429,32.3733,NaN,4
109.0,-1.3471,32.3841,NaN,4
110.0,-1.3429,32.3971,NaN,3
110.9,-1.3529,32.4069,NaN,4
112.0,-1.3721,32.4158,NaN,4
113.1,-1.3720,32.4250,NaN,4
114.0,-1.3648,32.4337,NaN,3
115.0,-1.3649,32.4434,NaN,4
116.0,-1.3636,32.4562,NaN,4
117.0,-1.3610,32.4659,NaN,3
117.9,-1.3678,32.4772,NaN,4
119.0,-1.3619,32.4909,NaN,4
120.1,-1.3596,32.5037,NaN,4
121.0,-1.3586,32.5124,NaN,3
121.9,-1.3547,32.5223,NaN,4
123.0,-1.3511,32.5372,NaN,4
124.1,-1.3477,32.5520,NaN,4
