2014,308.00144,-149.8825,76.1915,756
%pressure(dbar),temperature(C),salinity,nobs
6.1,-1.4599,26.7282,5
7.0,-1.4599,26.7284,4
8.1,-1.4597,26.7284,4
9.0,-1.4598,26.7285,3
9.9,-1.4597,26.7287,4
11.0,-1.4599,26.7290,4
12.0,-1.4598,26.7291,4
13.0,-1.4596,26.7294,3
13.9,-1.4598,26.7296,4
15.0,-1.4598,26.7305,4
16.0,-1.4597,26.7311,4
17.1,-1.4591,26.7324,4
18.0,-1.4591,26.7328,3
19.0,-1.4589,26.7334,4
20.0,-1.4592,26.7343,4
21.1,-1.4591,26.7352,4
22.0,-1.4591,26.7360,3
23.0,-1.4590,26.7371,4
24.0,-1.4590,26.7386,4
25.1,-1.4590,26.7404,4
26.0,-1.4570,26.7426,3
27.0,-1.4550,26.7451,4
28.0,-1.4545,26.7480,4
29.1,-1.4538,26.7523,4
30.0,-1.4535,26.7619,3
31.0,-1.3540,27.2893,4
32.0,-0.9903,28.0386,4
33.0,-0.9036,28.1093,3
33.9,-0.8915,28.1599,4
35.0,-0.9051,28.2050,4
36.1,-0.9189,28.2615,4
37.0,-0.9232,28.3166,3
38.0,-0.9265,28.3694,4
39.0,-0.9286,28.4322,4
40.0,-0.9260,28.4885,3
40.9,-0.9156,28.5501,4
42.0,-0.9210,28.6184,4
43.1,-0.9268,28.6984,4
44.0,-0.9403,28.7720,3
45.0,-0.9514,28.8434,4
46.1,-0.9284,28.9457,4
47.0,-0.9350,29.0275,3
47.9,-0.9006,29.1133,4
49.0,-0.7973,29.2107,4
50.1,-0.7055,29.3060,4
51.0,-0.6050,29.4076,3
52.0,-0.4164,29.5604,4
53.1,-0.3212,29.7020,4
54.0,-0.2726,29.7686,3
55.0,-0.1046,29.8706,4
56.1,-0.0445,29.9802,4
57.0,0.0069,30.0795,3
58.0,0.0749,30.1748,4
59.1,0.1186,30.2855,4
60.0,0.1308,30.3718,3
61.0,0.1763,30.4572,4
62.1,0.1257,30.5443,4
63.0,0.1863,30.6230,3
64.0,0.1558,30.6807,4
65.1,0.1621,30.7434,4
66.0,0.1981,30.7987,3
67.0,0.1843,30.8440,4
68.1,0.1560,30.9062,4
69.0,0.1125,30.9549,3
70.0,0.0893,31.0018,4
71.0,0.0668,31.0404,3
71.9,0.0435,31.0748,4
73.0,0.0034,31.1212,4
74.0,-0.0276,31.1609,3
74.9,-0.0615,31.1962,4
76.0,-0.0987,31.2359,4
77.0,-0.1292,31.2733,3
78.0,-0.1633,31.3086,4
79.1,-0.1952,31.3510,4
80.0,-0.2596,31.3871,3
81.0,-0.3112,31.4278,4
82.1,-0.3411,31.4715,4
83.0,-0.3756,31.5126,3
84.0,-0.4062,31.5533,4
85.0,-0.4344,31.5856,3
85.9,-0.4633,31.6137,4
87.0,-0.4967,31.6416,4
88.0,-0.5157,31.6616,3
88.9,-0.5294,31.6812,4
90.0,-0.5481,31.7086,4
91.0,-0.6149,31.7391,3
92.0,-0.6871,31.7655,4
93.1,-0.6794,31.7954,4
94.0,-0.6794,31.8178,3
95.0,-0.6916,31.8357,4
96.0,-0.7108,31.8552,3
96.9,-0.7333,31.8779,4
98.0,-0.7605,31.8997,4
99.0,-0.7772,31.9153,3
100.0,-0.7956,31.9317,4
101.1,-0.8193,31.9520,4
102.0,-0.8394,31.9706,3
103.0,-0.8557,31.9881,4
104.0,-0.8729,32.0049,3
104.9,-0.8949,32.0206,4
106.0,-0.9210,32.0408,4
107.0,-0.9396,32.0593,3
108.0,-0.9541,32.0740,4
109.1,-0.9682,32.0886,4
110.0,-0.9817,32.1001,3
111.0,-0.9966,32.1129,4
112.0,-1.0123,32.1258,3
112.9,-1.0245,32.1351,4
114.0,-1.0372,32.1486,4
115.0,-1.0524,32.1635,3
115.9,-1.0650,32.1762,4
117.0,-1.0715,32.1875,4
118.0,-1.0813,32.1983,3
119.0,-1.0920,32.2088,4
120.1,-1.1052,32.2220,4
121.0,-1.1159,32.2328,3
122.0,-1.1268,32.2439,4
123.0,-1.1402,32.2556,3
123.9,-1.1478,32.2665,4
125.0,-1.1574,32.2776,4
126.0,-1.1665,32.2892,3
127.0,-1.1750,32.3002,4
128.1,-1.1858,32.3141,4
129.0,-1.1928,32.3243,3
130.0,-1.2010,32.3359,4
131.0,-1.2090,32.3489,3
131.9,-1.2154,32.3626,4
133.0,-1.2206,32.3748,4
134.0,-1.2257,32.3850,3
135.0,-1.2317,32.3955,4
136.1,-1.2370,32.4059,4
137.0,-1.2422,32.4156,3
138.0,-1.2475,32.4263,4
139.0,-1.2532,32.4377,3
139.9,-1.2589,32.4487,4
141.0,-1.2651,32.4602,4
142.0,-1.2714,32.4706,3
143.0,-1.2778,32.4833,4
144.1,-1.2849,32.4960,4
145.0,-1.2894,32.5047,3
146.0,-1.2944,32.5133,4
147.0,-1.2983,32.5209,3
147.9,-1.3029,32.5283,4
149.0,-1.3076,32.5382,4
150.0,-1.3110,32.5446,3
151.0,-1.3129,32.5543,4
152.0,-1.3177,32.5624,3
152.9,-1.3245,32.5708,4
154.0,-1.3293,32.5813,4
155.0,-1.3325,32.5898,3
156.0,-1.3356,32.5965,4
157.1,-1.3381,32.6050,4
158.0,-1.3412,32.6149,3
159.0,-1.3449,32.6261,4
160.0,-1.3480,32.6353,3
160.9,-1.3507,32.6440,4
162.0,-1.3452,32.6554,4
163.0,-1.3540,32.6663,3
164.0,-1.3546,32.6765,4
165.1,-1.3654,32.6877,4
166.1,-1.3714,32.6945,3
167.0,-1.3697,32.7036,4
168.0,-1.3681,32.7136,3
169.0,-1.3690,32.7239,4
170.1,-1.3777,32.7408,4
171.0,-1.3811,32.7541,3
172.0,-1.3826,32.7660,4
173.0,-1.3825,32.7761,3
173.9,-1.3841,32.7831,4
175.0,-1.3953,32.7919,4
176.0,-1.4010,32.7979,3
177.0,-1.4023,32.8051,4
178.0,-1.4081,32.8137,3
178.9,-1.4125,32.8215,4
180.0,-1.4236,32.8313,4
181.0,-1.4115,32.8405,3
182.0,-1.4141,32.8466,4
183.1,-1.4208,32.8579,4
184.0,-1.4228,32.8694,3
185.0,-1.4326,32.8788,4
186.0,-1.4471,32.8884,3
186.9,-1.4406,32.8979,4
188.0,-1.4453,32.9077,4
189.0,-1.4481,32.9179,3
190.0,-1.4431,32.9253,4
190.9,-1.4393,32.9334,3
191.9,-1.4369,32.9449,4
193.0,-1.4444,32.9575,4
194.0,-1.4401,32.9694,3
195.0,-1.4574,32.9755,4
196.1,-1.4520,32.9885,4
197.0,-1.4560,32.9992,3
198.0,-1.4430,33.0091,4
199.0,-1.4343,33.0146,3
199.9,-1.4332,33.0257,4
201.0,-1.4491,33.0355,4
202.0,-1.4339,33.0486,3
203.0,-1.4338,33.0599,4
204.1,-1.4347,33.0693,4
205.0,-1.4443,33.0793,3
206.0,-1.4756,33.0897,4
207.0,-1.4949,33.1003,3
207.9,-1.4899,33.1113,4
209.0,-1.4790,33.1230,4
210.0,-1.4732,33.1367,3
211.0,-1.4533,33.1508,4
212.1,-1.4453,33.1662,4
213.0,-1.4585,33.1809,3
214.0,-1.4581,33.1959,4
215.0,-1.4674,33.2041,3
215.9,-1.4717,33.2171,4
217.0,-1.4764,33.2304,4
218.0,-1.4766,33.2437,3
219.0,-1.4748,33.2565,4
220.1,-1.4717,33.2732,4
221.0,-1.4683,33.2819,3
222.0,-1.4530,33.2954,4
223.0,-1.4368,33.3112,3
223.9,-1.4421,33.3270,4
225.0,-1.4456,33.3477,4
226.0,-1.4380,33.3677,3
227.0,-1.4308,33.3863,4
228.0,-1.4221,33.4006,3
228.9,-1.4150,33.4172,4
230.0,-1.4021,33.4353,4
231.0,-1.3906,33.4494,3
232.0,-1.3796,33.4620,4
233.1,-1.3571,33.4886,4
234.0,-1.3445,33.5084,3
235.0,-1.3397,33.5234,4
236.0,-1.3250,33.5509,3
236.9,-1.3231,33.5797,4
238.0,-1.3090,33.6071,4
239.0,-1.2948,33.6304,3
240.0,-1.2730,33.6553,4
241.1,-1.2609,33.6799,4
242.0,-1.2490,33.6984,3
243.0,-1.2372,33.7164,4
244.0,-1.2221,33.7339,3
244.9,-1.2036,33.7563,4
246.0,-1.1895,33.7786,4
247.0,-1.1830,33.7990,3
248.0,-1.1769,33.8279,4
249.1,-1.1507,33.8538,4
250.0,-1.1108,33.8736,3
251.0,-1.0941,33.8946,4
252.0,-1.0980,33.9109,3
252.9,-1.0761,33.9346,4
254.0,-1.0318,33.9740,4
255.0,-1.0006,33.9981,3
256.0,-0.9831,34.0152,4
257.1,-0.9711,34.0311,4
258.0,-0.9563,34.0438,3
259.0,-0.9397,34.0566,4
260.0,-0.9242,34.0698,3
260.9,-0.9092,34.0803,4
262.1,-0.8884,34.1000,4
263.0,-0.8765,34.1080,3
264.0,-0.8482,34.1293,4
264.9,-0.8308,34.1445,3
265.9,-0.7826,34.1627,4
267.0,-0.7661,34.1736,4
268.0,-0.7586,34.1822,3
269.0,-0.7370,34.1964,4
270.1,-0.7178,34.2058,4
271.0,-0.6981,34.2165,3
272.0,-0.6780,34.2308,4
273.0,-0.6551,34.2399,3
274.0,-0.6431,34.2476,4
275.1,-0.6250,34.2585,4
276.0,-0.6104,34.2680,3
277.0,-0.6047,34.2719,4
278.0,-0.5700,34.2857,3
278.9,-0.5618,34.2906,4
280.0,-0.5443,34.3017,4
281.0,-0.5313,34.3104,3
282.0,-0.5114,34.3213,4
283.0,-0.4925,34.3329,3
283.9,-0.4877,34.3352,4
285.0,-0.4602,34.3481,4
286.0,-0.4515,34.3531,3
287.0,-0.4371,34.3610,4
288.1,-0.4290,34.3672,4
289.0,-0.4119,34.3726,3
290.0,-0.3820,34.3852,4
291.0,-0.3822,34.3855,3
292.0,-0.3632,34.3928,4
293.1,-0.3473,34.4014,4
294.0,-0.3448,34.4023,3
295.0,-0.3264,34.4150,4
296.0,-0.3243,34.4178,3
297.0,-0.3025,34.4284,4
298.1,-0.2675,34.4379,4
299.1,-0.2475,34.4457,3
300.0,-0.2285,34.4542,4
301.0,-0.2119,34.4604,3
302.0,-0.1952,34.4670,4
302.9,-0.1846,34.4713,3
303.9,-0.1784,34.4736,4
305.0,-0.1683,34.4777,4
306.0,-0.1622,34.4801,3
307.0,-0.1503,34.4846,4
308.1,-0.1299,34.4928,4
309.0,-0.1187,34.4966,3
310.0,-0.0971,34.5044,4
311.0,-0.0749,34.5133,3
311.9,-0.0676,34.5167,4
313.0,-0.0577,34.5211,4
314.0,-0.0439,34.5270,3
315.0,-0.0318,34.5313,4
316.1,-0.0201,34.5365,4
317.0,-0.0133,34.5393,3
318.0,0.0027,34.5455,4
319.1,0.0198,34.5522,4
320.0,0.0350,34.5585,3
321.0,0.0498,34.5639,4
322.0,0.0545,34.5665,3
322.9,0.0571,34.5674,4
324.0,0.0577,34.5677,4
325.0,0.0590,34.5684,3
326.0,0.0658,34.5708,4
327.1,0.0863,34.5788,4
328.1,0.0963,34.5824,3
329.0,0.1074,34.5870,4
330.0,0.1168,34.5909,3
331.0,0.1262,34.5943,4
332.0,0.1512,34.6052,3
332.9,0.1569,34.6081,4
334.0,0.1577,34.6082,4
335.0,0.1724,34.6129,3
336.0,0.2053,34.6227,4
337.0,0.2175,34.6273,3
337.9,0.2228,34.6281,4
339.1,0.2247,34.6284,4
340.0,0.2437,34.6376,3
341.0,0.2466,34.6392,4
342.0,0.2626,34.6449,3
343.0,0.2696,34.6486,4
344.0,0.2700,34.6484,3
344.9,0.2714,34.6488,4
346.1,0.2747,34.6498,4
347.0,0.2874,34.6564,3
348.0,0.3110,34.6620,4
349.0,0.3322,34.6694,3
350.0,0.3382,34.6703,4
350.9,0.3347,34.6704,3
351.9,0.3327,34.6701,4
353.0,0.3632,34.6799,4
354.0,0.3648,34.6808,3
355.0,0.3809,34.6882,4
356.0,0.3812,34.6883,3
356.9,0.3822,34.6878,4
358.1,0.4062,34.6978,4
359.0,0.4070,34.6981,3
360.0,0.4065,34.6988,4
361.0,0.4070,34.6978,3
362.0,0.4204,34.7031,4
363.0,0.4436,34.7135,3
