2015,174.25146,-150.3798,76.2669,755
%pressure(dbar),temperature(C),salinity,nobs
6.9,-1.2982,28.0901,13
8.0,-1.2989,28.0967,5
9.1,-1.3040,28.1031,4
10.1,-1.3088,28.1086,4
11.0,-1.3145,28.1145,3
11.9,-1.3169,28.1173,4
13.0,-1.3174,28.1182,4
14.1,-1.3310,28.1310,4
15.0,-1.3441,28.1532,3
15.9,-1.3450,28.1839,4
17.0,-1.3495,28.2152,4
18.1,-1.3511,28.2197,4
19.0,-1.3554,28.2238,3
20.0,-1.3565,28.2278,4
21.1,-1.3602,28.2321,4
22.0,-1.3624,28.2340,3
22.9,-1.3692,28.2442,4
24.0,-1.3698,28.2525,4
25.0,-1.3715,28.2556,3
25.9,-1.3733,28.2578,4
27.0,-1.3743,28.2601,4
28.1,-1.3761,28.2622,4
29.0,-1.3780,28.2659,3
30.0,-1.3780,28.2680,4
31.0,-1.3791,28.2760,4
32.0,-1.3826,28.2843,3
32.9,-1.3897,28.2987,4
34.0,-1.4003,28.3284,4
35.0,-1.4077,28.3545,3
35.9,-1.3978,28.4380,4
37.0,-1.3903,28.5082,4
38.1,-1.3416,28.5810,4
39.0,-1.2891,28.6738,3
40.0,-1.2621,28.7958,4
41.0,-1.1386,28.9353,4
42.0,-1.0020,29.0816,3
42.9,-0.9793,29.1633,4
44.0,-0.9457,29.2359,4
45.0,-0.9056,29.2902,3
45.9,-0.8573,29.3527,4
47.0,-0.8328,29.3980,4
48.1,-0.7803,29.4587,4
49.0,-0.7550,29.5125,3
50.0,-0.6998,29.6022,4
51.0,-0.6387,29.7025,4
52.0,-0.5856,29.7544,3
52.9,-0.5725,29.8269,4
54.0,-0.5287,29.9077,4
55.1,-0.4773,30.0303,4
56.0,-0.4502,30.1235,3
56.9,-0.4256,30.2107,4
58.0,-0.3674,30.3242,4
59.1,-0.3488,30.3806,4
60.0,-0.3605,30.4403,3
61.0,-0.3372,30.4870,4
62.0,-0.2869,30.5637,4
63.0,-0.2391,30.6315,3
63.9,-0.1970,30.7307,4
65.0,-0.1570,30.8180,4
66.0,-0.1286,30.8823,4
67.0,-0.1116,30.9144,3
67.9,-0.0948,30.9458,4
69.0,-0.1209,30.9879,4
70.1,-0.1475,31.0372,4
71.0,-0.1749,31.0981,3
71.9,-0.1880,31.1430,4
73.0,-0.1927,31.1966,4
74.1,-0.2443,31.2640,4
75.0,-0.2790,31.3140,3
75.9,-0.2856,31.3556,4
77.0,-0.3036,31.4068,4
78.1,-0.3125,31.4270,4
79.0,-0.3340,31.4503,3
79.9,-0.3664,31.4820,4
81.0,-0.3890,31.5160,4
82.1,-0.4060,31.5389,4
83.0,-0.4178,31.5556,3
83.9,-0.4314,31.5684,4
85.0,-0.4555,31.5961,4
86.0,-0.4756,31.6153,3
86.9,-0.5052,31.6411,4
88.0,-0.5214,31.6569,4
89.0,-0.5882,31.6915,4
90.0,-0.6382,31.7097,3
90.9,-0.6597,31.7292,4
92.0,-0.6943,31.7577,4
93.0,-0.7095,31.7708,4
94.0,-0.7270,31.7907,3
94.9,-0.7496,31.8097,4
96.0,-0.7616,31.8212,4
97.1,-0.7651,31.8360,4
98.0,-0.7803,31.8580,3
98.9,-0.8159,31.8893,4
100.0,-0.8851,31.9283,4
101.1,-0.9051,31.9523,4
102.0,-0.9138,31.9606,3
102.9,-0.9182,31.9650,4
104.0,-0.9231,31.9718,4
105.1,-0.9365,31.9853,4
106.0,-0.9461,32.0045,3
106.9,-0.9732,32.0348,4
108.0,-0.9790,32.0728,4
109.0,-1.0025,32.0981,4
110.0,-1.0187,32.1119,3
110.9,-1.0337,32.1209,4
112.0,-1.0570,32.1403,4
113.0,-1.0716,32.1527,4
114.0,-1.0864,32.1641,3
114.9,-1.0909,32.1774,4
116.0,-1.0996,32.1927,4
117.0,-1.1102,32.2061,4
118.1,-1.1193,32.2177,4
119.0,-1.1342,32.2320,3
120.0,-1.1509,32.2472,4
121.0,-1.1651,32.2541,4
122.1,-1.1628,32.2594,4
123.0,-1.1650,32.2639,3
123.9,-1.1762,32.2763,4
125.0,-1.1876,32.2890,4
126.1,-1.1989,32.3021,4
127.0,-1.2072,32.3139,3
127.9,-1.2175,32.3282,4
129.0,-1.2276,32.3487,4
130.1,-1.2360,32.3641,4
131.0,-1.2433,32.3783,3
131.9,-1.2517,32.3940,4
133.0,-1.2604,32.4120,4
134.0,-1.2661,32.4247,4
135.1,-1.2691,32.4337,4
136.0,-1.2703,32.4404,3
137.0,-1.2737,32.4473,4
138.0,-1.2788,32.4550,4
139.1,-1.2821,32.4638,4
140.0,-1.2890,32.4720,3
140.9,-1.2963,32.4857,4
142.0,-1.3030,32.5026,4
143.1,-1.3065,32.5122,4
144.0,-1.3088,32.5175,3
