2015,123.00145,-155.1492,75.9140,446
%pressure(dbar),temperature(C),salinity,nobs
5.9,-1.5207,28.0600,8
7.0,-1.5208,28.0602,3
7.9,-1.5208,28.0603,4
9.0,-1.5204,28.0601,4
10.0,-1.5207,28.0604,4
11.1,-1.5205,28.0602,4
12.0,-1.5202,28.0599,3
12.9,-1.5198,28.0597,4
14.0,-1.5201,28.0597,4
15.0,-1.5200,28.0596,4
16.0,-1.5193,28.0592,4
17.1,-1.5194,28.0595,4
18.0,-1.5196,28.0598,3
18.9,-1.5194,28.0599,4
20.0,-1.5195,28.0601,4
21.0,-1.5192,28.0601,4
22.1,-1.5194,28.0606,4
23.0,-1.5192,28.0607,3
23.9,-1.5194,28.0612,4
25.0,-1.5191,28.0620,4
26.0,-1.5191,28.0629,4
27.1,-1.5188,28.0636,4
28.1,-1.5190,28.0647,4
29.0,-1.5189,28.0658,3
29.9,-1.5191,28.0672,4
31.0,-1.5194,28.0686,4
32.0,-1.5196,28.0705,4
33.1,-1.5193,28.0727,4
34.0,-1.5185,28.0754,3
34.9,-1.5164,28.0810,4
36.0,-1.4863,28.1362,4
37.0,-1.4454,28.2470,4
38.1,-1.3017,28.5214,4
39.0,-1.1572,28.7778,3
39.9,-1.0324,28.9633,4
41.0,-0.8959,29.1232,4
42.1,-0.8220,29.2450,4
43.0,-0.8026,29.3324,3
43.9,-0.6877,29.4537,4
45.0,-0.5899,29.5658,4
46.0,-0.5319,29.6461,4
47.1,-0.5419,29.7256,4
48.0,-0.4795,29.7866,3
48.9,-0.4721,29.8430,4
50.0,-0.4430,29.9276,4
51.0,-0.4261,30.0007,4
52.1,-0.4294,30.0454,4
53.0,-0.4068,30.0794,3
53.9,-0.4497,30.1237,4
55.0,-0.4795,30.1795,4
56.1,-0.4802,30.2440,4
57.0,-0.4877,30.2800,3
57.9,-0.4870,30.3228,4
59.0,-0.4673,30.3979,4
60.0,-0.4496,30.4536,4
61.1,-0.4045,30.5056,4
62.0,-0.3729,30.5451,3
63.0,-0.3563,30.5775,4
64.0,-0.3177,30.6386,4
65.1,-0.2811,30.6991,4
66.0,-0.2565,30.7221,3
66.9,-0.2414,30.7477,4
68.0,-0.2117,30.8114,4
69.1,-0.1587,30.8697,4
70.0,-0.1331,30.9157,3
70.9,-0.0893,30.9735,4
72.0,-0.0723,31.0437,4
73.1,-0.0920,31.1001,4
74.0,-0.1297,31.1479,3
75.0,-0.1701,31.1878,4
76.0,-0.1957,31.2337,4
77.0,-0.2294,31.2774,3
77.9,-0.2402,31.2985,4
79.0,-0.2516,31.3267,4
80.1,-0.2840,31.3645,4
81.0,-0.3143,31.3947,3
81.9,-0.3673,31.4404,4
83.0,-0.4319,31.5116,4
84.1,-0.4607,31.5414,4
85.0,-0.4912,31.5713,3
85.9,-0.5359,31.6121,4
87.0,-0.5713,31.6412,4
88.1,-0.6240,31.6751,4
89.0,-0.6713,31.7095,3
90.0,-0.7035,31.7317,4
91.0,-0.7268,31.7525,4
92.0,-0.7406,31.7681,3
92.9,-0.7714,31.7892,4
94.0,-0.8111,31.8161,4
95.0,-0.8525,31.8451,4
96.0,-0.8888,31.8667,3
96.9,-0.9112,31.8850,4
98.0,-0.9169,31.9100,4
99.1,-0.9308,31.9364,4
100.0,-0.9477,31.9569,3
100.9,-0.9590,31.9722,4
102.0,-0.9787,31.9858,4
103.1,-1.0311,32.0038,4
104.0,-1.0443,32.0178,3
105.0,-1.0704,32.0289,4
106.0,-1.0579,32.0510,4
107.1,-1.0795,32.0684,4
108.0,-1.1058,32.0823,3
109.0,-1.1124,32.1002,4
110.0,-1.1442,32.1147,4
111.0,-1.2786,32.1173,3
111.9,-1.3001,32.1321,4
113.0,-1.2209,32.1480,4
114.0,-1.2360,32.1625,4
115.1,-1.2430,32.1752,4
116.0,-1.2079,32.1881,3
117.0,-1.2041,32.1974,4
118.0,-1.1943,32.2133,4
119.1,-1.2010,32.2238,4
120.0,-1.2153,32.2326,3
121.0,-1.2361,32.2444,4
122.0,-1.2403,32.2558,4
123.0,-1.2113,32.2697,3
123.9,-1.2216,32.2818,4
125.0,-1.2475,32.2910,4
126.0,-1.2856,32.3018,4
127.0,-1.2721,32.3153,3
127.9,-1.2869,32.3262,4
129.0,-1.3015,32.3351,4
130.1,-1.3343,32.3407,4
131.0,-1.3409,32.3463,3
131.9,-1.3507,32.3547,4
133.0,-1.3386,32.3673,4
134.1,-1.3778,32.3780,4
135.0,-1.3696,32.3915,3
136.0,-1.3979,32.3993,4
137.0,-1.3923,32.4139,4
138.0,-1.3908,32.4235,3
138.9,-1.3789,32.4309,4
140.0,-1.3512,32.4396,4
141.1,-1.3450,32.4463,4
142.0,-1.3359,32.4516,3
142.9,-1.3392,32.4577,4
144.0,-1.3439,32.4666,4
145.1,-1.3472,32.4796,4
146.0,-1.3479,32.4908,3
147.0,-1.3585,32.4992,4
148.0,-1.3750,32.5089,4
149.1,-1.3809,32.5206,4
150.0,-1.3911,32.5335,3
151.0,-1.4216,32.5423,4
152.0,-1.4295,32.5502,4
153.0,-1.4018,32.5596,3
153.9,-1.3811,32.5701,4
155.0,-1.3853,32.5800,4
156.1,-1.3813,32.5907,4
157.0,-1.3784,32.6012,3
157.9,-1.3839,32.6099,4
159.0,-1.3944,32.6226,4
160.1,-1.4017,32.6319,4
161.0,-1.4051,32.6397,3
162.0,-1.4062,32.6486,4
163.0,-1.4091,32.6569,4
164.0,-1.4109,32.6644,3
164.9,-1.4139,32.6755,4
166.0,-1.4131,32.6843,4
167.1,-1.4126,32.6921,4
168.0,-1.4221,32.6982,3
168.9,-1.4272,32.7045,4
170.0,-1.4276,32.7129,4
171.0,-1.4195,32.7181,3
171.9,-1.4151,32.7290,4
173.0,-1.4124,32.7391,4
174.1,-1.4270,32.7520,4
175.0,-1.4193,32.7666,3
176.0,-1.4201,32.7748,4
177.0,-1.4221,32.7846,4
178.0,-1.4247,32.7938,3
178.9,-1.4288,32.8051,4
180.0,-1.4424,32.8183,4
181.1,-1.4471,32.8276,4
182.0,-1.4505,32.8369,3
182.9,-1.4523,32.8477,4
184.0,-1.4436,32.8604,4
185.0,-1.4471,32.8695,3
185.9,-1.4556,32.8797,4
187.0,-1.4632,32.8937,4
188.1,-1.4616,32.9078,4
189.0,-1.4640,32.9187,3
189.9,-1.4656,32.9302,4
191.0,-1.4720,32.9432,4
192.1,-1.4753,32.9566,4
193.0,-1.4765,32.9663,3
194.0,-1.4790,32.9778,4
195.0,-1.4806,32.9889,4
196.0,-1.4814,32.9973,3
196.9,-1.4813,33.0065,4
198.0,-1.4818,33.0209,4
199.1,-1.4836,33.0337,4
200.0,-1.4849,33.0431,3
201.0,-1.4878,33.0496,4
202.0,-1.4852,33.0628,4
203.0,-1.4776,33.0693,3
203.9,-1.4764,33.0807,4
205.0,-1.4828,33.0943,4
206.1,-1.4892,33.1063,4
207.0,-1.4934,33.1190,3
208.0,-1.4953,33.1287,4
209.0,-1.4925,33.1393,4
210.0,-1.4901,33.1495,3
210.9,-1.4876,33.1579,4
212.0,-1.4876,33.1721,4
213.1,-1.4855,33.1886,4
214.0,-1.4793,33.2033,3
215.0,-1.4724,33.2148,4
216.1,-1.4716,33.2227,4
217.0,-1.4671,33.2323,3
218.0,-1.4580,33.2476,4
219.0,-1.4515,33.2649,4
220.0,-1.4462,33.2777,3
220.9,-1.4410,33.2989,4
222.0,-1.4376,33.3164,4
223.1,-1.4315,33.3300,4
224.0,-1.4247,33.3457,3
225.0,-1.4193,33.3634,4
226.1,-1.4149,33.3753,4
227.0,-1.4125,33.3928,3
